serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
2AGMHXDY,2025-06-02,2025-05-29,4.0,0.18275313079357147
2AGMLSZY,2020-07-30,2020-07-19,11.0,0.21197369694709778
2AGMND4Y,2025-10-27,2025-10-12,15.0,0.23808957636356354
2AGMNJKY,2025-09-29,2025-09-14,15.0,0.1636914312839508
2AGMPP4Y,2025-09-23,2025-09-11,12.0,0.21768617630004883
2AGMTK0Y,2025-08-30,2025-08-30,0.0,0.40515491366386414
5QJBW5VB,2024-05-25,2024-05-08,17.0,0.2667936384677887
8CGXNNUE,2022-05-10,2022-05-01,9.0,0.1618124395608902
8CH190UE,2022-03-26,2022-03-16,10.0,0.17795643210411072
8CH5214E,2024-02-15,2024-01-17,29.0,0.1999327689409256
8HHARE1H,2023-03-24,2023-03-11,13.0,0.16467660665512085
8HJ9K7HH,2025-01-28,2025-01-26,2.0,0.1633688360452652
8HK6VSKH,2024-03-10,2024-03-06,4.0,0.16187071800231934
AAG63PKH,2022-05-22,2022-05-22,0.0,0.16017933189868927
AAG63Z8H,2025-09-28,2025-09-14,14.0,0.2812838852405548
AAG6417H,2024-06-06,2024-05-30,7.0,0.19988000392913818
AAG67V3H,2025-06-20,2025-06-20,0.0,0.18631112575531006
AAG76HYH,2021-09-29,2021-08-30,30.0,0.2807566523551941
AAG7MULH,2026-03-13,2026-02-13,28.0,0.4905445873737335
AAHLBWGH,2025-08-30,2025-08-14,16.0,0.2103600800037384
AAHMR03H,2025-11-26,2025-11-13,13.0,0.16950097680091858
