threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.3949367088607595,0.6933333333333334,0.5032258064516129,0.06537199124726477,142.83333333333334,42.0,256.14401080935755,0.4622222222222222,156,239,69,3417
0.02,0.5017421602787456,0.64,0.5625,0.03911378555798687,124.20833333333333,30.5,205.06218145696414,0.4088888888888889,144,143,81,3513
0.03,0.5573770491803278,0.6044444444444445,0.5799573560767589,0.02954048140043764,123.22058823529412,31.5,206.71316768356007,0.37777777777777777,136,108,89,3548
0.04,0.5844748858447488,0.5688888888888889,0.5765765765765765,0.024890590809628008,124.578125,34.0,209.38375389815795,0.3511111111111111,128,91,97,3565
0.05,0.6039603960396039,0.5422222222222223,0.5714285714285714,0.02188183807439825,113.3688524590164,26.0,198.27172118906245,0.3244444444444444,122,80,103,3576
0.06,0.6329787234042553,0.5288888888888889,0.576271186440678,0.01887308533916849,104.89075630252101,23.0,193.69363272945296,0.3111111111111111,119,69,106,3587
0.07,0.64,0.49777777777777776,0.56,0.01723194748358862,103.70535714285714,22.0,195.392308592266,0.28,112,63,113,3593
0.08,0.6449704142011834,0.48444444444444446,0.5532994923857868,0.016411378555798686,99.37614678899082,21.0,191.68000805005772,0.27111111111111114,109,60,116,3596
0.09,0.6645161290322581,0.4577777777777778,0.5421052631578946,0.014223194748358862,94.29126213592232,19.0,187.00441981527027,0.24,103,52,122,3604
0.1,0.6783216783216783,0.4311111111111111,0.5271739130434784,0.012582056892778994,95.87628865979381,15.0,191.7893635039135,0.21777777777777776,97,46,128,3610
0.11,0.6940298507462687,0.41333333333333333,0.5181058495821727,0.011214442013129104,93.43010752688173,14.0,190.5223379136275,0.19555555555555557,93,41,132,3615
0.12,0.7073170731707317,0.38666666666666666,0.5,0.009846827133479213,89.51724137931035,14.0,190.96511458926514,0.18222222222222223,87,36,138,3620
0.13,0.7079646017699115,0.35555555555555557,0.47337278106508873,0.009026258205689279,74.7,13.5,135.05400771543214,0.1511111111111111,80,33,145,3623
0.14,0.75,0.3466666666666667,0.47416413373860183,0.007111597374179431,73.2051282051282,13.0,134.50625368879255,0.14666666666666667,78,26,147,3630
0.15,0.7578947368421053,0.32,0.45000000000000007,0.006291028446389497,76.25,13.5,138.78958394314435,0.13777777777777778,72,23,153,3633
0.16,0.7692307692307693,0.3111111111111111,0.4430379746835443,0.0057439824945295405,75.07142857142857,12.5,140.6964637009729,0.12444444444444444,70,21,155,3635
0.17,0.7931034482758621,0.30666666666666664,0.4423076923076923,0.004923413566739606,72.08695652173913,13.0,139.68969120829095,0.12444444444444444,69,18,156,3638
0.18,0.788235294117647,0.29777777777777775,0.43225806451612897,0.004923413566739606,70.07462686567165,11.0,138.3796759980973,0.11555555555555555,67,18,158,3638
0.19,0.7857142857142857,0.29333333333333333,0.42718446601941745,0.004923413566739606,70.3030303030303,12.0,137.49357777805915,0.11555555555555555,66,18,159,3638
0.2,0.7901234567901234,0.28444444444444444,0.41830065359477125,0.004649890590809628,69.375,12.0,134.8150932759385,0.1111111111111111,64,17,161,3639
0.21,0.7948717948717948,0.27555555555555555,0.40924092409240925,0.00437636761487965,70.93548387096774,13.0,135.8235181981884,0.1111111111111111,62,16,163,3640
0.22,0.7866666666666666,0.26222222222222225,0.3933333333333333,0.00437636761487965,73.91525423728814,13.0,138.5532129477902,0.10666666666666667,59,16,166,3640
0.23,0.7837837837837838,0.2577777777777778,0.38795986622073586,0.00437636761487965,66.01724137931035,12.0,125.74762510670418,0.10222222222222223,58,16,167,3640
0.24,0.7714285714285715,0.24,0.3661016949152542,0.00437636761487965,70.46296296296296,13.0,129.20708514040595,0.10222222222222223,54,16,171,3640
0.25,0.7846153846153846,0.22666666666666666,0.35172413793103446,0.0038293216630196935,60.3921568627451,13.0,112.93483778508747,0.09333333333333334,51,14,174,3642
0.26,0.78125,0.2222222222222222,0.3460207612456747,0.0038293216630196935,61.22,12.0,113.89579272299746,0.09333333333333334,50,14,175,3642
0.27,0.7903225806451613,0.21777777777777776,0.3414634146341463,0.0035557986870897156,62.44897959183673,12.0,114.72132360984814,0.09333333333333334,49,13,176,3643
0.28,0.7966101694915254,0.2088888888888889,0.3309859154929578,0.0032822757111597373,63.08510638297872,12.0,116.68375696677882,0.08888888888888889,47,12,178,3644
0.29,0.7966101694915254,0.2088888888888889,0.3309859154929578,0.0032822757111597373,62.95744680851064,12.0,116.24533071323832,0.08888888888888889,47,12,178,3644
0.3,0.7931034482758621,0.20444444444444446,0.3250883392226149,0.0032822757111597373,62.67391304347826,11.5,117.50597660060532,0.08444444444444445,46,12,179,3644
0.31,0.7894736842105263,0.2,0.31914893617021284,0.0032822757111597373,60.666666666666664,11.0,118.02184355260493,0.08,45,12,180,3644
0.32,0.7857142857142857,0.19555555555555557,0.31316725978647686,0.0032822757111597373,61.79545454545455,10.0,119.11502835217243,0.08,44,12,181,3644
0.33,0.7777777777777778,0.18666666666666668,0.3010752688172043,0.0032822757111597373,53.785714285714285,10.0,104.5636137465031,0.07555555555555556,42,12,183,3644
0.34,0.7777777777777778,0.18666666666666668,0.3010752688172043,0.0032822757111597373,53.785714285714285,10.0,104.5636137465031,0.07555555555555556,42,12,183,3644
0.35,0.7735849056603774,0.18222222222222223,0.2949640287769784,0.0032822757111597373,54.390243902439025,7.0,105.80582261832528,0.07555555555555556,41,12,184,3644
0.36,0.7692307692307693,0.17777777777777778,0.2888086642599278,0.0032822757111597373,55.575,7.5,106.80119088755518,0.07555555555555556,40,12,185,3644
0.37,0.7692307692307693,0.17777777777777778,0.2888086642599278,0.0032822757111597373,55.45,7.5,106.85011698636553,0.07555555555555556,40,12,185,3644
0.38,0.7647058823529411,0.17333333333333334,0.2826086956521739,0.0032822757111597373,42.76923076923077,7.0,73.62812364657934,0.07111111111111111,39,12,186,3644
0.39,0.7959183673469388,0.17333333333333334,0.28467153284671537,0.002735229759299781,42.69230769230769,5.0,73.66109290185062,0.07111111111111111,39,10,186,3646
0.4,0.8085106382978723,0.1688888888888889,0.27941176470588236,0.002461706783369803,43.78947368421053,6.0,74.30773774780576,0.07111111111111111,38,9,187,3647
0.41,0.8043478260869565,0.16444444444444445,0.2730627306273063,0.002461706783369803,44.32432432432432,5.0,75.10750999051889,0.06666666666666667,37,9,188,3647
0.42,0.7954545454545454,0.15555555555555556,0.26022304832713755,0.002461706783369803,46.371428571428574,5.0,76.70428772306043,0.06222222222222222,35,9,190,3647
0.43,0.7857142857142857,0.14666666666666667,0.24719101123595508,0.002461706783369803,48.878787878787875,5.0,78.28532026010835,0.06222222222222222,33,9,192,3647
0.44,0.7857142857142857,0.14666666666666667,0.24719101123595508,0.002461706783369803,48.666666666666664,5.0,78.22100263052918,0.06222222222222222,33,9,192,3647
0.45,0.7804878048780488,0.14222222222222222,0.24060150375939848,0.002461706783369803,50.0625,6.0,78.92517718542037,0.06222222222222222,32,9,193,3647
0.46,0.7804878048780488,0.14222222222222222,0.24060150375939848,0.002461706783369803,48.46875,6.0,78.78252676474334,0.06222222222222222,32,9,193,3647
0.47,0.7692307692307693,0.13333333333333333,0.2272727272727273,0.002461706783369803,48.03333333333333,6.0,77.31773549595346,0.057777777777777775,30,9,195,3647
0.48,0.75,0.12,0.20689655172413793,0.002461706783369803,42.51851851851852,5.0,78.09840438943412,0.044444444444444446,27,9,198,3647
0.49,0.7352941176470589,0.1111111111111111,0.19305019305019303,0.002461706783369803,45.84,5.0,80.23898304440304,0.044444444444444446,25,9,200,3647
0.5,0.7272727272727273,0.10666666666666667,0.186046511627907,0.002461706783369803,47.125,6.0,81.59008952276822,0.044444444444444446,24,9,201,3647
0.51,0.7333333333333333,0.09777777777777778,0.17254901960784313,0.002188183807439825,51.36363636363637,10.5,83.93154432173523,0.044444444444444446,22,8,203,3648
0.52,0.6923076923076923,0.08,0.14342629482071714,0.002188183807439825,61.5,14.5,89.5837596889079,0.04,18,8,207,3648
0.53,0.6666666666666666,0.07111111111111111,0.1285140562248996,0.002188183807439825,67.8125,14.5,93.04449120582045,0.035555555555555556,16,8,209,3648
0.54,0.6666666666666666,0.07111111111111111,0.1285140562248996,0.002188183807439825,67.75,14.5,93.08564604706785,0.035555555555555556,16,8,209,3648
0.55,0.6666666666666666,0.07111111111111111,0.1285140562248996,0.002188183807439825,67.625,14.5,93.16978788749066,0.035555555555555556,16,8,209,3648
0.56,0.6363636363636364,0.06222222222222222,0.11336032388663968,0.002188183807439825,76.57142857142857,18.0,96.33476919109758,0.035555555555555556,14,8,211,3648
0.57,0.6363636363636364,0.06222222222222222,0.11336032388663968,0.002188183807439825,76.42857142857143,18.0,96.44370251655647,0.035555555555555556,14,8,211,3648
0.58,0.6363636363636364,0.06222222222222222,0.11336032388663968,0.002188183807439825,76.35714285714286,17.5,96.48508925725048,0.035555555555555556,14,8,211,3648
0.59,0.6363636363636364,0.06222222222222222,0.11336032388663968,0.002188183807439825,75.42857142857143,14.5,96.77419541364931,0.03111111111111111,14,8,211,3648
