serial_number,hdd,manufacturer,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
1070A03AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-06-22,2023-06-19,3,0.3260973393917084
10B0A0R0F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-27,2025-11-05,22,0.14368785917758942
10C0A0AVF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-04-08,2023-03-24,15,0.14513719081878662
10L0A03VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-11-12,2024-11-12,0,0.13106191158294678
10M0A00LF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-10,2024-05-19,83,0.13361357152462006
10N0A03XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-04-25,2024-04-16,9,0.13518455624580383
11J0A0U0F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-05-06,2024-02-13,83,0.17846542596817017
11K0A08MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-23,2024-04-11,134,0.16970308125019073
20H0A06PF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-07,19,0.1593932956457138
20H0A0TAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-12-17,2022-10-28,415,0.16336266696453094
20J0A009F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-10-20,2022-05-27,146,0.25113916397094727
20W0A07NF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-11-08,2022-01-17,295,0.13220812380313873
39G0A001F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-02-07,2025-10-25,105,0.26716935634613037
40N0A0MAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2020-08-15,2020-08-14,1,0.42476752400398254
40W0A04AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-23,3,0.13209493458271027
40X0A0ARF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-04-05,2025-04-04,1,0.3103894293308258
5120A05BF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-09-25,2025-06-28,89,0.17922824621200562
5120A09XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-14,12,0.13884440064430237
5120A0UFF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-03,2024-07-18,16,0.14584271609783173
6140A00BF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-02-06,2025-09-08,151,0.3355952799320221
6190A015F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-03-11,2025-12-19,82,0.13812975585460663
69K0A0K3F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-11-26,2024-01-20,311,0.18093228340148926
69Q0A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-03-06,2024-03-02,4,0.2195236086845398
7020A05WF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-25,2024-07-25,31,0.20282086730003357
7090A058F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-04-12,2021-08-08,612,0.13063134253025055
70B0A019F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-28,2025-07-01,27,0.1304134875535965
70E0A0MNF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-04-12,2022-03-09,34,0.21731559932231903
70M0A03RF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-10,2025-04-14,26,0.13943025469779968
70N0A00EF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-01-22,2025-11-27,56,0.14948853850364685
78B0A021F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-02-19,2021-12-19,62,0.13236156105995178
78B0A02DF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-04-29,2025-01-29,90,0.1716972291469574
88P0A0EJF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-02,2025-02-08,83,0.14043928682804108
88P0A0FPF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-02-13,2025-09-20,146,0.1891103982925415
88Q0A008F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-05-09,2023-02-27,71,0.18248021602630615
88Q0A00CF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-15,2025-11-09,6,0.14545488357543945
88Q0A0AXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-21,2025-11-07,14,0.13279785215854645
88Q0A0LYF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-11-01,2023-07-26,98,0.1614854335784912
88Q0A0MVF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-09-09,2022-07-27,44,0.14298489689826965
88Q0A0MWF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-05-11,2024-05-06,5,0.16692271828651428
88R0A0G3F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-10-18,2025-08-13,66,0.17946916818618774
88S0A003F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-08-20,2022-06-05,76,0.19962745904922485
98F0B00EV97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-15,2024-06-24,52,0.13253585994243622
X820A002F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-22,2025-04-30,22,0.16999100148677826
X870A0HMF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-11-12,2024-06-26,139,0.1428602635860443
X880A03VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-04,2025-01-30,94,0.1513151228427887
X880A03WF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-04-18,2024-01-17,92,0.13451512157917023
X880A0BXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-06-25,2023-06-16,9,0.18613579869270325
X880A0E4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-01-17,2025-01-09,8,0.13462431728839874
X880A0G0F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-09-06,2025-01-30,219,0.1468215435743332
X880A0LCF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2021-12-11,2021-09-05,97,0.24499021470546722
X8D0A02XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-02-28,2025-02-04,24,0.22115468978881836
X8D0A063F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-07-20,2024-06-29,21,0.141977459192276
X8E0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-04-25,2022-04-11,14,0.17907072603702545
X8E0A00VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-05-06,2022-05-03,3,0.14655368030071259
X8E0A02YF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-25,2025-07-25,0,0.231011301279068
X8F0A04JF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-02-12,2023-01-11,32,0.13654479384422302
X8G0A05GF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-06-21,2022-06-12,9,0.1436878740787506
X8H0A018F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-05-17,2024-03-14,64,0.1788611114025116
X8R0A008F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-04-03,2024-05-03,335,0.1394362449645996
Y810A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-04-24,2024-04-24,0,0.16615110635757446
Z850A01KF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-06-18,2023-06-05,744,0.1392400860786438
Z8A0A096F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2026-03-10,2025-12-30,70,0.14553707838058472
Z8C0A003F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-14,2024-07-06,39,0.15133506059646606
