serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
1070A03AF97G,2023-06-22,2023-06-18,4.0,0.8743941783905029
10A0A0KPF97G,2021-08-12,2021-08-12,0.0,0.17945991456508636
10C0A0ADF97G,2020-12-20,2020-12-07,13.0,0.16783837974071503
29A0A008F97G,2024-05-10,2024-05-10,0.0,0.4192263185977936
40N0A0MAF97G,2020-08-15,2020-08-14,1.0,0.999887228012085
40P0A01MF97G,2023-01-12,2023-01-07,5.0,0.15077106654644012
40W0A04AF97G,2025-07-26,2025-07-21,5.0,0.3156960904598236
40X0A0ARF97G,2025-04-05,2025-04-01,4.0,0.9929023385047913
5090A0CJF97G,2022-11-29,2022-11-29,0.0,0.2474973201751709
5120A09XF97G,2025-07-26,2025-07-13,13.0,0.3487802743911743
5120A0UFF97G,2024-08-03,2024-07-14,20.0,0.16627825796604156
60U0A001F97G,2024-03-28,2024-03-27,1.0,0.2574861943721771
6190A015F97G,2026-03-11,2026-03-03,8.0,0.13119544088840485
61A0A0C4F97G,2024-12-09,2024-12-01,8.0,0.21009968221187592
69J0A057F97G,2024-10-12,2024-10-02,10.0,0.25784599781036377
70B0A019F97G,2025-07-28,2025-07-16,12.0,0.262944757938385
70M0A03RF97G,2025-05-10,2025-04-14,26.0,0.19032521545886993
88Q0A0AXF97G,2025-11-21,2025-10-23,29.0,0.3949667811393738
88S0A004F97G,2023-05-15,2023-05-12,3.0,0.17029310762882233
88T0A02FF97G,2025-03-21,2025-03-21,0.0,0.32112187147140503
98F0B00EV97G,2024-08-15,2024-08-13,2.0,0.30070677399635315
X820A002F97G,2025-05-22,2025-04-28,24.0,0.9998180270195007
X870A0LYF97G,2024-02-06,2024-01-31,6.0,0.19550152122974396
X880A0BXF97G,2023-06-25,2023-06-14,11.0,0.3463830053806305
X880A0E4F97G,2025-01-17,2025-01-07,10.0,0.3167015314102173
X880A0EUF97G,2022-08-20,2022-08-18,2.0,0.3278597295284271
X880A0FKF97G,2024-06-04,2024-05-31,4.0,0.20269536972045898
X8D0A063F97G,2024-07-20,2024-06-26,24.0,0.29718562960624695
X8E0A00MF97G,2022-04-25,2022-04-08,17.0,0.14293071627616882
X8E0A00VF97G,2022-05-06,2022-04-29,7.0,0.4439823627471924
X8F0A074F97G,2022-04-24,2022-04-21,3.0,0.15556657314300537
X8G0A05GF97G,2022-06-21,2022-06-09,12.0,0.5682933330535889
X8H0A02SF97G,2023-04-08,2023-03-09,30.0,0.34927570819854736
Y810A004F97G,2024-04-24,2024-04-22,2.0,0.2321675717830658
Y8S0A00MF97G,2023-12-07,2023-12-04,3.0,0.3709881603717804
Z840A00MF97G,2025-01-17,2025-01-01,16.0,0.13704495131969452
Z840A01PF97G,2026-01-13,2026-01-03,10.0,0.9274061322212219
Z870A01ZF97G,2025-05-04,2025-05-04,0.0,0.8676404356956482
