serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AGM8RJY,0,0,,,,0,0,0,1,0.019335299730300903,,2019-08-13,
2AGM8RTY,0,0,,,,0,0,0,1,0.021205423399806023,,2019-05-16,
2AGM8UNY,1,1,2025-10-18,2026-03-12,145.0,1,0,0,0,0.504481852054596,0.18428881466388702,2019-08-13,2258.0
2AGM8V7Y,0,0,,,,0,0,0,1,0.001195424352772534,,2019-05-16,
2AGM9MXY,1,0,,2025-09-21,,0,0,1,0,0.01812301017343998,,2019-05-04,
2AGM9PJY,0,0,,,,0,0,0,1,0.10927408933639526,,2019-05-04,
2AGM9RGY,1,0,,2022-12-23,,0,0,1,0,0.0007260112906806171,,2019-05-16,
2AGM9S6Y,0,0,,,,0,0,0,1,0.006253514904528856,,2019-05-16,
2AGM9SDY,0,0,,,,0,0,0,1,0.0005849038134329021,,2019-05-04,
2AGM9U1Y,0,0,,,,0,0,0,1,0.0005390468868426979,,2019-05-16,
2AGMDJKY,0,0,,,,0,0,0,1,0.0009045308106578887,,2019-05-04,
2AGMDUAY,1,0,,2023-02-04,,0,0,1,0,0.018463103100657463,,2019-05-16,
2AGMDY1Y,0,0,,,,0,0,0,1,0.01797635108232498,,2019-08-13,
2AGME0XY,1,1,2024-01-18,2024-05-29,132.0,1,0,0,0,0.17000102996826172,0.161714106798172,2019-05-16,1708.0
2AGME3BY,0,0,,,,0,0,0,1,0.00547436811029911,,2019-05-16,
2AGME9PY,1,0,,2024-08-06,,0,0,1,0,0.13453911244869232,,2019-08-13,
2AGMGAYY,0,0,,,,0,0,0,1,0.001069159945473075,,2019-05-16,
2AGMGDPY,0,0,,,,0,0,0,1,0.001214408315718174,,2019-08-13,
2AGMGKLY,0,0,,,,0,0,0,1,0.0003304887213744223,,2019-08-13,
2AGMGXEY,0,0,,,,0,0,0,1,0.0002798537607304752,,2019-08-13,
2AGMH2YY,1,0,,2024-12-10,,0,0,1,0,0.07714467495679855,,2019-05-16,
2AGMH3JY,0,0,,,,0,0,0,1,0.0006208008853718638,,2019-05-16,
2AGMHK6Y,0,0,,,,0,0,0,1,0.005513403099030256,,2019-05-04,
2AGMHPEY,1,0,,2024-06-25,,0,0,1,0,0.011496416293084621,,2019-06-01,
2AGMHRYY,1,0,,2024-05-16,,0,0,1,0,0.12524594366550446,,2019-05-16,
2AGMHTLY,0,0,,,,0,0,0,1,0.000961016514338553,,2019-05-04,
2AGMHU7Y,1,0,,2024-07-08,,0,0,1,0,0.008639724925160408,,2019-05-04,
2AGMHVTY,0,0,,,,0,0,0,1,0.0010610350873321295,,2019-05-16,
2AGMHWAY,1,1,2023-03-25,2023-09-22,181.0,1,0,0,0,0.2874304950237274,0.232232466340065,2019-08-13,1320.0
2AGMHXDY,1,1,2025-05-29,2025-06-02,4.0,1,0,0,0,0.3172059953212738,0.1827455312013626,2019-08-13,2116.0
2AGMHY3Y,1,0,,2025-11-18,,0,0,1,0,0.021198410540819168,,2019-08-13,
2AGMHY5Y,0,0,,,,0,0,0,1,0.0005528755718842149,,2019-08-13,
2AGMJ35Y,0,0,,,,0,0,0,1,0.0008989755297079682,,2019-05-04,
2AGMJ3JY,0,0,,,,0,0,0,1,0.0011950941989198327,,2019-05-16,
2AGMJ3TY,0,0,,,,0,0,0,1,0.0004175011708866805,,2019-08-13,
2AGMJ47Y,0,0,,,,0,0,0,1,0.0004487521364353597,,2019-06-01,
2AGMJ5BY,1,0,,2021-05-03,,0,0,1,0,0.00040770118357613683,,2019-05-04,
2AGMKV4Y,1,1,2025-12-14,2026-01-28,45.0,1,0,0,0,0.531808078289032,0.1643894612789154,2019-05-04,2416.0
2AGMKVHY,1,0,,2023-05-06,,0,0,1,0,0.07246710360050201,,2019-08-13,
2AGMKVTY,1,0,,2024-12-04,,0,0,1,0,0.0639481320977211,,2019-08-13,
2AGMLMLY,0,0,,,,0,0,0,1,0.09687649458646774,,2019-08-13,
2AGMLSZY,1,1,2020-07-19,2020-07-30,11.0,1,0,0,0,0.5482141971588135,0.21197369694709778,2019-05-16,430.0
2AGMLT7Y,0,0,,,,0,0,0,1,0.017548177391290665,,2019-05-16,
2AGMLWNY,0,0,,,,0,0,0,1,0.06625080108642578,,2019-08-13,
2AGMLZLY,1,0,,2026-02-11,,0,0,1,0,0.0848202183842659,,2019-05-16,
2AGMM0UY,0,1,2020-01-21,,,0,1,0,0,0.2804287374019623,0.1729786992073059,2019-05-16,250.0
2AGMMNKY,0,0,,,,0,0,0,1,0.028679322451353073,,2019-06-01,
2AGMMU1Y,0,0,,,,0,0,0,1,0.001054939697496593,,2019-05-16,
2AGMMU4Y,0,0,,,,0,0,0,1,0.0005232674302533269,,2019-08-13,
2AGMNB7Y,1,0,,2023-03-30,,0,0,1,0,0.04341695085167885,,2019-05-16,
2AGMNBEY,0,0,,,,0,0,0,1,0.001127208350226283,,2019-05-16,
2AGMND4Y,1,1,2025-10-12,2025-10-27,15.0,1,0,0,0,0.5346386432647705,0.23806346952915192,2019-05-04,2353.0
2AGMNE1Y,1,1,2025-07-01,2025-11-26,148.0,1,0,0,0,0.5385220050811768,0.17191721498966217,2019-05-16,2238.0
2AGMNEBY,1,0,,2024-08-05,,0,0,1,0,0.14404787123203278,,2019-05-04,
2AGMNG0Y,0,0,,,,0,0,0,1,0.14371319115161896,,2019-05-16,
2AGMNJKY,1,1,2025-09-14,2025-09-29,15.0,1,0,0,0,0.4699270725250244,0.1636914312839508,2019-05-16,2313.0
2AGMNM8Y,0,0,,,,0,0,0,1,0.039226219058036804,,2019-08-13,
2AGMNMWY,1,0,,2023-05-10,,0,0,1,0,0.028325358405709267,,2019-05-16,
2AGMNTXY,0,0,,,,0,0,0,1,0.001074465923011303,,2019-05-16,
2AGMNUVY,0,0,,,,0,0,0,1,0.0007969565340317786,,2019-05-04,
2AGMNWBY,0,0,,,,0,0,0,1,0.0004355197015684098,,2019-08-13,
2AGMNXRY,0,0,,,,0,0,0,1,0.08528365939855576,,2019-08-13,
2AGMP7ZY,0,0,,,,0,0,0,1,0.0005444223643280566,,2019-08-13,
2AGMPBWY,0,0,,,,0,0,0,1,0.02277098409831524,,2019-05-16,
2AGMPD8Y,1,0,,2023-11-21,,0,0,1,0,0.00021274042956065387,,2019-08-13,
2AGMPK3Y,0,0,,,,0,0,0,1,0.015513439662754536,,2019-05-04,
2AGMPL7Y,1,0,,2025-02-27,,0,0,1,0,0.050141140818595886,,2019-05-16,
2AGMPP1Y,0,0,,,,0,0,0,1,0.003778492333367467,,2019-05-16,
2AGMPP4Y,1,1,2025-09-11,2025-09-23,12.0,1,0,0,0,0.4685838222503662,0.21768617630004883,2019-05-16,2310.0
2AGMPPGY,0,0,,,,0,0,0,1,0.0009680800721980631,,2019-05-16,
2AGMPSSY,0,0,,,,0,0,0,1,0.0010047992691397667,,2019-05-16,
2AGMPT2Y,0,0,,,,0,0,0,1,0.0008896954823285341,,2019-05-16,
2AGMPZ8Y,0,0,,,,0,0,0,1,0.0003987597592640668,,2019-08-13,
2AGMS6PY,0,0,,,,0,0,0,1,0.00024246574321296066,,2019-08-13,
2AGMSHHY,1,0,,2022-08-12,,0,0,1,0,0.00019816833082586527,,2019-05-04,
2AGMTK0Y,1,1,2025-08-30,2025-08-30,0.0,1,0,0,0,0.40515491366386414,0.40515491366386414,2019-05-16,2298.0
2AGMTL0Y,1,0,,2023-04-17,,0,0,1,0,0.0004979835357517004,,2019-05-04,
2AGMTXAY,0,0,,,,0,0,0,1,0.0004461390490178019,,2019-08-13,
2AGMUBMY,0,0,,,,0,0,0,1,0.0005251331604085863,,2019-06-01,
2AGMUBRY,1,0,,2024-08-04,,0,0,1,0,0.000559596810489893,,2019-08-13,
2AGMV9UY,0,0,,,,0,0,0,1,0.0004901406355202198,,2019-08-13,
2AGMVDDY,0,0,,,,0,0,0,1,0.0014722308842465281,,2019-05-16,
2AGMWHVY,1,0,,2024-07-19,,0,0,1,0,0.04404192045331001,,2019-05-16,
2AGMZLMY,1,0,,2023-05-16,,0,0,1,0,0.12238532304763794,,2019-08-13,
2AGN038Y,0,0,,,,0,0,0,1,0.0004504005773924291,,2019-08-13,
2AGN03MY,0,0,,,,0,0,0,1,0.000580041145440191,,2019-08-13,
2AGN05MY,0,0,,,,0,0,0,1,0.00038867848343215883,,2019-08-13,
2AGN071Y,0,0,,,,0,0,0,1,0.0022218101657927036,,2019-08-13,
2AGN07AY,0,0,,,,0,0,0,1,0.0011581442086026073,,2019-08-13,
2AGN17RY,0,0,,,,0,0,0,1,0.0002861324464902282,,2019-08-13,
2AGN1YNY,0,0,,,,0,0,0,1,0.0009996702428907156,,2019-08-13,
2AGN29AY,0,0,,,,0,0,0,1,0.0003489956434350461,,2019-08-13,
2AGN43EY,0,0,,,,0,0,0,1,0.07009080797433853,,2019-08-13,
2AGN5A3Y,0,0,,,,0,0,0,1,0.0004204775905236602,,2019-06-01,
2AGN7GZY,0,0,,,,0,0,0,1,0.0002545140450820327,,2019-08-13,
2AGN7XVY,0,0,,,,0,0,0,1,0.07534877210855484,,2019-08-13,
2AGN7XYY,0,0,,,,0,0,0,1,0.011815023608505726,,2019-05-27,
2AGN853Y,0,0,,,,0,0,0,1,0.0003394939412828535,,2019-08-13,
2AGN8H9Y,0,0,,,,0,0,0,1,0.00033104087924584746,,2019-08-13,
2AGN8Y9Y,0,0,,,,0,0,0,1,0.015232549048960209,,2019-08-13,
2AGN8ZGY,0,0,,,,0,0,0,1,0.001702477689832449,,2019-06-01,
2AGN90RY,1,0,,2023-12-07,,0,0,1,0,0.0687188059091568,,2019-08-13,
2AGN9N4Y,1,1,2025-01-26,2025-03-06,39.0,1,0,0,0,0.34396693110466003,0.24527519941329956,2019-08-13,1993.0
2AGNAK7Y,0,0,,,,0,0,0,1,0.00031528659746982157,,2019-08-13,
2AGNAKGY,0,0,,,,0,0,0,1,0.00048336799954995513,,2019-08-13,
2AGNAYKY,0,0,,,,0,0,0,1,0.0004201818665023893,,2019-08-13,
2AGNBWPY,0,0,,,,0,0,0,1,0.0004740655131172389,,2019-08-13,
2AGND0EY,0,0,,,,0,0,0,1,0.003395488951355219,,2019-08-13,
2AGNEAHY,0,0,,,,0,0,0,1,0.0006164334481582046,,2019-08-13,
2AGNEK5Y,0,0,,,,0,0,0,1,0.006073240656405687,,2019-08-13,
2AGNEN9Y,0,0,,,,0,0,0,1,0.00096761534223333,,2019-08-13,
2AGNEREY,0,0,,,,0,0,0,1,0.007266515865921974,,2019-08-13,
2AGNGZPY,0,0,,,,0,0,0,1,0.0004117098869755864,,2019-05-27,
2AGNJE2Y,0,0,,,,0,0,0,1,0.00042106720502488315,,2019-06-01,
2AGNJG7Y,0,0,,,,0,0,0,1,0.0007758145220577717,,2019-08-13,
2AGNJGHY,0,0,,,,0,0,0,1,0.001456004218198359,,2019-08-13,
2AGNJRYY,0,0,,,,0,0,0,1,0.0003438140556681901,,2019-06-01,
2AGNJTAY,0,0,,,,0,0,0,1,0.00042324879905208945,,2019-08-13,
2AGNJTRY,0,0,,,,0,0,0,1,0.0003770619514398277,,2019-08-13,
2AGNKB9Y,1,0,,2023-11-29,,0,0,1,0,0.0005258258897811174,,2019-08-13,
2AGNKGXY,0,0,,,,0,0,0,1,0.0004029124975204468,,2019-08-13,
2AGNKNJY,0,0,,,,0,0,0,1,0.00040466507198289037,,2019-08-13,
2AGNKSPY,0,0,,,,0,0,0,1,0.0012188234832137823,,2019-08-13,
2AGNKV4Y,0,0,,,,0,0,0,1,0.0007339955773204565,,2019-08-13,
2AGNL61Y,0,0,,,,0,0,0,1,0.0007298081764020026,,2019-05-16,
2AGNNTHY,0,0,,,,0,0,0,1,0.018497632816433907,,2019-05-16,
2AGNT47Y,0,0,,,,0,0,0,1,0.0006269421428442001,,2019-05-16,
2AGP393Y,1,1,2019-08-10,2023-04-06,1335.0,1,0,0,0,0.5221244692802429,0.16507603228092194,2019-06-01,70.0
2AGP43EY,1,0,,2024-09-01,,0,0,1,0,0.018680844455957413,,2019-05-16,
2AGP5EDY,0,0,,,,0,0,0,1,0.001284438418224454,,2019-05-16,
2AGP5GBY,0,0,,,,0,0,0,1,0.0013226079754531384,,2019-05-16,
2AGP5J1Y,0,0,,,,0,0,0,1,0.0013525808462873101,,2019-05-16,
2AGP6TYY,0,0,,,,0,0,0,1,0.0004234602674841881,,2019-05-16,
2AGP6UBY,0,0,,,,0,0,0,1,0.0014364066300913692,,2019-05-16,
2AGP9W7Y,0,0,,,,0,0,0,1,0.08884190022945404,,2019-05-16,
2AGPHHKY,0,0,,,,0,0,0,1,0.0005518529214896262,,2019-06-01,
2AGPHHTY,0,0,,,,0,0,0,1,0.0004859088221564889,,2019-06-01,
2AGPJAVY,0,0,,,,0,0,0,1,0.00024737505009397864,,2019-05-27,
2AGPJBGY,0,0,,,,0,0,0,1,0.00024871077039279044,,2019-05-27,
2AGPJBNY,0,0,,,,0,0,0,1,0.00023192554363049567,,2019-05-27,
2AGPJE5Y,0,0,,,,0,0,0,1,0.00071490224217996,,2019-05-16,
2AGPJGPY,1,0,,2021-02-22,,0,0,1,0,0.014645462855696678,,2019-05-16,
2AGPJH1Y,1,0,,2024-08-11,,0,0,1,0,0.037247467786073685,,2019-05-16,
2AGPJHAY,0,0,,,,0,0,0,1,0.0004532854654826224,,2019-08-13,
2AGPJHXY,0,0,,,,0,0,0,1,0.00024950903025455773,,2019-05-27,
2AGPJL8Y,0,0,,,,0,0,0,1,0.0013046606909483671,,2019-05-27,
2AGPJLWY,0,0,,,,0,0,0,1,0.0004021519562229514,,2019-08-13,
2AGPJMRY,0,0,,,,0,0,0,1,0.0006280835950747132,,2019-08-13,
2AGPJP0Y,0,0,,,,0,0,0,1,0.00023143450380302966,,2019-05-27,
2AGPK9HY,0,0,,,,0,0,0,1,0.0012899849098175764,,2019-08-13,
2AGPKA3Y,0,0,,,,0,0,0,1,0.004649986978620291,,2019-08-13,
2AGPKALY,0,0,,,,0,0,0,1,0.0012422901345416903,,2019-05-16,
2AGPKARY,0,0,,,,0,0,0,1,0.001689824741333723,,2019-05-16,
2AGPKB2Y,0,0,,,,0,0,0,1,0.00030576431890949607,,2019-05-27,
2AGPKTUY,0,0,,,,0,0,0,1,0.0012401343556120992,,2019-05-16,
2AGPKVGY,0,0,,,,0,0,0,1,0.0004254542582202703,,2019-05-16,
2AGPKWNY,1,0,,2023-10-29,,0,0,1,0,0.034068431705236435,,2019-05-16,
2AGPKX4Y,0,0,,,,0,0,0,1,0.011303320527076721,,2019-05-16,
2AGPL2YY,0,0,,,,0,0,0,1,0.0014488876331597567,,2019-05-16,
2AGPL4UY,0,0,,,,0,0,0,1,0.00043209322029724717,,2019-05-16,
2AGPL4ZY,0,0,,,,0,0,0,1,0.0005976329557597637,,2019-05-27,
2AGPLSSY,0,0,,,,0,0,0,1,0.0006440390716306865,,2019-05-16,
2AGPMDVY,0,0,,,,0,0,0,1,0.00023418536875396967,,2019-05-27,
2AGPMEPY,0,0,,,,0,0,0,1,0.0004242881841491908,,2019-05-16,
2AGPMGGY,0,0,,,,0,0,0,1,0.0013892559800297022,,2019-05-16,
2AGPMM3Y,0,0,,,,0,0,0,1,0.0002545613970141858,,2019-05-27,
2AGPMN9Y,0,0,,,,0,0,0,1,0.0002766936959233135,,2019-05-27,
2AGPMRDY,0,0,,,,0,0,0,1,0.0004964068066328764,,2019-05-27,
2AGPMY1Y,0,0,,,,0,0,0,1,0.000699456490110606,,2019-05-16,
2AGPN6PY,0,0,,,,0,0,0,1,0.02408408559858799,,2019-05-16,
2AGPPJAY,0,0,,,,0,0,0,1,0.0010938758496195078,,2019-05-16,
2AGPPLLY,1,0,,2023-11-29,,0,0,1,0,0.12982070446014404,,2019-05-16,
2AGPR6YY,0,0,,,,0,0,0,1,0.0005453509511426091,,2019-05-16,
2AGPR7RY,0,0,,,,0,0,0,1,0.0006681675440631807,,2019-05-16,
2AGPR8EY,0,0,,,,0,0,0,1,0.0005352030275389552,,2019-05-16,
2AGPRL8Y,0,0,,,,0,0,0,1,0.00024235944147221744,,2019-05-27,
2AGPRMLY,1,0,,2026-03-26,,0,0,1,0,0.006278470624238253,,2019-08-13,
2AGPRMRY,1,0,,2024-08-12,,0,0,1,0,0.00025337078841403127,,2019-05-04,
2AGPRRJY,0,0,,,,0,0,0,1,0.08029015362262726,,2019-05-04,
2AGPS2ZY,0,0,,,,0,0,0,1,0.0005663332412950695,,2019-05-16,
2AGPSEDY,0,0,,,,0,0,0,1,0.0003066702338401228,,2019-05-27,
2AGPSG5Y,0,0,,,,0,0,0,1,0.0009881773730739951,,2019-05-27,
2AGPSGKY,0,0,,,,0,0,0,1,0.00039365023258142173,,2019-08-13,
2AGPSJKY,0,0,,,,0,0,0,1,0.0005366003606468439,,2019-08-13,
2AGPSRUY,0,0,,,,0,0,0,1,0.00035090194432996213,,2019-05-16,
2AGPT2PY,0,0,,,,0,0,0,1,0.0010323883034288883,,2019-08-13,
2AGPT48Y,0,0,,,,0,0,0,1,0.0005178679130040109,,2019-06-01,
2AGPT7PY,0,0,,,,0,0,0,1,0.0033913718070834875,,2019-08-13,
2AGPTL4Y,0,0,,,,0,0,0,1,0.0016487434040755033,,2019-05-27,
2AGPTVLY,0,0,,,,0,0,0,1,0.0006327710580080748,,2019-06-01,
5PG0TA6F,0,0,,,,0,0,0,1,0.0003216775075998157,,2020-07-14,
5PG0TAKF,0,0,,,,0,0,0,1,0.0005326269310899079,,2020-05-10,
