manufacturer,Total_Hit_Alarms,Mean_Lead_Time,Median_Lead_Time,Std_Lead_Time,Min_Lead_Time,Max_Lead_Time
HGST (20HUH721212ALN604),77,10.207792207792208,9.0,8.245154338247247,0.0,30.0
Seagate (ST12000NM0007),193,7.787564766839378,4.0,8.729228367554537,0.0,30.0
Toshiba (20MG07ACA14TA),114,11.236842105263158,10.0,9.013561691375344,0.0,30.0
