Model,Evaluation Type,Threshold,Disk-level Precision,Disk-level Recall,F1-score,PR-AUC,Disk-level FAR (%),Median Lead Time,EDR@15
EasyEnsemble-LGBM,General Classification,0.9643,0.1247,0.2714,0.1709,0.0630,0.3579%,N/A,N/A
EasyEnsemble-LGBM,Rolling Inference,0.9643,0.5168,0.3348,0.4063,N/A,1.9694%,5.00 days,7.39%
