trial,pauc,epochs,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size
6,0.9005887215186675,16,256,1,,0.004741216804249708,2.4232243900608937e-06,2048
11,0.8960554848312264,9,64,2,0.006524472532223297,0.001821551205002449,0.0008514241585355891,512
0,0.8950631566779402,9,64,2,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,512
4,0.8893384572241733,13,128,1,,0.0004274218324036844,2.849988343697162e-05,2048
39,0.8875343326662141,6,32,1,,0.006092505459782803,7.2427440118307435e-06,2048
2,0.8869172799096718,6,32,2,0.0716766437045232,0.007750644796341917,0.00012229065947034367,2048
1,0.8862412452870435,30,128,1,,0.00010975815419380165,0.002140323314098607,2048
3,0.8820943224470978,19,256,2,0.30846699843737846,0.007717846862118065,0.0005336803302756717,2048
10,0.8799874377321872,6,256,3,0.47638913043005787,0.0027871583610147043,0.00011745821804200222,512
