experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.30147783251231525,0.041714181778000944,0.1733833867506393,0.023117322539244426,0.001020391968749649,1.5930254547893772e-06,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,8.0,1.2649110640673518
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.5687100893997445,0.07038416026838705,0.07564754080939927,0.017259571776131678,0.005012436826396079,8.596209911323712e-06,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,15.333333333333334,3.777124126457412
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6784878063613695,0.08787980147614077,0.04674962081927943,0.011576845408793925,0.01001145334860445,8.732894456429791e-06,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,18.333333333333332,4.760952285695233
tos936_nn,TOSHIBA_20MG07ACA14TA,mlp_pauc,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.7981641123882504,0.01870446292989429,0.011408599648610776,0.00230142342803167,0.05001253268975727,8.896797669911993e-06,0.894601975931188,0.042244762163522596,0.16974463904154669,0.05453684399221607,21.5,4.370354676682432
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,month_quantile,0.001,42,6,162,223444,0.2947454844006568,0.04526483375023047,0.17020174766474488,0.026438584366965136,0.001020391968749649,1.5930254547893772e-06,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,7.833333333333333,1.4719601443879744
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,month_quantile,0.005,42,6,162,223444,0.5644788055707596,0.07688438223137824,0.07555233263361343,0.019983077884020945,0.005012436826396079,8.596209911323712e-06,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,15.333333333333334,4.366539438350084
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,month_quantile,0.01,42,6,162,223444,0.7161383263394757,0.06349383227486476,0.04919793184832119,0.010514385010560175,0.01001145334860445,8.732894456429791e-06,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,19.333333333333332,4.320493798938574
tos936_nn,TOSHIBA_20MG07ACA14TA,lstm_pauc,sequence,in_horizon,month_quantile,0.05,42,6,162,223444,0.8351737821565408,0.043732770223341724,0.01193222191857633,0.0024827067492114983,0.05001253268975727,8.896797669911993e-06,0.901102297775349,0.04365379151349863,0.1488776321150825,0.03886190402025484,22.5,4.722287581247038
tos936_nn,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,month_quantile,0.001,42,6,162,223444,0.2591992033083987,0.0672814183297527,0.15374182852535154,0.04298332926126514,0.001020391968749649,1.5930254547893772e-06,0.9087607640031348,0.01380554196718377,0.14438715931865947,0.06373343229016964,7.0,2.280350850198276
tos936_nn,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,in_horizon,month_quantile,0.005,42,6,162,223444,0.5792989417989418,0.13177956586045508,0.07629535097902065,0.020542118464672195,0.005012436826396079,8.596209911323712e-06,0.9087607640031348,0.01380554196718377,0.14438715931865947,0.06373343229016964,15.5,4.505552130427524
