dataset,model,seed,target_recall,tau,row_recall,row_far,neg_per_pos,prec_Balanced,prec_Partial 10:1,prec_Partial 100:1,prec_Full,op_recall,op_precision,burden,op_median_lt,early_share
HGST,LGBM,42,0.3,0.021,0.30467762326169406,0.0052443900832666885,559.8662031184155,0.9830783556590109,0.8531483058444559,0.36747257460993665,0.09401209284181784,0.10493827160493827,0.10828025477707007,0.05834186284544524,156.0,0.5123456790123457
HGST,LGBM,42,0.5,0.008,0.5111672987779182,0.014714776308980571,559.8662031184155,0.9720188669550126,0.7764782068447155,0.25782089930820773,0.058422636965683325,0.10493827160493827,0.08854166666666667,0.0736949846468782,239.5,0.6358024691358025
HGST,LGBM,42,0.7,0.003,0.7631689844079225,0.04891151150209343,559.8662031184155,0.9397701191588363,0.6094216038964237,0.13497095428601524,0.027113619690686153,0.08024691358024691,0.0436241610738255,0.1555783009211873,389.5,0.8209876543209876
HGST,LGBM,43,0.3,0.018000000000000002,0.3107880320269701,0.00476078468269276,559.8662031184155,0.9849126840901034,0.8671640785067866,0.3949691998705778,0.10442477876106196,0.05555555555555555,0.06521739130434782,0.04503582395087001,166.0,0.5246913580246914
HGST,LGBM,43,0.5,0.008,0.5151706700379267,0.013864232958554828,559.8662031184155,0.9737933492099914,0.7879480376416634,0.2709151792011964,0.06223907952347014,0.11728395061728394,0.09743589743589744,0.07471852610030706,242.5,0.6358024691358025
HGST,LGBM,43,0.7,0.003,0.7671723556679308,0.04907936209248718,559.8662031184155,0.9398722709862735,0.6098514347310211,0.13518196998213697,0.02716130427971444,0.08024691358024691,0.04377104377104377,0.15455475946775846,370.5,0.8209876543209876
HGST,LGBM,44,0.3,0.022000000000000002,0.3112094395280236,0.005239497577268664,559.8662031184155,0.9834428340155071,0.8559011563999995,0.37263487075392004,0.09591531917656992,0.09259259259259259,0.1,0.05015353121801433,162.0,0.5308641975308642
HGST,LGBM,44,0.5,0.008,0.5151706700379267,0.016310109610951685,559.8662031184155,0.9693119483610924,0.7595342984185756,0.2400405737169309,0.05340410195924252,0.09876543209876543,0.08,0.08085977482088025,244.0,0.6481481481481481
HGST,LGBM,44,0.7,0.003,0.7960387694900969,0.06042169638236816,559.8662031184155,0.9294518558765963,0.5684952759352246,0.11641042829151034,0.02299088397453842,0.07407407407407407,0.03908794788273615,0.1647901740020471,398.0,0.8271604938271605
HGST,LGBM,45,0.3,0.045,0.30214917825537296,0.004045726113750764,559.8662031184155,0.9867870886940903,0.8819133078490866,0.4275362422508145,0.11769533814839134,0.13580246913580246,0.13664596273291926,0.05834186284544524,162.5,0.5061728395061729
HGST,LGBM,45,0.5,0.019000000000000003,0.5042140750105352,0.012699816531025074,559.8662031184155,0.9754314659775323,0.798802752548478,0.28419303858137196,0.0662183850794178,0.11728395061728394,0.09178743961352658,0.08700102354145343,249.5,0.6358024691358025
HGST,LGBM,45,0.7,0.007,0.7083860092709651,0.038044879333866494,559.8662031184155,0.9490309418933923,0.6505908954904487,0.15697004132444242,0.032187033278443695,0.09876543209876543,0.05574912891986063,0.14431934493346982,330.5,0.8024691358024691
HGST,LGBM,46,0.3,0.051000000000000004,0.309102402022756,0.005354659641529849,559.8662031184155,0.9829717303431191,0.8523459415414738,0.36598860956915935,0.09346925772539026,0.11728395061728394,0.10270270270270271,0.07881269191402251,169.0,0.5493827160493827
HGST,LGBM,46,0.5,0.022000000000000002,0.5018963337547409,0.015237898104153927,559.8662031184155,0.970533959723804,0.7671026590862823,0.24776608913438247,0.055562034942035404,0.12345679012345678,0.09049773755656108,0.09723643807574207,257.5,0.654320987654321
HGST,LGBM,46,0.7,0.008,0.7026970080067425,0.03961800818553888,559.8662031184155,0.9466291165861629,0.6394682485326044,0.15064794413783153,0.030707610146862487,0.08641975308641975,0.0472972972972973,0.15250767656090072,387.0,0.8209876543209876
HGST,LGBM,47,0.3,0.025,0.30130636325326593,0.005376111398598109,559.8662031184155,0.9824701055881954,0.8485890219966373,0.3591608973888022,0.09099586382437164,0.12962962962962962,0.13291139240506328,0.04912998976458546,166.0,0.5493827160493827
HGST,LGBM,47,0.5,0.011,0.5065318162663296,0.014257515171472926,559.8662031184155,0.9726232579839711,0.7803518391457329,0.26214158529819603,0.05967037331215252,0.10493827160493827,0.08808290155440414,0.07471852610030706,242.5,0.6358024691358025
HGST,LGBM,47,0.7,0.005,0.7035398230088495,0.039494942842357814,559.8662031184155,0.9468464402239469,0.6404612717797968,0.15120022909642114,0.03083615005264033,0.06790123456790123,0.04059040590405904,0.1330603889457523,331.0,0.8024691358024691
HGST,LGBM,48,0.3,0.008,0.39022334597555836,0.008288281507268194,559.8662031184155,0.9792019079603258,0.8248113808346055,0.3201040702801651,0.07757068062827226,0.08641975308641975,0.08383233532934131,0.06038894575230297,216.0,0.5802469135802469
HGST,LGBM,48,0.5,0.003,0.5442477876106194,0.01875259914381145,559.8662031184155,0.9666916762670166,0.7437377550178307,0.22494153962088603,0.04928354734693099,0.08024691358024691,0.06220095693779904,0.0931422722620266,244.0,0.6481481481481481
HGST,LGBM,48,0.7,0.002,0.7528445006321113,0.055592792962318296,559.8662031184155,0.9312342547742389,0.5752294923306556,0.11926960320489086,0.023616894705532424,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5,0.8024691358024691
HGST,LGBM,49,0.3,0.042,0.30299199325748,0.00581568424518982,559.8662031184155,0.9811672938567418,0.8389671052443933,0.3425339718671986,0.08513409508022025,0.11728395061728394,0.09743589743589744,0.09109518935516889,170.5,0.5370370370370371
HGST,LGBM,49,0.5,0.018000000000000002,0.5042140750105352,0.016350002352166344,559.8662031184155,0.9685917583191694,0.7551346843191165,0.2357005899782856,0.05220673255230491,0.09876543209876543,0.06751054852320675,0.11361310133060389,242.5,0.6790123456790124
HGST,LGBM,49,0.7,0.007,0.7208175305520438,0.04216324034435715,559.8662031184155,0.9447387903435353,0.6309401481000132,0.14599895932978602,0.02963084864967866,0.08641975308641975,0.04516129032258064,0.1699078812691914,353.0,0.8024691358024691
HGST,LGBM,50,0.3,0.056,0.3019384745048462,0.004561697323234699,559.8662031184155,0.985116819687157,0.868749077221081,0.3982788628130816,0.10572524715951011,0.12345679012345678,0.1111111111111111,0.07983623336745138,166.0,0.5061728395061729
HGST,LGBM,50,0.5,0.021,0.5023177412557943,0.01403471797525521,559.8662031184155,0.972819500083033,0.781616865702976,0.26357461358351697,0.06008670228853715,0.12345679012345678,0.09049773755656108,0.1023541453428864,265.0,0.6234567901234568
HGST,LGBM,50,0.7,0.008,0.71196797302992,0.03695460318953756,559.8662031184155,0.9506563103277197,0.6583067531142127,0.16153818641243975,0.03326704209821605,0.09876543209876543,0.05228758169934641,0.16376663254861823,352.0,0.8024691358024691
HGST,LGBM,51,0.3,0.009000000000000001,0.3577749683944374,0.007013595521475279,559.8662031184155,0.9807735323547807,0.8360968338382319,0.3377993649110425,0.08350545883741517,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0,0.5493827160493827
HGST,LGBM,51,0.5,0.003,0.5981879477454699,0.02503194241896787,559.8662031184155,0.9598344937091735,0.7049885098596285,0.19287785611952285,0.04093609412850387,0.08024691358024691,0.059907834101382486,0.10030706243602866,244.0,0.654320987654321
HGST,LGBM,51,0.7,0.002,0.7528445006321113,0.055592792962318296,559.8662031184155,0.9312342547742389,0.5752294923306556,0.11926960320489086,0.023616894705532424,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5,0.8024691358024691
HGST,LGBM,52,0.3,0.018000000000000002,0.3272229245680573,0.0054720797854824295,559.8662031184155,0.9835522634428634,0.8567307311462018,0.37421244308944135,0.09650158453986206,0.1111111111111111,0.11764705882352941,0.0511770726714432,165.0,0.5246913580246914
HGST,LGBM,52,0.5,0.007,0.5172777075431942,0.01647118596227125,559.8662031184155,0.9691405712261161,0.758483314770938,0.2389939895212862,0.05311438523614807,0.08641975308641975,0.06896551724137931,0.08290685772773797,242.5,0.6666666666666666
HGST,LGBM,52,0.7,0.003,0.7802359882005899,0.06158987627605024,559.8662031184155,0.9268377477159835,0.5588543567613937,0.11243851349932436,0.022126617071494728,0.08024691358024691,0.04153354632587859,0.16888433981576254,407.5,0.8333333333333334
HGST,LGBM,53,0.3,0.008,0.3554572271386431,0.007081337912217152,559.8662031184155,0.9804673527319122,0.8338769361947416,0.3342048033525323,0.0822806418572892,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0,0.5493827160493827
HGST,LGBM,53,0.5,0.003,0.5986093552465234,0.0250323187655831,559.8662031184155,0.9598610551399791,0.7051318273180822,0.19298516929514706,0.04096316055078942,0.08024691358024691,0.059907834101382486,0.10030706243602866,244.0,0.654320987654321
HGST,LGBM,53,0.7,0.002,0.7528445006321113,0.055592792962318296,559.8662031184155,0.9312342547742389,0.5752294923306556,0.11926960320489086,0.023616894705532424,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5,0.8024691358024691
HGST,LGBM,54,0.3,0.049,0.3061525495153814,0.004359222844239545,559.8662031184155,0.9859611672333283,0.8753598875816292,0.4125629054015449,0.11146057072721695,0.11728395061728394,0.1,0.09007164790174002,166.0,0.5123456790123457
HGST,LGBM,54,0.5,0.022000000000000002,0.5027391487568479,0.013461165733640684,559.8662031184155,0.9739225929241686,0.7887950308535251,0.27191908094382305,0.06253603816113644,0.09259259259259259,0.06172839506172839,0.1218014329580348,263.5,0.6728395061728395
HGST,LGBM,54,0.7,0.007,0.7273493468183734,0.043607658653619985,559.8662031184155,0.9434369772320538,0.6251789013514293,0.1429506440964979,0.028929879402965066,0.07407407407407407,0.03715170278637771,0.18219037871033777,387.0,0.8209876543209876
HGST,LGBM,55,0.3,0.054,0.30931310577328275,0.004727289833937056,559.8662031184155,0.9849468733957092,0.8674291817565672,0.39551976812751255,0.10464038776819447,0.13580246913580246,0.11891891891891893,0.0736949846468782,168.0,0.5617283950617284
HGST,LGBM,55,0.5,0.02,0.5120101137800253,0.013514230606388483,559.8662031184155,0.9742842919633585,0.7911739152633,0.27476709162897656,0.0633819348444143,0.09876543209876543,0.07174887892376682,0.10542476970317298,261.0,0.6419753086419753
HGST,LGBM,55,0.7,0.008,0.7088074167720185,0.0356321211836101,559.8662031184155,0.9521356411543338,0.6654664964721382,0.16591858041443777,0.034311475577042734,0.07407407407407407,0.04240282685512368,0.1473899692937564,338.0,0.7839506172839507
HGST,LGBM,56,0.3,0.008,0.3887484197218711,0.008196452933151433,559.8662031184155,0.9793511555437704,0.8258715221318069,0.321706754617949,0.0780985438537081,0.08641975308641975,0.08383233532934131,0.06038894575230297,216.0,0.5802469135802469
HGST,LGBM,56,0.5,0.003,0.5427728613569321,0.01867695347414969,559.8662031184155,0.9667344204579196,0.7439908417381432,0.2251732088320995,0.04934582303699022,0.08024691358024691,0.06220095693779904,0.0931422722620266,244.0,0.6481481481481481
HGST,LGBM,56,0.7,0.002,0.7528445006321113,0.055592792962318296,559.8662031184155,0.9312342547742389,0.5752294923306556,0.11926960320489086,0.023616894705532424,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5,0.8024691358024691
HGST,LGBM,57,0.3,0.048,0.30130636325326593,0.004608364303523545,559.8662031184155,0.9849357880206402,0.8673432102218744,0.39534109064761475,0.10457038391224865,0.15432098765432098,0.15625,0.05424769703172978,155.0,0.5061728395061729
HGST,LGBM,57,0.5,0.022000000000000002,0.5056890012642224,0.01310438914240015,559.8662031184155,0.9747406397523123,0.7941933062846069,0.2784434934054856,0.06448146157979581,0.12345679012345678,0.0970873786407767,0.08290685772773797,255.0,0.6481481481481481
HGST,LGBM,57,0.7,0.007,0.712810788032027,0.038889777485063746,559.8662031184155,0.948264270017794,0.6470048541394007,0.15489864046821755,0.031700369197323795,0.09259259259259259,0.05172413793103448,0.14841351074718526,336.0,0.8024691358024691
HGST,LGBM,58,0.3,0.02,0.3122629582806574,0.0049783130262972194,559.8662031184155,0.9843074862050962,0.8624950473481695,0.3854649679035351,0.1007477906186268,0.10493827160493827,0.1111111111111111,0.04912998976458546,171.0,0.5432098765432098
HGST,LGBM,58,0.5,0.007,0.5021070375052676,0.010109046431763654,559.8662031184155,0.980264098007109,0.8324090136114054,0.3318593266107908,0.08148680071125701,0.1111111111111111,0.10112359550561797,0.06345957011258956,219.0,0.6049382716049383
HGST,LGBM,58,0.7,0.003,0.764433206911083,0.050249047372630196,559.8662031184155,0.9383206801075957,0.6033774714247185,0.13204155885913405,0.026453560439239934,0.07407407407407407,0.04081632653061224,0.1535312180143296,392.5,0.8148148148148148
HGST,LGBM,59,0.3,0.028,0.3002528445006321,0.004779602013454391,559.8662031184155,0.9843308406430997,0.8626743972153347,0.38582345297771,0.1008849557522124,0.09876543209876543,0.10526315789473684,0.05527123848515865,159.5,0.5061728395061729
HGST,LGBM,59,0.5,0.010000000000000002,0.5035819637589549,0.01509375735051983,559.8662031184155,0.9708994334297477,0.7693917982401152,0.2501701670414747,0.05624058734939759,0.09259259259259259,0.07731958762886598,0.07574206755373593,250.5,0.6481481481481481
HGST,LGBM,59,0.7,0.004,0.7313527180783818,0.0480910758808863,559.8662031184155,0.938300777742289,0.6032951846048287,0.13200215824384173,0.02644470686830978,0.08024691358024691,0.04421768707482993,0.15250767656090072,392.0,0.8148148148148148
HGST,LGBM,60,0.3,0.043000000000000003,0.3116308470290771,0.005429552617961142,559.8662031184155,0.982875336610925,0.8516217191357055,0.36465704720789266,0.09298377970577142,0.09259259259259259,0.07936507936507936,0.0849539406345957,169.5,0.5617283950617284
