threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.1206896551724138,0.20095693779904306,0.15080789946140036,0.05686695278969957,0.3088235294117647,187.02941176470588,85.5,296.96231542403984,136,42,94,73,212,3516
0.02,0.14930555555555555,0.20574162679425836,0.17303822937625754,0.04130901287553648,0.3208955223880597,167.93283582089552,77.0,280.1196492162461,134,43,91,75,154,3574
0.03,0.1721311475409836,0.20095693779904306,0.18543046357615894,0.0305793991416309,0.3230769230769231,161.36153846153846,76.5,263.02032690813826,130,42,88,79,114,3614
0.04,0.20673076923076922,0.20574162679425836,0.20623501199040767,0.021995708154506438,0.3412698412698413,137.26190476190476,71.0,204.72820459111642,126,43,83,83,82,3646
0.05,0.21808510638297873,0.19617224880382775,0.20654911838790932,0.019313304721030045,0.35344827586206895,130.26724137931035,53.5,203.4385172630373,116,41,75,93,72,3656
0.06,0.22560975609756098,0.17703349282296652,0.19839142091152817,0.01528969957081545,0.34579439252336447,119.41121495327103,54.0,167.2327245884915,107,37,70,102,57,3671
0.07,0.23529411764705882,0.1722488038277512,0.1988950276243094,0.013680257510729614,0.35294117647058826,110.67647058823529,52.5,163.1297547884725,102,36,66,107,51,3677
0.08,0.24285714285714285,0.16267942583732056,0.19484240687679083,0.012339055793991416,0.3617021276595745,112.7872340425532,53.5,167.57918879706213,94,34,60,115,46,3682
0.09,0.2903225806451613,0.1722488038277512,0.21621621621621623,0.01046137339055794,0.4235294117647059,92.2,42.0,136.4562243962165,85,36,49,124,39,3689
0.1,0.29357798165137616,0.15311004784688995,0.2012578616352201,0.008583690987124463,0.4155844155844156,93.03896103896103,42.0,141.1724046429995,77,32,45,132,32,3696
0.11,0.29411764705882354,0.14354066985645933,0.19292604501607716,0.0075107296137339056,0.40540540540540543,92.36486486486487,42.5,139.43220519881106,74,30,44,135,28,3700
0.12,0.32978723404255317,0.14832535885167464,0.2046204620462046,0.006169527896995708,0.43661971830985913,92.90140845070422,44.0,142.21667212040288,71,31,40,138,23,3705
0.13,0.32926829268292684,0.1291866028708134,0.18556701030927839,0.00509656652360515,0.42857142857142855,89.41269841269842,44.0,136.8388734938569,63,27,36,146,19,3709
0.14,0.3333333333333333,0.12440191387559808,0.18118466898954705,0.004828326180257511,0.43333333333333335,83.76666666666667,50.0,121.98119618294545,60,26,34,149,18,3710
0.15,0.3246753246753247,0.11961722488038277,0.17482517482517482,0.004828326180257511,0.423728813559322,84.59322033898304,55.0,122.66215399149327,59,25,34,150,18,3710
0.16,0.3055555555555556,0.10526315789473684,0.15658362989323843,0.0045600858369098714,0.4,86.16363636363636,55.0,125.51374624266367,55,22,33,154,17,3711
0.17,0.296875,0.09090909090909091,0.13919413919413917,0.0034871244635193135,0.37254901960784315,84.07843137254902,59.0,119.83270088527996,51,19,32,158,13,3715
0.18,0.30158730158730157,0.09090909090909091,0.13970588235294118,0.003218884120171674,0.37254901960784315,79.68627450980392,55.0,100.85487344638051,51,19,32,158,12,3716
0.19,0.3620689655172414,0.10047846889952153,0.15730337078651685,0.0029506437768240345,0.44680851063829785,74.7872340425532,51.0,99.43434403263564,47,21,26,162,11,3717
0.2,0.3888888888888889,0.10047846889952153,0.1596958174904943,0.0024141630901287556,0.4666666666666667,73.2,34.0,101.25755938858755,45,21,24,164,9,3719
0.21,0.4117647058823529,0.10047846889952153,0.16153846153846155,0.002145922746781116,0.4883720930232558,72.93023255813954,34.0,102.65756926721426,43,21,22,166,8,3720
0.22,0.3877551020408163,0.09090909090909091,0.14728682170542634,0.002145922746781116,0.4634146341463415,71.8780487804878,38.0,98.94053279793415,41,19,22,168,8,3720
0.23,0.4,0.0861244019138756,0.14173228346456695,0.002145922746781116,0.4864864864864865,68.45945945945945,33.0,100.53198888362353,37,18,19,172,8,3720
0.24,0.40476190476190477,0.08133971291866028,0.13545816733067728,0.002145922746781116,0.5,54.205882352941174,31.5,62.04589355126086,34,17,17,175,8,3720
0.25,0.38461538461538464,0.07177033492822966,0.12096774193548389,0.002145922746781116,0.4838709677419355,57.0,33.0,63.92182725798755,31,15,16,178,8,3720
0.26,0.4444444444444444,0.07655502392344497,0.1306122448979592,0.001609442060085837,0.5333333333333333,54.266666666666666,26.0,65.71399309803726,30,16,14,179,6,3722
0.27,0.4117647058823529,0.06698564593301436,0.11522633744855967,0.001609442060085837,0.5,54.964285714285715,30.5,62.88906454047086,28,14,14,181,6,3722
0.28,0.41935483870967744,0.06220095693779904,0.10833333333333334,0.0013412017167381974,0.5,56.23076923076923,30.0,64.60251703378586,26,13,13,183,5,3723
0.29,0.4230769230769231,0.05263157894736842,0.09361702127659574,0.0008047210300429185,0.4782608695652174,56.130434782608695,33.0,64.36533251872274,23,11,12,186,3,3725
0.3,0.3333333333333333,0.03349282296650718,0.06086956521739131,0.000536480686695279,0.3684210526315789,66.47368421052632,48.0,65.24558337224434,19,7,12,190,2,3726
