dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,XGB,50,1460,0.30700403451919556,5,0.00511770726714432,977
HGST,XGB,50,-1,0.30700403451919556,24,0.02456499488229273,977
HGST,XGB,51,180,0.24572353065013885,0,0.0,977
HGST,XGB,51,365,0.24572353065013885,2,0.0020470829068577278,977
HGST,XGB,51,730,0.24572353065013885,3,0.0030706243602865915,977
HGST,XGB,51,1095,0.24572353065013885,3,0.0030706243602865915,977
HGST,XGB,51,1460,0.24572353065013885,4,0.0040941658137154556,977
HGST,XGB,51,-1,0.24572353065013885,24,0.02456499488229273,977
HGST,XGB,52,180,0.24251198768615723,0,0.0,977
HGST,XGB,52,365,0.24251198768615723,1,0.0010235414534288639,977
HGST,XGB,52,730,0.24251198768615723,3,0.0030706243602865915,977
HGST,XGB,52,1095,0.24251198768615723,3,0.0030706243602865915,977
HGST,XGB,52,1460,0.24251198768615723,5,0.00511770726714432,977
HGST,XGB,52,-1,0.24251198768615723,24,0.02456499488229273,977
HGST,XGB,53,180,0.1989545375108719,0,0.0,977
HGST,XGB,53,365,0.1989545375108719,1,0.0010235414534288639,977
HGST,XGB,53,730,0.1989545375108719,1,0.0010235414534288639,977
HGST,XGB,53,1095,0.1989545375108719,1,0.0010235414534288639,977
HGST,XGB,53,1460,0.1989545375108719,3,0.0030706243602865915,977
HGST,XGB,53,-1,0.1989545375108719,24,0.02456499488229273,977
HGST,XGB,54,180,0.29442277550697327,0,0.0,977
HGST,XGB,54,365,0.29442277550697327,2,0.0020470829068577278,977
HGST,XGB,54,730,0.29442277550697327,3,0.0030706243602865915,977
HGST,XGB,54,1095,0.29442277550697327,3,0.0030706243602865915,977
HGST,XGB,54,1460,0.29442277550697327,4,0.0040941658137154556,977
HGST,XGB,54,-1,0.29442277550697327,24,0.02456499488229273,977
HGST,XGB,55,180,0.1697397381067276,3,0.0030706243602865915,977
HGST,XGB,55,365,0.1697397381067276,3,0.0030706243602865915,977
HGST,XGB,55,730,0.1697397381067276,4,0.0040941658137154556,977
HGST,XGB,55,1095,0.1697397381067276,4,0.0040941658137154556,977
HGST,XGB,55,1460,0.1697397381067276,6,0.006141248720573183,977
HGST,XGB,55,-1,0.1697397381067276,24,0.02456499488229273,977
HGST,XGB,56,180,0.336229532957077,0,0.0,977
HGST,XGB,56,365,0.336229532957077,2,0.0020470829068577278,977
HGST,XGB,56,730,0.336229532957077,3,0.0030706243602865915,977
HGST,XGB,56,1095,0.336229532957077,3,0.0030706243602865915,977
HGST,XGB,56,1460,0.336229532957077,4,0.0040941658137154556,977
HGST,XGB,56,-1,0.336229532957077,24,0.02456499488229273,977
HGST,XGB,57,180,0.32050415873527527,0,0.0,977
