OT,E,M,CE,CN,precision,recall,far,median_lt,dataset,seed,trees,val_ap,tau,secs
10,27,125,12,965,0.20408163265306123,0.06172839506172839,0.012282497441146366,105.0,HGST_20HUH721212ALN604,42,5,0.10160652924484005,0.812,242.4
11,28,123,18,959,0.19298245614035087,0.06790123456790123,0.01842374616171955,105.0,HGST_20HUH721212ALN604,42,10,0.08967503696290123,0.7020000000000001,212.5
12,26,124,10,967,0.25,0.07407407407407407,0.01023541453428864,110.0,HGST_20HUH721212ALN604,42,20,0.09476260290151878,0.866,194.6
12,25,125,12,965,0.24489795918367346,0.07407407407407407,0.012282497441146366,105.0,HGST_20HUH721212ALN604,42,40,0.09177192248220455,0.925,209.0
12,22,128,11,966,0.26666666666666666,0.07407407407407407,0.011258955987717503,142.5,HGST_20HUH721212ALN604,42,80,0.0887835938807742,0.997,228.2
10,22,130,30,947,0.16129032258064516,0.06172839506172839,0.030706243602865915,125.0,HGST_20HUH721212ALN604,42,150,0.0812988108717853,0.999,232.1
12,25,125,47,930,0.14285714285714285,0.07407407407407407,0.048106448311156604,140.0,HGST_20HUH721212ALN604,42,300,0.06947138012195588,0.998,238.3
