experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.3465699689837621,0.09523482631378302,0.13466055872755478,0.04252986153636137,0.0016744120733174332,0.0005162764405548579,0.9130912278569119,0.015493052055458121,0.14250694386848586,0.03196428269887497,9.666666666666666,4.546060565661952
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6481017758316608,0.0714277471678562,0.06022916537176391,0.016466223567088687,0.0075068154728909105,0.0013617534656681452,0.9130912278569119,0.015493052055458121,0.14250694386848586,0.03196428269887497,17.666666666666668,5.163977794943222
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7439670376451986,0.060649205112032596,0.039021900347727345,0.010122314948896967,0.013521994643971332,0.002110155986575122,0.9130912278569119,0.015493052055458121,0.14250694386848586,0.03196428269887497,20.0,4.1952353926806065
tcnlb_21_pauc,TOSHIBA_20MG07ACA14TA,tcn_pauc,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8290807638508788,0.045506105752865976,0.011756779206082172,0.002449062247791983,0.05047515348599849,0.0018660483042709111,0.9130912278569119,0.015493052055458121,0.14250694386848586,0.03196428269887497,22.333333333333332,4.676180777800049
