dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,LSTM,49,test,disk_opt,0.13,17,42,103,14,963,162,977,73,0.232877,0.104938,0.144681,0.01433,0.288136,177.92,87.0,232.67
HGST_20HUH721212ALN604,LSTM,50,val,row_opt,0.035,9,84,67,38,937,160,975,131,0.068702,0.05625,0.061856,0.038974,0.096774,264.45,187.0,270.65
HGST_20HUH721212ALN604,LSTM,50,val,disk_opt,0.098,13,34,113,9,966,160,975,56,0.232143,0.08125,0.12037,0.009231,0.276596,151.89,110.0,163.75
HGST_20HUH721212ALN604,LSTM,50,test,row_opt,0.035,11,79,72,44,933,162,977,134,0.08209,0.067901,0.074324,0.045036,0.122222,264.03,176.0,270.66
HGST_20HUH721212ALN604,LSTM,50,test,disk_opt,0.098,19,25,118,10,967,162,977,54,0.351852,0.117284,0.175926,0.010235,0.431818,141.09,40.0,230.51
HGST_20HUH721212ALN604,LSTM,51,val,row_opt,0.036,16,104,40,69,906,160,975,189,0.084656,0.1,0.091691,0.070769,0.133333,280.33,211.0,257.35
HGST_20HUH721212ALN604,LSTM,51,val,disk_opt,0.171,15,36,109,9,966,160,975,60,0.25,0.09375,0.136364,0.009231,0.294118,128.08,72.0,148.92
HGST_20HUH721212ALN604,LSTM,51,test,row_opt,0.036,10,104,48,70,907,162,977,184,0.054348,0.061728,0.057803,0.071648,0.087719,327.53,246.5,306.14
HGST_20HUH721212ALN604,LSTM,51,test,disk_opt,0.171,19,34,109,14,963,162,977,67,0.283582,0.117284,0.165939,0.01433,0.358491,165.13,95.0,223.28
HGST_20HUH721212ALN604,LSTM,52,val,row_opt,0.039,13,102,45,56,919,160,975,171,0.076023,0.08125,0.07855,0.057436,0.113043,272.99,204.0,256.27
HGST_20HUH721212ALN604,LSTM,52,val,disk_opt,0.153,17,48,95,9,966,160,975,74,0.22973,0.10625,0.145299,0.009231,0.261538,170.26,88.0,189.48
HGST_20HUH721212ALN604,LSTM,52,test,row_opt,0.039,11,101,50,61,916,162,977,173,0.063584,0.067901,0.065672,0.062436,0.098214,313.68,223.0,312.39
HGST_20HUH721212ALN604,LSTM,52,test,disk_opt,0.153,16,48,98,18,959,162,977,82,0.195122,0.098765,0.131148,0.018424,0.25,189.34,112.0,251.99
HGST_20HUH721212ALN604,LSTM,53,val,row_opt,0.03,17,104,39,68,907,160,975,189,0.089947,0.10625,0.097421,0.069744,0.140496,284.55,230.0,252.65
HGST_20HUH721212ALN604,LSTM,53,val,disk_opt,0.223,14,39,107,9,966,160,975,62,0.225806,0.0875,0.126126,0.009231,0.264151,130.58,71.0,157.85
HGST_20HUH721212ALN604,LSTM,53,test,row_opt,0.03,9,105,48,79,898,162,977,193,0.046632,0.055556,0.050704,0.08086,0.078947,332.46,242.5,316.73
HGST_20HUH721212ALN604,LSTM,53,test,disk_opt,0.223,18,32,112,16,961,162,977,66,0.272727,0.111111,0.157895,0.016377,0.36,164.06,76.0,242.81
HGST_20HUH721212ALN604,LSTM,54,val,row_opt,0.039,15,95,50,52,923,160,975,162,0.092593,0.09375,0.093168,0.053333,0.136364,274.35,216.0,244.6
HGST_20HUH721212ALN604,LSTM,54,val,disk_opt,0.14,13,44,103,9,966,160,975,66,0.19697,0.08125,0.115044,0.009231,0.22807,168.58,103.0,173.91
HGST_20HUH721212ALN604,LSTM,54,test,row_opt,0.039,11,95,56,55,922,162,977,161,0.068323,0.067901,0.068111,0.056295,0.103774,309.24,221.5,289.45
HGST_20HUH721212ALN604,LSTM,54,test,disk_opt,0.14,19,43,100,14,963,162,977,76,0.25,0.117284,0.159664,0.01433,0.306452,162.18,81.0,187.15
HGST_20HUH721212ALN604,LSTM,55,val,row_opt,0.035,15,82,63,34,941,160,975,131,0.114504,0.09375,0.103093,0.034872,0.154639,257.46,191.0,275.97
HGST_20HUH721212ALN604,LSTM,55,val,disk_opt,0.086,11,44,105,9,966,160,975,64,0.171875,0.06875,0.098214,0.009231,0.2,178.18,89.0,260.78
HGST_20HUH721212ALN604,LSTM,55,test,row_opt,0.035,11,84,67,43,934,162,977,138,0.07971,0.067901,0.073333,0.044012,0.115789,292.73,230.0,271.69
HGST_20HUH721212ALN604,LSTM,55,test,disk_opt,0.086,17,35,110,9,968,162,977,61,0.278689,0.104938,0.152466,0.009212,0.326923,162.48,93.5,216.75
HGST_20HUH721212ALN604,LSTM,56,val,row_opt,0.033,14,95,51,54,921,160,975,163,0.08589,0.0875,0.086687,0.055385,0.12844,271.01,214.0,236.73
HGST_20HUH721212ALN604,LSTM,56,val,disk_opt,0.148,17,45,98,9,966,160,975,71,0.239437,0.10625,0.147186,0.009231,0.274194,130.42,86.5,143.67
HGST_20HUH721212ALN604,LSTM,56,test,row_opt,0.033,11,94,57,62,915,162,977,167,0.065868,0.067901,0.066869,0.06346,0.104762,321.92,238.0,308.93
HGST_20HUH721212ALN604,LSTM,56,test,disk_opt,0.148,18,38,106,15,962,162,977,71,0.253521,0.111111,0.154506,0.015353,0.321429,151.12,84.0,208.85
HGST_20HUH721212ALN604,LSTM,57,val,row_opt,0.037,16,95,49,53,922,160,975,164,0.097561,0.1,0.098765,0.054359,0.144144,275.75,198.0,257.33
HGST_20HUH721212ALN604,LSTM,57,val,disk_opt,0.162,16,43,101,9,966,160,975,68,0.235294,0.1,0.140351,0.009231,0.271186,147.93,78.0,175.22
HGST_20HUH721212ALN604,LSTM,57,test,row_opt,0.037,9,100,53,57,920,162,977,166,0.054217,0.055556,0.054878,0.058342,0.082569,307.11,223.0,302.55
HGST_20HUH721212ALN604,LSTM,57,test,disk_opt,0.162,22,35,105,15,962,162,977,72,0.305556,0.135802,0.188034,0.015353,0.385965,158.28,71.0,231.91
HGST_20HUH721212ALN604,LSTM,58,val,row_opt,0.038,11,98,51,50,925,160,975,159,0.069182,0.06875,0.068966,0.051282,0.100917,279.19,198.0,257.13
HGST_20HUH721212ALN604,LSTM,58,val,disk_opt,0.127,13,41,106,9,966,160,975,63,0.206349,0.08125,0.116592,0.009231,0.240741,147.13,79.0,171.31
HGST_20HUH721212ALN604,LSTM,58,test,row_opt,0.038,8,99,55,56,921,162,977,163,0.04908,0.049383,0.049231,0.057318,0.074766,314.25,232.0,307.23
HGST_20HUH721212ALN604,LSTM,58,test,disk_opt,0.127,21,39,102,12,965,162,977,72,0.291667,0.12963,0.179487,0.012282,0.35,174.0,80.0,240.29
HGST_20HUH721212ALN604,LSTM,59,val,row_opt,0.035,11,101,48,52,923,160,975,164,0.067073,0.06875,0.067901,0.053333,0.098214,286.57,223.5,250.17
HGST_20HUH721212ALN604,LSTM,59,val,disk_opt,0.123,15,48,97,9,966,160,975,72,0.208333,0.09375,0.12931,0.009231,0.238095,157.7,89.0,181.23
