Timestamp	Model	µ•¿Ã≈Õ	Seed	Threshold (Row-Opt)	Row Precision	Row Recall	Row FAR (%)	Proposed Disk Precision	Proposed Disk Recall	Proposed Disk FAR (%)	Proposed Median LT									
2026-08-05 17:57	LSTM	HGST_20HUH721212ALN604	43	0.04	0.069	0.3923	0.95	0.6791	0.5617	4.4	158									
2026-08-05 17:58	GRU	HGST_20HUH721212ALN604	43	0.04	0.0844	0.4246	0.82	0.6543	0.6543	5.73	222									
2026-08-05 17:55	LGBM	HGST_20HUH721212ALN604	44	0.03	0.094	0.367	0.63	0.6257	0.6914	6.86	167.5									
2026-08-05 17:56	XGB	HGST_20HUH721212ALN604	44	0.05	0.0937	0.3991	0.69	0.6313	0.6975	6.76	184									
2026-08-05 17:57	LSTM	HGST_20HUH721212ALN604	44	0.05	0.0784	0.3795	0.8	0.6645	0.6358	5.32	174									
2026-08-05 17:58	GRU	HGST_20HUH721212ALN604	44	0.04	0.0824	0.3746	0.75	0.6781	0.6111	4.81	186									
2026-08-05 17:55	LGBM	HGST_20HUH721212ALN604	45	0.01	0.1061	0.2408	0.36	0.6316	0.5185	5.02	134									
2026-08-05 17:56	XGB	HGST_20HUH721212ALN604	45	0.04	0.0808	0.4593	0.93	0.601	0.7346	8.09	229									
2026-08-05 17:57	LSTM	HGST_20HUH721212ALN604	45	0.04	0.0719	0.3866	0.89	0.6585	0.6667	5.73	186.5									
2026-08-05 17:59	GRU	HGST_20HUH721212ALN604	45	0.04	0.0908	0.4157	0.74	0.6162	0.7037	7.27	206.5									
2026-08-05 17:55	LGBM	HGST_20HUH721212ALN604	46	0.03	0.0709	0.4254	1	0.602	0.7284	7.98	220.5									
2026-08-05 17:56	XGB	HGST_20HUH721212ALN604	46	0.04	0.0776	0.457	0.97	0.601	0.716	7.88	246									
2026-08-05 17:57	LSTM	HGST_20HUH721212ALN604	46	0.04	0.0806	0.4064	0.83	0.6957	0.5926	4.3	168									
2026-08-05 17:59	GRU	HGST_20HUH721212ALN604	46	0.04	0.0828	0.3761	0.74	0.6485	0.6605	5.94	173									
