dataset,model,seed,split,threshold_kind,threshold,precision,recall,f1,far,auroc,tp,fp,fn,tn
HGST_20HUH721212ALN604,LSTM,52,test,row_opt,0.039,0.072188,0.47914,0.125472,0.010999,0.918882,2274,29227,2472,2627898
HGST_20HUH721212ALN604,LSTM,52,test,disk_opt,0.153,0.164676,0.165613,0.165143,0.0015,0.918882,786,3987,3960,2653138
HGST_20HUH721212ALN604,LSTM,53,val,row_opt,0.03,0.078938,0.47644,0.135437,0.009971,0.917291,2275,26545,2500,2635694
HGST_20HUH721212ALN604,LSTM,53,val,disk_opt,0.223,0.261967,0.126073,0.170225,0.000637,0.917291,602,1696,4173,2660543
HGST_20HUH721212ALN604,LSTM,53,test,row_opt,0.03,0.070109,0.439107,0.120913,0.010403,0.913879,2084,27641,2662,2629484
HGST_20HUH721212ALN604,LSTM,53,test,disk_opt,0.223,0.167237,0.113359,0.135125,0.001008,0.913879,538,2679,4208,2654446
HGST_20HUH721212ALN604,LSTM,54,val,row_opt,0.039,0.082516,0.500314,0.141667,0.009978,0.921816,2389,26563,2386,2635676
HGST_20HUH721212ALN604,LSTM,54,val,disk_opt,0.14,0.184544,0.174031,0.179133,0.001379,0.921816,831,3672,3944,2658567
HGST_20HUH721212ALN604,LSTM,54,test,row_opt,0.039,0.069658,0.450063,0.120644,0.010736,0.916495,2136,28528,2610,2628597
HGST_20HUH721212ALN604,LSTM,54,test,disk_opt,0.14,0.171572,0.180573,0.175957,0.001557,0.916495,857,4138,3889,2652987
HGST_20HUH721212ALN604,LSTM,55,val,row_opt,0.035,0.080143,0.469529,0.136916,0.009666,0.915571,2242,25733,2533,2636506
HGST_20HUH721212ALN604,LSTM,55,val,disk_opt,0.086,0.171408,0.203141,0.185931,0.001761,0.915571,970,4689,3805,2657550
HGST_20HUH721212ALN604,LSTM,55,test,row_opt,0.035,0.071578,0.440792,0.123157,0.010212,0.906494,2092,27135,2654,2629990
HGST_20HUH721212ALN604,LSTM,55,test,disk_opt,0.086,0.137332,0.17657,0.154499,0.001981,0.906494,838,5264,3908,2651861
HGST_20HUH721212ALN604,LSTM,56,val,row_opt,0.033,0.081326,0.492147,0.139586,0.009971,0.928372,2350,26546,2425,2635693
