trial,pauc,recall01,width,depth,dropout,learning_rate,weight_decay,batch_size
32,0.9026867279454553,0.7935855263157895,64,2,0.33660515770981414,0.0007236652446335573,0.0015983177876241954,1024
11,0.9017165248157933,0.7779605263157895,64,3,0.3069847876811764,0.00011541910180697758,0.00731669966619602,1024
21,0.9014750988070575,0.7648026315789473,64,3,0.31219992976691224,0.00010095134374849618,0.004062861800548302,1024
25,0.9013132933366359,0.7935855263157895,64,3,0.21008346458785318,0.0005099375811126703,0.001801645423297891,1024
26,0.901194017895359,0.7935855263157895,64,2,0.21257459898440118,0.0006555927864377711,0.000657448240662808,1024
10,0.901074617173212,0.7804276315789473,64,3,0.3067602559929062,0.00010967097042542117,0.006543096751224431,1024
34,0.9010083715173356,0.8092105263157895,256,2,0.4364819578224418,0.003057477644553209,0.004404380518341128,2048
37,0.9009909069265705,0.7779605263157895,64,2,0.4948833656065361,0.00030084179653111644,0.0003425826564625035,2048
30,0.9009634682694766,0.7935855263157895,64,3,0.23039506924647674,0.0005542277110541297,0.0023403169107842773,1024
12,0.9006571487337314,0.7935855263157895,64,3,0.31591582580701494,0.0001002132419448697,0.007983748731443554,1024
35,0.9006498126215625,0.8067434210526316,64,2,0.3786842098910882,0.0014895800633961717,0.00011038301904670523,1024
0,0.9004789373091906,0.7935855263157895,128,3,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,1024
3,0.9004705486933013,0.7935855263157895,256,3,0.4718740392573121,0.0023101522250182378,2.7417736752420992e-05,2048
45,0.9004424211439894,0.7935855263157895,64,2,0.3119541205472708,0.00038618820812835237,0.0005287189483592109,2048
39,0.9002790976505688,0.7648026315789473,128,2,0.28288845726447653,0.001205345661325389,0.0026421005777844076,1024
28,0.9001809052308023,0.7935855263157895,256,3,0.16613780777390225,0.0005071019775754646,0.0006349495960322576,4096
2,0.8999503027258068,0.7935855263157895,128,2,0.47233445852479194,0.001105851072569646,4.556671913921479e-05,2048
38,0.8999037985078828,0.7935855263157895,256,4,0.3295632079920216,0.0060585930835661515,0.0011351000205088127,1024
48,0.8998824359805457,0.7779605263157895,64,2,0.33794370495937753,0.0006690299962503046,0.0012640937734631355,4096
33,0.8994807223370761,0.7935855263157895,64,2,0.33041786510915266,0.0009046683792353269,0.0014753448095966945,1024
20,0.8993459668186099,0.8092105263157895,512,3,0.15343326438403865,0.0002704593061203978,0.0006388372749475626,1024
49,0.8990260568809554,0.7935855263157895,256,3,0.30560474056901205,0.003355557356544504,0.007076006287751127,1024
17,0.89876187234898,0.7935855263157895,64,4,0.20003252510358052,0.0004908541158410928,1.0565019809725939e-06,1024
22,0.8986320663342506,0.7804276315789473,64,3,0.3496559239418398,0.00014652861493570087,0.0036967142025519655,1024
44,0.8984737421224743,0.7960526315789473,64,2,0.2501053980424025,0.0004557803509350078,3.157312774788132e-05,1024
6,0.8976507690620843,0.7935855263157895,256,4,0.2343256008238508,0.00898508471940606,0.0002626528266326433,1024
41,0.8975811558695292,0.7935855263157895,64,2,0.2067084560448641,0.0006269574666180593,0.000795592451025146,1024
