trial,pauc,recall01,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
41,0.8976101497217986,0.7960526315789473,0.0697115172900484,8,36,0.5010833789466009,0.9513588912546926,0.09554564730505653
44,0.8974559742303889,0.8092105263157895,0.07085575761104221,9,36,0.5316760170505381,0.9367677133966944,2.195268984461143
22,0.8970096475775071,0.8092105263157895,0.050750817135760184,7,49,0.6605188809529369,0.957463815479373,0.07157961537691591
36,0.8969478117490468,0.7960526315789473,0.036598637092979634,8,37,0.5323383084177409,0.9515552131858875,0.16520014881260284
33,0.8966604079615583,0.7960526315789473,0.0667940146924928,8,34,0.5347388784781736,0.9995600038043368,0.18080496270264002
38,0.896536305640317,0.7935855263157895,0.12441199724276457,8,37,0.522014774681278,0.8925056885740369,0.14888907518054356
6,0.896480188650348,0.7804276315789473,0.0801935800522185,7,39,0.8409101495517417,0.679753950286893,0.05599223654063348
31,0.8961575206392912,0.7960526315789473,0.040313333767908764,9,46,0.5890064827875673,0.9278356179326719,0.19301730175662454
11,0.8958080218241464,0.7960526315789473,0.04746327093660622,7,50,0.6667035774586305,0.8662682461003895,0.039826606885175336
45,0.8956522277901777,0.7804276315789473,0.06715122567537225,10,27,0.604516889820945,0.9424648839849028,2.9259887736828034
35,0.8952924326174121,0.7960526315789473,0.08150635018594465,10,36,0.5533205113309904,0.99651228710429,0.5770192394709214
21,0.8952894310517503,0.8092105263157895,0.048069399671620536,10,46,0.6919430438420261,0.9252122429769691,0.1465852351760834
42,0.8952095436480829,0.7960526315789473,0.09827171270240274,9,37,0.5571970367442443,0.9723310131832266,0.08448316437498368
34,0.895185856633112,0.7804276315789473,0.06528210699830526,9,27,0.5048344608373839,0.9126850346616878,3.1559747499258166
1,0.8950552147157038,0.8092105263157895,0.04429649570464297,10,43,0.6917207594128889,0.8958625190413323,0.13049073550362397
43,0.8949906269890631,0.7804276315789473,0.05826963902511942,8,27,0.5007675088994167,0.8958498164984724,0.13419521159397238
23,0.8948618655475465,0.7804276315789473,0.08492087050071966,7,30,0.63802780439168,0.9409628985082894,0.05486235349471594
17,0.8948295023700801,0.7804276315789473,0.03867980292659591,5,31,0.7090660381434543,0.9071763064007972,0.09834033162477926
28,0.8943968087852378,0.772203947368421,0.03170486779993411,8,47,0.6654981999971629,0.6906104801750858,0.06194710745980838
16,0.893899152422684,0.7804276315789473,0.07127345410614469,7,17,0.913782853161634,0.6337624174225674,0.12271918708803166
26,0.8931842174240168,0.7804276315789473,0.08231263245643572,7,35,0.6791636144135692,0.806081907368408,0.2346187083889274
14,0.8929817853988136,0.7804276315789473,0.01074252287407099,7,23,0.8481421024672946,0.9760758177017324,0.010936727487560156
20,0.8929500696740202,0.7804276315789473,0.03312041092066617,9,14,0.8936457637094467,0.576200725773729,0.021935153627073364
4,0.8928708518272386,0.7935855263157895,0.014952219652829973,8,1,0.972334458524792,0.7609241608750359,0.045566719139214756
24,0.8928220259237933,0.7804276315789473,0.05182923849210532,6,32,0.7475816159242317,0.8551843193519683,0.005893368560081616
9,0.8923472847369267,0.7804276315789473,0.020348682523113566,4,10,0.626645801269891,0.7331553864281531,0.009499535455183799
