trial,pauc,epochs,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size
23,0.8950595626519289,11,64,1,,0.00021523022266711463,0.00013440160082951738,512
22,0.8945190348209165,11,64,1,,0.00020210111867589978,0.0001860906528414195,512
25,0.8944827684682116,11,64,1,,0.00017580561217330696,4.879176175721375e-05,512
19,0.8938910392325643,8,64,1,,0.0014878980003102235,2.9470365974237017e-05,512
7,0.8938007914169449,10,64,1,,0.0003910933172251061,2.984770033451217e-06,1024
3,0.8933408607080859,10,256,2,0.30846699843737846,0.007717846862118065,0.0005336803302756717,2048
2,0.8933115086702921,6,32,2,0.0716766437045232,0.007750644796341917,0.00012229065947034367,2048
13,0.893191897215679,6,256,2,0.24633401358793217,0.0020471935582263277,0.0006598241688320396,1024
4,0.8931476916848049,11,128,1,,0.0004274218324036844,2.849988343697162e-05,2048
1,0.8923726635995359,16,128,1,,0.00010975815419380165,0.002140323314098607,2048
15,0.8917408200745733,8,256,3,0.1729565271583331,0.00022710504763699172,0.0004234142378010483,512
0,0.8911819594419848,8,64,2,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,512
10,0.8841626552583756,6,64,3,0.47638913043005787,0.00010967097042542117,0.00011745821804200222,1024
