구성,test_pAUC,sd
원본 16,0.8746620912959878,0.01584967932942771
roll28mean,0.8758982482469775,0.020542329394194092
roll28std,0.8744208603260928,0.017988212259092955
roll28 (둘 다),0.8779203402012827,0.014871042782804949
