Model,test_pAUC,sd
LightGBM,0.8876005268007384,0.018516403167815634
GRU,0.8817678897568229,0.015045417550782534
XGBoost,0.879492824879999,0.01886462491813307
MLP,0.8769415526636495,0.0236433820929613
