구성,test_pAUC,sd
"원본 16, 탐색 전",0.8746620912959878,0.01584967932942771
"원본 16, 탐색 후 (현 논문)",0.8792018197513679,0.024878217891486226
"roll28, 탐색 전",0.8779203402012827,0.014871042782804949
"roll28, 탐색 후",0.8817678897568229,0.015045417550782534
