column,mean_abs_ig
197,0.32367834
196,0.13027239
5,0.04382016
226,0.040857844
198,0.03541345
4,0.03402964
192,0.027740033
12,0.026880335
3,0.024817904
9,0.023888327
194,0.019953933
222,0.015223406
220,0.012837443
193,0.011717607
_mask,0.0044800784
199,0.0017635965
191,0.0005292497
