column_name,non_null_count,missing_count,missing_ratio,missing_ratio_pct
smart_17_normalized,0,37906446,1.0,100.0
smart_22_normalized,0,37906446,1.0,100.0
smart_16_raw,0,37906446,1.0,100.0
smart_16_normalized,0,37906446,1.0,100.0
smart_15_raw,0,37906446,1.0,100.0
smart_188_raw,0,37906446,1.0,100.0
smart_189_normalized,0,37906446,1.0,100.0
smart_189_raw,0,37906446,1.0,100.0
smart_188_normalized,0,37906446,1.0,100.0
smart_182_raw,0,37906446,1.0,100.0
smart_18_raw,0,37906446,1.0,100.0
smart_18_normalized,0,37906446,1.0,100.0
smart_17_raw,0,37906446,1.0,100.0
smart_13_normalized,0,37906446,1.0,100.0
smart_13_raw,0,37906446,1.0,100.0
smart_11_raw,0,37906446,1.0,100.0
smart_15_normalized,0,37906446,1.0,100.0
smart_11_normalized,0,37906446,1.0,100.0
smart_187_raw,0,37906446,1.0,100.0
smart_187_normalized,0,37906446,1.0,100.0
smart_184_raw,0,37906446,1.0,100.0
smart_179_raw,0,37906446,1.0,100.0
smart_181_normalized,0,37906446,1.0,100.0
smart_181_raw,0,37906446,1.0,100.0
smart_182_normalized,0,37906446,1.0,100.0
smart_179_normalized,0,37906446,1.0,100.0
smart_177_raw,0,37906446,1.0,100.0
smart_177_normalized,0,37906446,1.0,100.0
smart_174_raw,0,37906446,1.0,100.0
smart_170_raw,0,37906446,1.0,100.0
smart_173_normalized,0,37906446,1.0,100.0
smart_173_raw,0,37906446,1.0,100.0
smart_174_normalized,0,37906446,1.0,100.0
smart_168_normalized,0,37906446,1.0,100.0
smart_168_raw,0,37906446,1.0,100.0
smart_170_normalized,0,37906446,1.0,100.0
smart_22_raw,0,37906446,1.0,100.0
smart_190_normalized,0,37906446,1.0,100.0
smart_183_normalized,0,37906446,1.0,100.0
smart_183_raw,0,37906446,1.0,100.0
smart_184_normalized,0,37906446,1.0,100.0
smart_232_normalized,0,37906446,1.0,100.0
smart_233_raw,0,37906446,1.0,100.0
smart_233_normalized,0,37906446,1.0,100.0
smart_232_raw,0,37906446,1.0,100.0
smart_235_raw,0,37906446,1.0,100.0
smart_241_normalized,0,37906446,1.0,100.0
smart_235_normalized,0,37906446,1.0,100.0
smart_250_raw,0,37906446,1.0,100.0
smart_250_normalized,0,37906446,1.0,100.0
smart_242_raw,0,37906446,1.0,100.0
smart_242_normalized,0,37906446,1.0,100.0
smart_241_raw,0,37906446,1.0,100.0
smart_252_raw,0,37906446,1.0,100.0
smart_254_normalized,0,37906446,1.0,100.0
smart_254_raw,0,37906446,1.0,100.0
smart_255_normalized,0,37906446,1.0,100.0
smart_255_raw,0,37906446,1.0,100.0
smart_251_normalized,0,37906446,1.0,100.0
smart_251_raw,0,37906446,1.0,100.0
smart_218_raw,0,37906446,1.0,100.0
smart_200_normalized,0,37906446,1.0,100.0
smart_201_raw,0,37906446,1.0,100.0
smart_201_normalized,0,37906446,1.0,100.0
smart_200_raw,0,37906446,1.0,100.0
smart_218_normalized,0,37906446,1.0,100.0
smart_195_raw,0,37906446,1.0,100.0
smart_195_normalized,0,37906446,1.0,100.0
smart_190_raw,0,37906446,1.0,100.0
smart_176_raw,0,37906446,1.0,100.0
smart_178_normalized,0,37906446,1.0,100.0
