experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc,arm
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.91207839307189,14,9724,4,10,49,9675,0.2857142857142857,0.0754716981132075,0.0050390785684903,0.9753187988482106,0.0622457446466476,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9009061450958252,14,9724,8,6,98,9626,0.5714285714285714,0.0754716981132075,0.0100781571369806,0.9753187988482106,0.0622457446466476,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7983074221014976,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.9753187988482106,0.0622457446466476,balanced_bagging
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9824278283443812,16,9782,0,16,10,9772,0.0,0.0,0.0010222858311183,0.9657470353710896,0.070900851035471,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9670101396003036,16,9782,4,12,49,9733,0.25,0.0754716981132075,0.00500920057248,0.9657470353710896,0.070900851035471,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9547235554464256,16,9782,7,9,98,9684,0.4375,0.0666666666666666,0.0100184011449601,0.9657470353710896,0.070900851035471,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8457044831434959,16,9782,14,2,490,9292,0.875,0.0277777777777777,0.0500920057248006,0.9657470353710896,0.070900851035471,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9771454465017664,17,9741,1,16,10,9731,0.0588235294117647,0.0909090909090909,0.0010265886459295,0.9420339740454235,0.071866507690235,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9623358653541504,17,9741,5,12,49,9692,0.2941176470588235,0.0925925925925925,0.0050302843650549,0.9420339740454235,0.071866507690235,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9498591859529594,17,9741,8,9,98,9643,0.4705882352941176,0.0754716981132075,0.0100605687301098,0.9420339740454235,0.071866507690235,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8466258285458432,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.0500975259213633,0.9420339740454235,0.071866507690235,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.977832212136784,14,9724,1,13,10,9714,0.0714285714285714,0.0909090909090909,0.0010283833813245,0.975032320620556,0.0542516274348548,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.964645047822882,14,9724,2,12,49,9675,0.1428571428571428,0.0392156862745098,0.0050390785684903,0.975032320620556,0.0542516274348548,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9536209677790168,14,9724,6,8,98,9626,0.4285714285714285,0.0576923076923076,0.0100781571369806,0.975032320620556,0.0542516274348548,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8470625922696933,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.975032320620556,0.0542516274348548,balanced_rf
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6612257957458496,16,9782,3,13,18,9764,0.1875,0.1428571428571428,0.001840114496013,0.9552462430995706,0.0623350582872967,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6607016921043396,16,9782,6,10,55,9727,0.375,0.0983606557377049,0.005622572071151,0.9552462430995706,0.0623350582872967,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6508169174194336,16,9782,7,9,202,9580,0.4375,0.0334928229665071,0.0206501737885912,0.9552462430995706,0.0623350582872967,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6248677372932434,16,9782,11,5,495,9287,0.6875,0.0217391304347826,0.0506031486403598,0.9552462430995706,0.0623350582872967,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6607016921043396,17,9741,0,17,23,9718,0.0,0.0,0.002361153885638,0.9353430315766588,0.0194336422696597,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6508169174194336,17,9741,1,16,77,9664,0.0588235294117647,0.0128205128205128,0.0079047325736577,0.9353430315766588,0.0194336422696597,borderline_smote
