model,test_pAUC,sd
GRU 기본 (BCE),0.8746620912959878,0.01584967932942771
GRU 기본 + focal,0.8735289744602377,0.02304233285832561
Optimized GRU (BCE),0.8792018197513679,0.024878217891486226
Optimized GRU + focal,0.8772564970014317,0.02504399366366229
