arm,arm_desc,experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9531717854738232,14,9724,1,13,19,9705,0.0714285714285714,0.05,0.0019539284245166,0.9752490156901924,0.0605682807114243
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9453606939315796,14,9724,4,10,45,9679,0.2857142857142857,0.0816326530612244,0.0046277252159605,0.9752490156901924,0.0605682807114243
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8027682006359097,14,9724,10,4,438,9286,0.7142857142857143,0.0223214285714285,0.0450431921020156,0.9752490156901924,0.0605682807114243
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,16,9782,1,15,20,9762,0.0625,0.0476190476190476,0.0020445716622367,0.94939685135964,0.1247072164205429
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,16,9782,5,11,57,9725,0.3125,0.0806451612903225,0.0058270292373747,0.94939685135964,0.1247072164205429
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,16,9782,9,7,112,9670,0.5625,0.0743801652892562,0.0114496013085258,0.94939685135964,0.1247072164205429
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1185082495212552,16,9782,14,2,509,9273,0.875,0.0267686424474187,0.0520343488039255,0.94939685135964,0.1247072164205429
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,17,9741,6,11,9,9732,0.3529411764705882,0.4,0.0009239297813366,0.9472212660857384,0.2567693890298838
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,17,9741,8,9,41,9700,0.4705882352941176,0.1632653061224489,0.0042090134483112,0.9472212660857384,0.2567693890298838
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,17,9741,10,7,110,9631,0.5882352941176471,0.0833333333333333,0.0112924751052253,0.9472212660857384,0.2567693890298838
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1185082495212552,17,9741,15,2,484,9257,0.8823529411764706,0.0300601202404809,0.0496868904629914,0.9472212660857384,0.2567693890298838
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894,0.9753261444437916,0.0593471517940362
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,14,9724,3,11,51,9673,0.2142857142857142,0.0555555555555555,0.0052447552447552,0.9753261444437916,0.0593471517940362
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,14,9724,9,5,116,9608,0.6428571428571429,0.072,0.0119292472233648,0.9753261444437916,0.0593471517940362
rus_50,무작위 언더샘플링 1:50,imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.1185082495212552,14,9724,11,3,473,9251,0.7857142857142857,0.0227272727272727,0.0486425339366515,0.9753261444437916,0.0593471517940362
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8978292398452752,16,9782,0,16,6,9776,0.0,0.0,0.000613371498671,0.9234787108975672,0.0777622053768311
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8450902271270752,16,9782,7,9,60,9722,0.4375,0.1044776119402985,0.0061337149867102,0.9234787108975672,0.0777622053768311
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.768329615592957,16,9782,11,5,116,9666,0.6875,0.0866141732283464,0.0118585156409732,0.9234787108975672,0.0777622053768311
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.3933284878730774,16,9782,14,2,525,9257,0.875,0.0259740259740259,0.0536700061337149,0.9234787108975672,0.0777622053768311
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8978292398452752,17,9741,3,14,4,9737,0.1764705882352941,0.4285714285714285,0.0004106354583718,0.9457447900626218,0.18760875191525
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8450902271270752,17,9741,7,10,54,9687,0.4117647058823529,0.1147540983606557,0.0055435786880197,0.9457447900626218,0.18760875191525
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.768329615592957,17,9741,9,8,114,9627,0.5294117647058824,0.073170731707317,0.0117031105635971,0.9457447900626218,0.18760875191525
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.3933284878730774,17,9741,13,4,523,9218,0.7647058823529411,0.0242537313432835,0.0536905861821168,0.9457447900626218,0.18760875191525
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8978292398452752,14,9724,0,14,3,9721,0.0,0.0,0.0003085150143973,0.9741214667685256,0.0576384347844326
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8450902271270752,14,9724,6,8,63,9661,0.4285714285714285,0.0869565217391304,0.0064788153023447,0.9741214667685256,0.0576384347844326
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.768329615592957,14,9724,9,5,132,9592,0.6428571428571429,0.0638297872340425,0.0135746606334841,0.9741214667685256,0.0576384347844326
rus_10,무작위 언더샘플링 1:10,imb_rus_10,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.3933284878730774,14,9724,11,3,510,9214,0.7857142857142857,0.0211132437619961,0.0524475524475524,0.9741214667685256,0.0576384347844326
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8894740343093872,16,9782,7,9,52,9730,0.4375,0.1186440677966101,0.0053158863218155,0.9521027141688816,0.0858228432943819
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8873472619056697,16,9782,7,9,67,9715,0.4375,0.0945945945945946,0.0068493150684931,0.9521027141688816,0.0858228432943819
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.8805334568023682,16,9782,9,7,119,9663,0.5625,0.0703125,0.0121652013903087,0.9521027141688816,0.0858228432943819
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8246587276458738,16,9782,14,2,503,9279,0.875,0.0270793036750483,0.0514209773052545,0.9521027141688816,0.0858228432943819
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8894740343093872,17,9741,7,10,47,9694,0.4117647058823529,0.1296296296296296,0.004824966635869,0.93384541990495,0.0856309016974427
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8873472619056697,17,9741,9,8,57,9684,0.5294117647058824,0.1363636363636363,0.0058515552817985,0.93384541990495,0.0856309016974427
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.8805334568023682,17,9741,9,8,108,9633,0.5294117647058824,0.0769230769230769,0.0110871573760394,0.93384541990495,0.0856309016974427
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8246587276458738,17,9741,12,5,486,9255,0.7058823529411765,0.0240963855421686,0.0498922081921773,0.93384541990495,0.0856309016974427
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.8894740343093872,14,9724,4,10,58,9666,0.2857142857142857,0.064516129032258,0.0059646236116824,0.9764573661632484,0.0548960618752598
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.8873472619056697,14,9724,5,9,72,9652,0.3571428571428571,0.0649350649350649,0.0074043603455368,0.9764573661632484,0.0548960618752598
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.8805334568023682,14,9724,9,5,123,9601,0.6428571428571429,0.0681818181818181,0.012649115590292,0.9764573661632484,0.0548960618752598
rus_1,무작위 언더샘플링 1:1,imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8246587276458738,14,9724,11,3,492,9232,0.7857142857142857,0.0218687872763419,0.0505964623611682,0.9764573661632484,0.0548960618752598
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.4752821469902988,16,9782,3,13,12,9770,0.1875,0.2,0.001226742997342,0.9701939787364546,0.0990770810970153
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4095761236548372,16,9782,6,10,58,9724,0.375,0.09375,0.0059292578204866,0.9701939787364546,0.0990770810970153
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.3185729271173481,16,9782,10,6,112,9670,0.625,0.081967213114754,0.0114496013085258,0.9701939787364546,0.0990770810970153
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0835416547954081,16,9782,14,2,527,9255,0.875,0.0258780036968576,0.0538744632999386,0.9701939787364546,0.0990770810970153
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.4752821469902988,17,9741,2,15,7,9734,0.1176470588235294,0.2222222222222222,0.0007186120521507,0.9525142363690164,0.1787695301512684
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4095761236548372,17,9741,5,12,45,9696,0.2941176470588235,0.1,0.004619648906683,0.9525142363690164,0.1787695301512684
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.3185729271173481,17,9741,9,8,103,9638,0.5294117647058824,0.0803571428571428,0.0105738630530746,0.9525142363690164,0.1787695301512684
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0835416547954081,17,9741,15,2,533,9208,0.8823529411764706,0.0273722627737226,0.0547171748280464,0.9525142363690164,0.1787695301512684
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.4752821469902988,14,9724,1,13,11,9713,0.0714285714285714,0.0833333333333333,0.001131221719457,0.975421637186343,0.0645855708466899
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.4095761236548372,14,9724,5,9,54,9670,0.3571428571428571,0.0847457627118644,0.0055532702591526,0.975421637186343,0.0645855708466899
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.3185729271173481,14,9724,9,5,124,9600,0.6428571428571429,0.0676691729323308,0.0127519539284245,0.975421637186343,0.0645855708466899
