Timestamp,Model,데이터,불균형 처리,첫날포함여부,Seed,Lead Time,Row Precision,Row Recall,Row F1,Row PR-AUC,Row FAR (%),Threshold,Disk-level Precision,Disk-level Recall,F1-score,Disk-level FAR (%),Median Lead Time,EDR@15,Single-Obs Precision,Single-Obs Recall,Single-Obs F1,Single-Obs FAR (%),,,,,,,,,,,,
2026-08-04 21:29,LSTM,ST12000NM0007,none,포함(False),44,30,0.0743,0.3719,0.1238,0.0567,0.87,0.02,0.2098,0.2667,0.2348,6.18,5,0.0622,,,,,,,,,,,,,,28.5,43,
2026-08-04 21:30,GRU,ST12000NM0007,none,포함(False),44,30,0.0774,0.3878,0.1291,0.0804,0.87,0.02,0.227,0.2844,0.2525,5.96,4.5,0.0622,,,,,,,,,,,,,,37,49,
2026-08-04 21:30,LGBM,HGST_20HUH721212ALN604,none,포함(False),44,30,0.094,0.367,0.1497,0.0971,0.63,0.03,0.2209,0.1173,0.1532,6.86,13,0.0556,,,,,,,,,,,,,,18,19,
2026-08-04 21:31,XGB,HGST_20HUH721212ALN604,none,포함(False),44,30,0.0797,0.4545,0.1357,0.1166,0.94,0.04,0.1529,0.0802,0.1053,7.37,15,0.0432,,,,,,,,,,,,,,56,10.5,
2026-08-04 21:31,LSTM,HGST_20HUH721212ALN604,none,포함(False),44,30,0.0784,0.3795,0.13,0.0846,0.8,0.05,0.1613,0.0617,0.0893,5.32,16,0.0432,,,,,,,,,,,,,,33,2.5,
2026-08-04 21:32,GRU,HGST_20HUH721212ALN604,none,포함(False),44,30,0.0824,0.3746,0.1351,0.0958,0.75,0.04,0.2419,0.0926,0.1339,4.81,15,0.0494,,,,,,,,,,,,,,30,15,
2026-08-04 21:32,LGBM,TOSHIBA_20MG07ACA14TA,none,포함(False),44,30,0.1615,0.2536,0.1973,0.1117,0.11,0.01,0.473,0.1675,0.2473,1.05,10,0.0526,,,,,,,,,,,,,,3,23.5,
2026-08-04 21:33,XGB,TOSHIBA_20MG07ACA14TA,none,포함(False),44,30,0.0633,0.3695,0.1081,0.0611,0.47,0.01,0.2431,0.2105,0.2256,3.67,4.5,0.067,,,,,,,,,,,,,,24,38,
2026-08-04 21:35,LSTM,TOSHIBA_20MG07ACA14TA,none,포함(False),44,30,0.0543,0.4438,0.0967,0.0906,0.66,0.01,0.1786,0.1914,0.1848,4.94,10.5,0.0766,,,,,,,,,,,,,,49,28,
2026-08-04 21:38,GRU,TOSHIBA_20MG07ACA14TA,none,포함(False),44,30,0.0538,0.4495,0.0961,0.0802,0.68,0.01,0.153,0.1962,0.1719,6.09,10,0.0766,,,,,,,,,,,,,,51,32.5,
2026-08-04 21:38,LGBM,ST12000NM0007,none,포함(False),45,30,0.0793,0.3334,0.1281,0.0474,0.73,0.02,0.375,0.2933,0.3292,3.01,5.5,0.0711,,,,,,,,,,,,,,8,55.5,
2026-08-04 21:38,XGB,ST12000NM0007,none,포함(False),45,30,0.0696,0.3605,0.1167,0.0506,0.91,0.02,0.3251,0.2933,0.3084,3.75,6,0.0756,,,,,,,,,,,,,,14,55.5,
2026-08-04 21:39,LSTM,ST12000NM0007,none,포함(False),45,30,0.0702,0.3862,0.1189,0.0529,0.96,0.02,0.2218,0.2622,0.2403,5.66,4,0.0578,,,,,,,,,,,,,,35,42,
2026-08-04 21:41,GRU,ST12000NM0007,none,포함(False),45,30,0.0825,0.3678,0.1347,0.0795,0.77,0.02,0.2453,0.2889,0.2653,5.47,4,0.0667,,,,,,,,,,,,,,19,51.5,
2026-08-04 21:41,LGBM,HGST_20HUH721212ALN604,none,포함(False),45,30,0.1061,0.2408,0.1473,0.09,0.36,0.01,0.3099,0.1358,0.1888,5.02,7,0.037,,,,,,,,,,,,,,2,21,
2026-08-04 21:41,XGB,HGST_20HUH721212ALN604,none,포함(False),45,30,0.0797,0.4545,0.1357,0.1166,0.94,0.04,0.1529,0.0802,0.1053,7.37,15,0.0432,,,,,,,,,,,,,,56,10.5,
2026-08-04 21:42,LSTM,HGST_20HUH721212ALN604,none,포함(False),45,30,0.0719,0.3866,0.1213,0.0775,0.89,0.04,0.1884,0.0802,0.1126,5.73,15,0.0494,,,,,,,,,,,,,,36,10.5,
2026-08-04 21:42,GRU,HGST_20HUH721212ALN604,none,포함(False),45,30,0.0908,0.4157,0.149,0.1038,0.74,0.04,0.1647,0.0864,0.1134,7.27,11.5,0.037,,,,,,,,,,,,,,41,14,
2026-08-04 21:43,LGBM,TOSHIBA_20MG07ACA14TA,none,포함(False),45,30,0.163,0.2607,0.2006,0.1153,0.11,0.01,0.473,0.1675,0.2473,1.05,8,0.0478,,,,,,,,,,,,,,5.5,23.5,
2026-08-04 21:44,XGB,TOSHIBA_20MG07ACA14TA,none,포함(False),45,30,0.0633,0.3695,0.1081,0.0611,0.47,0.01,0.2431,0.2105,0.2256,3.67,4.5,0.067,,,,,,,,,,,,,,24,38,
2026-08-04 21:48,LSTM,TOSHIBA_20MG07ACA14TA,none,포함(False),45,30,0.0552,0.4656,0.0987,0.0912,0.68,0.01,0.1732,0.1914,0.1818,5.12,7.5,0.0766,,,,,,,,,,,,,0.667607669,60,28,
2026-08-04 21:50,GRU,TOSHIBA_20MG07ACA14TA,none,포함(False),45,30,0.0572,0.4553,0.1017,0.082,0.64,0.01,0.173,0.1962,0.1839,5.26,8,0.0718,,,,,,,,,,,,,,59,32.5,
2026-08-04 21:51,LGBM,ST12000NM0007,none,포함(False),46,30,0.081,0.3228,0.1296,0.0487,0.69,0.02,0.392,0.3067,0.3441,2.93,6,0.0756,,,,,,,,,,,,,,7,60,
