Evaluation_Level,TN,FP,FN,TP,Precision,Recall,F1_Score,FAR,Additional_Details
Row-Level (Sample-wise),3385013,351464,2989,4029,0.0113,0.5741,0.0222,0.0941,PR-AUC: 0.0570 | AUROC: 0.8196
Disk-Level (Entity-wise),443,17,23,17,0.5000,0.4250,0.4595,0.0370,Threshold: 0.9500 | Median LT: 3.00d | EDR@15: 0.1250
