L,r001,r005,r01,sd,r05,pauc,pasd,auc,far,drift,fit
7,0.3604299702000851,0.6155081189563948,0.731965730097914,0.06441543911428985,0.8226943076081006,0.8663324602386223,0.019614893179635023,0.897839828938889,0.013625427094247947,0.9856525219072633,722.4
14,0.3685177583166089,0.6671273490239008,0.7650664416469014,0.04280189507496997,0.8259145228972815,0.8722449092830694,0.015073517787136026,0.9082220877745065,0.01317344530369814,0.9947756648641982,643.3
21,0.3005929574895092,0.6681650246305418,0.7500600559508607,0.03566584698507129,0.8232538162135863,0.8690825078457789,0.017855568355282386,0.9025850411366941,0.012456872156675085,0.9881296022810969,732.6
30,0.38339338928419386,0.6727422003284071,0.7628314480325974,0.044185194437662535,0.8399356869184454,0.8787665529006218,0.017172657563326005,0.9072779394020923,0.012614000297552554,0.9830764965217353,569.1
60,0.36714027245636444,0.6895563461655415,0.7698283464088062,0.041403334239891905,0.8491949461777047,0.8798871989715721,0.024286478099205384,0.908640558041277,0.014798813713782043,0.8423221013445831,1017.3
