experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.2127659574468085,0.0,0.25,0.0,0.0010257462303826033,0.0,0.9649152729124867,0.0,0.17056146326226126,0.0,10.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.425531914893617,0.0,0.11976047904191617,0.0,0.005026156528874756,0.0,0.9649152729124867,0.0,0.17056146326226126,0.0,20.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.574468085106383,0.0,0.08411214953271028,0.0,0.010052313057749512,0.0,0.9649152729124867,0.0,0.17056146326226126,0.0,27.0,0.0
baseline,HGST_20HUH721212ALN604,randomforest,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.7659574468085106,0.0,0.023984010659560292,0.0,0.0500906075836838,0.0,0.9649152729124867,0.0,0.17056146326226126,0.0,36.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.10638297872340426,0.0,0.14285714285714285,0.0,0.0010257462303826033,0.0,0.9598873333264119,0.0,0.12787003222088508,0.0,5.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.5106382978723404,0.0,0.14035087719298245,0.0,0.005026156528874756,0.0,0.9598873333264119,0.0,0.12787003222088508,0.0,24.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.5957446808510638,0.0,0.08695652173913043,0.0,0.010052313057749512,0.0,0.9598873333264119,0.0,0.12787003222088508,0.0,28.0,0.0
baseline,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.8297872340425532,0.0,0.025930851063829786,0.0,0.0500906075836838,0.0,0.9598873333264119,0.0,0.12787003222088508,0.0,39.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.19148936170212766,0.0,0.23076923076923078,0.0,0.0010257462303826033,0.0,0.9508758023076944,0.0,0.1133594358656872,0.0,9.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.23404255319148937,0.0,0.06962025316455696,0.0,0.005026156528874756,0.0,0.9508758023076944,0.0,0.1133594358656872,0.0,11.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.2553191489361702,0.0,0.0392156862745098,0.0,0.010052313057749512,0.0,0.9508758023076944,0.0,0.1133594358656872,0.0,12.0,0.0
baseline,HGST_20HUH721212ALN604,lightgbm,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.723404255319149,0.0,0.02268178785857238,0.0,0.0500906075836838,0.0,0.9508758023076944,0.0,0.1133594358656872,0.0,34.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.2553191489361702,0.0,0.2857142857142857,0.0,0.0010257462303826033,0.0,0.9602139712512731,0.0,0.2180996011693398,0.0,12.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.44680851063829785,0.0,0.125,0.0,0.005026156528874756,0.0,0.9602139712512731,0.0,0.2180996011693398,0.0,21.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.574468085106383,0.0,0.08411214953271028,0.0,0.010052313057749512,0.0,0.9602139712512731,0.0,0.2180996011693398,0.0,27.0,0.0
baseline,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.8085106382978723,0.0,0.025282767797737856,0.0,0.0500906075836838,0.0,0.9602139712512731,0.0,0.2180996011693398,0.0,38.0,0.0
