experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.1702127659574468,0.0,0.21052631578947367,0.0,0.0010257462303826033,0.0,0.965598453225669,0.0,0.1496662360520616,0.0,8.0,0.0
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.44680851063829785,0.0,0.125,0.0,0.005026156528874756,0.0,0.965598453225669,0.0,0.1496662360520616,0.0,21.0,0.0
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.5531914893617021,0.0,0.08125,0.0,0.010052313057749512,0.0,0.965598453225669,0.0,0.1496662360520616,0.0,26.0,0.0
feat_combo_asfd7_cid30,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.9148936170212766,0.0,0.028514588859416445,0.0,0.0500906075836838,0.0,0.965598453225669,0.0,0.1496662360520616,0.0,43.0,0.0
