column,mean_abs_ig
196,0.03711379
12,0.028828738
5,0.018543975
197,0.016708989
222,0.012370122
9,0.010961037
192,0.008052536
3,0.006856705
199,0.0047912286
198,0.0038368942
191,0.0029947443
_mask,7.194556e-05
