arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
asfd7_tuned,ASFD7일 + Optuna 튜닝 (Proposed),xgboost_tuned,0.001,235,146235,60,175,151,146084,0.969964486064844,0.2553191489361702,0.2843601895734597,0.001032584538585154
cid30,"CID(복잡도 추정치), 30일만",xgboost,0.001,47,29247,10,37,30,29217,0.9612706360781207,0.2127659574468085,0.25,0.0010257462303826033
cid7,"CID(복잡도 추정치), 7일만",xgboost,0.001,47,29247,10,37,46,29201,0.9522345330342944,0.2127659574468085,0.17857142857142858,0.0015728108865866585
rolling,롤링 평균·표준편차만 (7/30일),xgboost,0.001,47,29247,10,37,30,29217,0.9663029821050876,0.2127659574468085,0.25,0.0010257462303826033
diff,차분만 (diff_lags 1/7/30),xgboost,0.001,235,146235,49,186,150,146085,0.9712512032383572,0.20851063829787234,0.24623115577889448,0.0010257462303826033
asfd14,"ASFD(차분 절대합), 14일만",xgboost,0.001,47,29247,9,38,31,29216,0.9572951450630579,0.19148936170212766,0.225,0.0010599377713953568
combo_asfd7_diff,ASFD7일 + 차분(1/7/30),xgboost,0.001,235,146235,44,191,150,146085,0.9698639383428406,0.18723404255319148,0.2268041237113402,0.0010257462303826033
combo_asfd14_diff,ASFD14일 + 차분(1/7/30),xgboost,0.001,47,29247,8,39,30,29217,0.9674830000665272,0.1702127659574468,0.21052631578947367,0.0010257462303826033
combo_asfd7_cid30,ASFD7일 + CID30일,xgboost,0.001,47,29247,8,39,30,29217,0.9655984532256688,0.1702127659574468,0.21052631578947367,0.0010257462303826033
combo_roll30_cid30,롤링30일 + CID30일,xgboost,0.001,47,29247,8,39,33,29214,0.9522337153985174,0.1702127659574468,0.1951219512195122,0.0011283208534208636
scope_all,"차분+롤링+누적 전부, 존재하는 SMART 18개 전체",xgboost,0.001,47,29247,8,39,30,29217,0.9731079133979934,0.1702127659574468,0.21052631578947367,0.0010257462303826033
since_start,segment 시작 이후 누적 증가량만,xgboost,0.001,47,29247,8,39,30,29217,0.9594802817727935,0.1702127659574468,0.21052631578947367,0.0010257462303826033
asfd7,"ASFD(차분 절대합), 7일만",xgboost,0.001,235,146235,39,196,150,146085,0.9555221612124096,0.16595744680851063,0.20634920634920634,0.0010257462303826033
combo_asfd7_d1,ASFD7일 + 차분 1일만,xgboost,0.001,235,146235,39,196,151,146084,0.9605056460909015,0.16595744680851063,0.20526315789473684,0.001032584538585154
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.001,47,29247,7,40,74,29173,0.9525655955582596,0.14893617021276595,0.08641975308641975,0.002530174034943755
combo_asfd14_d1,ASFD14일 + 차분 1일만,xgboost,0.001,47,29247,7,40,30,29217,0.9555830783928009,0.14893617021276595,0.1891891891891892,0.0010257462303826033
