model,r001,r005,r01,r01sd,r05,pauc,far,auc,drift,fit
gru,0.3685177583166089,0.6671273490239008,0.7650664416469014,0.04280189507496997,0.8259145228972815,0.8722449092830694,0.01317344530369814,0.9082220877745065,0.9947756648641982,517.1
xgboost,0.4421927263881287,0.6300363376512802,0.7341482697804537,0.040226846893213736,0.8086731435869366,0.863743274744309,0.012488749815912971,0.9077852817802081,0.9666953281639767,61.3
tcn,0.36500714589795047,0.6302499543878853,0.7224419205741045,0.05160303479632878,0.8036991424922459,0.8573880352637958,0.01308804765532664,0.881837817632773,0.8948514057273999,1361.5
lstm,0.2830596606458676,0.5631461716231831,0.7134487319832147,0.09495904375071246,0.8119731800766283,0.8549455236995448,0.012600094330274916,0.9011182898484202,0.9495659747855861,1301.5
mlp,0.3775664416469014,0.6333363741409719,0.7070896430091832,0.08142701479420941,0.7588920817369093,0.8489624746529413,0.01236265202229006,0.8844773209601696,0.9840318277073207,227.7
randomforest,0.41941783737760746,0.6782741896247644,0.7220162075047133,0.054102826994495756,0.8121852764094143,0.8488983696041812,0.01768753727036731,0.8793562448526483,0.9700825333634933,1082.7
lightgbm,0.37336404549048224,0.5392294593444019,0.6189419509821809,0.08436791496729888,0.7169608648056925,0.8073665549308066,0.013388919180221857,0.8069954026200828,0.9877921176521721,27.5
