experiment,drive,model,features,train_window,train_months,val_months,n_test_months,sampling,seed,test_window,design,n_train_rows,n_test_failed,r001,r005,r01,r05,far01,r01_month_sd,roc_auc,far_drift,recorded_at,config
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1464,0.3641,0.7931,0.00896,0.1325,0.9541,-0.999,2026-09-05 20:59,configs/experiments/imb_smote_tomek.yaml
imb_rus_1,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.3783,0.4414,0.5783,0.7889,0.01197,0.0583,0.9541,0.303,2026-09-05 20:59,configs/experiments/imb_rus_1.yaml
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.0196,0.3629,0.5991,0.7876,0.01101,0.061,0.9635,-0.352,2026-09-05 20:59,configs/experiments/imb_balanced_bagging.yaml
imb_none,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.1434,0.5711,0.6383,0.8507,0.01306,0.0117,0.9599,0.989,2026-09-05 20:59,configs/experiments/imb_none.yaml
tosimb_stride4,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,계통4,42,2025-09~2026-02,이전 분할,,159,0.2154,0.5895,0.7138,0.8277,0.01062,0.0781,0.9051,0.941,2026-09-05 20:59,configs/experiments/tosimb_stride4.yaml
tosimb_stride7,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,계통7,42,2025-09~2026-02,이전 분할,,159,0.2663,0.5507,0.7066,0.8053,0.01106,0.0698,0.9035,0.786,2026-09-05 20:59,configs/experiments/tosimb_stride7.yaml
win10_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,10.0,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.1536,0.4995,0.6083,0.8064,0.0091,0.083,0.9414,0.819,2026-09-05 20:59,configs/experiments/win10_asfd7.yaml
win12_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,12.0,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2099,0.4858,0.5722,0.7746,0.0092,0.0825,0.9415,0.719,2026-09-05 20:59,configs/experiments/win12_asfd7.yaml
win16_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,16.0,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2526,0.4505,0.6083,0.7927,0.01049,0.083,0.9466,0.832,2026-09-05 20:59,configs/experiments/win16_asfd7.yaml
win6_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,6.0,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2028,0.5074,0.5906,0.8257,0.00962,0.0684,0.9405,0.711,2026-09-05 20:59,configs/experiments/win6_asfd7.yaml
win8_asfd7,HGST_20HUH721212ALN604,xgboost,ASFD7,rolling,8.0,2,6,none,42,2025-09~2026-02,이전 분할,,137,0.2216,0.4532,0.5818,0.8156,0.00947,0.107,0.9409,0.887,2026-09-05 20:59,configs/experiments/win8_asfd7.yaml
tosimb_bagging_r10,TOSHIBA_20MG07ACA14TA,lstm_balanced_bagging_r10,raw,rolling,10.0,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2977,0.6154,0.7099,0.8294,0.01223,0.0435,0.9077,0.994,2026-09-05 20:59,configs/experiments/tosimb_bagging_r10.yaml
tosimb_stride2,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,계통2,42,2025-09~2026-02,이전 분할,,159,0.2911,0.5837,0.7444,0.8101,0.01098,0.0674,0.904,0.983,2026-09-05 20:59,configs/experiments/tosimb_stride2.yaml
baseline_seq14,HGST_20HUH721212ALN604,"gru,lstm,cnn1d,tcn,tcn_deep",raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,235,0.2914,0.4369,0.5736,0.8144,0.01192,0.0689,0.936,-0.143,2026-09-05 20:59,configs/experiments/baseline_seq14.yaml
tos_win10_stride4,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10.0,2,6,계통4,42,2025-09~2026-02,이전 분할,,159,0.3608,0.6265,0.7022,0.821,0.00941,0.0587,0.9116,0.844,2026-09-05 20:59,configs/experiments/tos_win10_stride4.yaml
imb_balanced_rf,HGST_20HUH721212ALN604,xgboost_balanced_rf,raw,expanding,,1,3,none,42,2025-12~2026-02,이전 분할,,47,0.0,0.2094,0.4468,0.7889,0.01039,0.0469,0.9609,-0.145,2026-09-05 20:59,configs/experiments/imb_balanced_rf.yaml
tosimb_focal_g2,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2187,0.5846,0.7549,0.8185,0.01144,0.0517,0.9006,0.859,2026-09-05 20:59,configs/experiments/tosimb_focal_g2.yaml
imb_adasyn,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.0417,0.1518,0.3862,0.7068,0.00978,0.2257,0.9544,-0.956,2026-09-05 20:59,configs/experiments/imb_adasyn.yaml
imb_rus_50,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.1385,0.3325,0.5979,0.8477,0.01156,0.041,0.9573,0.723,2026-09-05 20:59,configs/experiments/imb_rus_50.yaml
tos_win10_stride7,TOSHIBA_20MG07ACA14TA,xgboost,ASFD7,rolling,10.0,2,6,계통7,42,2025-09~2026-02,이전 분할,,159,0.3605,0.5927,0.7122,0.821,0.01069,0.0468,0.917,0.732,2026-09-05 20:59,configs/experiments/tos_win10_stride7.yaml
imb_match_val,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,match_val,42,2025-12~2026-02,이전 분할,,47,0.2064,0.4384,0.6145,0.7834,0.01255,0.0389,0.9614,-0.105,2026-09-05 20:59,configs/experiments/imb_match_val.yaml
tosimb_focal_g5,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2292,0.5143,0.7161,0.8185,0.01089,0.0254,0.9027,0.988,2026-09-05 20:59,configs/experiments/tosimb_focal_g5.yaml
tosimb_posweight,TOSHIBA_20MG07ACA14TA,lstm,raw,rolling,10.0,2,6,none,42,2025-09~2026-02,이전 분할,,159,0.2094,0.5559,0.7311,0.8267,0.01021,0.0493,0.9025,0.984,2026-09-05 20:59,configs/experiments/tosimb_posweight.yaml
imb_ros,HGST_20HUH721212ALN604,xgboost,raw,expanding,,1,3,ratio,42,2025-12~2026-02,이전 분할,,47,0.197,0.3225,0.4058,0.8323,0.00971,0.1994,0.9601,-0.999,2026-09-05 20:59,configs/experiments/imb_ros.yaml
