days_before,mean_abs_ig,q25,q75
13,0.028888512,0.01354173,0.027296823
12,0.013665473,0.005829571,0.012766625
11,0.008030269,0.003937901,0.007093803
10,0.0009177173,5.439764e-05,0.00012167702
9,0.001227355,0.00010548989,0.00027816914
8,0.00062674156,6.477e-05,0.00017284913
7,0.0009935376,0.00020588946,0.0005832724
6,0.0010332725,0.00012520747,0.0004813455
5,0.0021737374,0.0006541215,0.0017510063
4,0.003470814,0.0012152311,0.0029659714
3,0.0074354154,0.0034527504,0.0075261216
2,0.014485494,0.008244892,0.015848037
1,0.03816043,0.023267392,0.04039018
0,0.06970638,0.042697057,0.069603525
