model,val_pAUC,recall,far,roc_auc,pauc,n_failed,n_healthy
TCN,0.7376123438424517,0.6595744680851063,0.0118986562724382,0.9616276337489424,0.7091569476215166,47,29247
CNN1D,0.7131061650661793,0.6170212765957447,0.011590932403323418,0.9626904814387218,0.6982264752994667,47,29247
GRU,0.7006302922346224,0.5319148936170213,0.012582487092693268,0.9681502158068221,0.6976996923357184,47,29247
RandomForest,0.6939467889320027,0.6595744680851063,0.01658289739118542,0.9638271683074969,0.6946439124648149,47,29247
MLP,0.6937084106475425,0.574468085106383,0.011351591616234143,0.9588959478659023,0.7036928081634002,47,29247
LSTM,0.6707461211341753,0.574468085106383,0.011488357780285157,0.9528705981118994,0.6829844982762041,47,29247
LightGBM,0.6633942675012936,0.23404255319148937,0.009197524532430676,0.9498370081965125,0.6017900984404552,47,29247
XGBoost,0.6614048113515472,0.6382978723404256,0.013061168666871816,0.9588119239725624,0.7120255568626914,47,29247
