Model,기본,기본sd,탐색후,탐색후sd
GRU,0.8746620912959878,0.01584967932942771,0.8792018197513679,0.024878217891486226
LightGBM,0.8073665549308066,0.03662680104874205,0.8653097322327218,0.0140226810187389
XGBoost,0.863743274744309,0.01757534325317674,0.8610421561024673,0.0203943238784438
MLP,0.8581189811381288,0.022599620612792835,0.8581281974238458,0.024457194539518286
RandomForest,0.8488983696041812,0.026225908532771597,,
