arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.001,47,29247,7,40,81,29166,0.9525655955582596,0.14893617021276595,0.07954545454545454,0.002769514822033029
asfd30,"ASFD(차분 절대합), 30일만",xgboost,0.001,47,29247,7,40,74,29173,0.9675178836716641,0.14893617021276595,0.08641975308641975,0.002530174034943755
combo_roll30_asfd30,롤링30일 + ASFD30일,xgboost,0.001,47,29247,5,42,50,29197,0.9539948708857239,0.10638297872340426,0.09090909090909091,0.0017095770506376723
asfd7_tuned,ASFD7일 + Optuna 튜닝 (Proposed),xgboost_tuned,0.005,235,146235,138,97,1160,145075,0.969964486064844,0.5872340425531914,0.10631741140215717,0.007932437514958798
asfd7,"ASFD(차분 절대합), 7일만",xgboost,0.005,235,146235,137,98,1166,145069,0.9555221612124096,0.5829787234042553,0.10514198004604758,0.007973467364174104
diff,차분만 (diff_lags 1/7/30),xgboost,0.005,235,146235,134,101,1180,145055,0.9712512032383572,0.5702127659574469,0.1019786910197869,0.008069203679009812
combo_asfd7_diff,ASFD7일 + 차분(1/7/30),xgboost,0.005,235,146235,133,102,1149,145086,0.9698639383428406,0.5659574468085107,0.10374414976599064,0.007857216124730742
combo_asfd7_d1,ASFD7일 + 차분 1일만,xgboost,0.005,235,146235,132,103,1133,145102,0.9605056460909015,0.5617021276595745,0.10434782608695652,0.007747803193489931
cid30,"CID(복잡도 추정치), 30일만",xgboost,0.005,47,29247,26,21,211,29036,0.9612706360781207,0.5531914893617021,0.10970464135021098,0.007214415153690977
roll7,"롤링 평균·표준편차, 7일만",xgboost,0.005,47,29247,26,21,210,29037,0.966430019217261,0.5531914893617021,0.11016949152542373,0.007180223612678224
scope_all,"차분+롤링+누적 전부, 존재하는 SMART 18개 전체",xgboost,0.005,47,29247,26,21,270,28977,0.9731079133979934,0.5531914893617021,0.08783783783783784,0.00923171607344343
triple_asfd7_diff_roll30,ASFD7일 + 차분 + 롤링30일,xgboost,0.005,47,29247,26,21,218,29029,0.9609951210265136,0.5531914893617021,0.10655737704918032,0.007453755940780251
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.005,47,29247,25,22,269,28978,0.9525655955582596,0.5319148936170213,0.08503401360544217,0.009197524532430676
asfd30,"ASFD(차분 절대합), 30일만",xgboost,0.005,47,29247,25,22,196,29051,0.9675178836716641,0.5319148936170213,0.11312217194570136,0.006701542038499675
combo_asfd14_d1,ASFD14일 + 차분 1일만,xgboost,0.005,47,29247,24,23,224,29023,0.9555830783928009,0.5106382978723404,0.0967741935483871,0.007658905186856772
combo_asfd14_diff,ASFD14일 + 차분(1/7/30),xgboost,0.005,47,29247,24,23,238,29009,0.9674830000665272,0.5106382978723404,0.0916030534351145,0.00813758676103532
combo_asfd28_d1,ASFD28일 + 차분 1일만,xgboost,0.005,47,29247,24,23,201,29046,0.9592723328989008,0.5106382978723404,0.10666666666666667,0.006872499743563442
combo_asfd7_cid30,ASFD7일 + CID30일,xgboost,0.005,47,29247,24,23,207,29040,0.9655984532256688,0.5106382978723404,0.1038961038961039,0.0070776489896399635
full_critical,"차분+롤링+누적 전부 (critical, 나이 제외)",xgboost,0.005,47,29247,24,23,207,29040,0.9705709120840272,0.5106382978723404,0.1038961038961039,0.0070776489896399635
roll30,"롤링 평균·표준편차, 30일만",xgboost,0.005,47,29247,24,23,195,29052,0.9687234268022683,0.5106382978723404,0.1095890410958904,0.006667350497486922
rolling,롤링 평균·표준편차만 (7/30일),xgboost,0.005,47,29247,24,23,217,29030,0.9663029821050876,0.5106382978723404,0.0995850622406639,0.007419564399767498
scope_all_champion,승자 조합(ASFD7일+차분)을 SMART 18개 전체로 확장,xgboost,0.005,47,29247,24,23,239,29008,0.974373062907807,0.5106382978723404,0.09125475285171103,0.008171778302048073
triple_asfd7_diff_since_start,ASFD7일 + 차분 + 누적,xgboost,0.005,47,29247,24,23,232,29015,0.9605502119202058,0.5106382978723404,0.09375,0.007932437514958798
combo_roll30_diff,롤링30일 + 차분(1/7/30),xgboost,0.005,47,29247,23,24,223,29024,0.9726486966452828,0.48936170212765956,0.09349593495934959,0.007624713645844018
full_critical_age,차분+롤링+누적+나이 전부 (features.yaml 원래 기본값과 동일),xgboost,0.005,47,29247,23,24,203,29044,0.9643608443369693,0.48936170212765956,0.10176991150442478,0.006940882825588949
combo_roll30_cid30,롤링30일 + CID30일,xgboost,0.005,47,29247,22,25,215,29032,0.9522337153985174,0.46808510638297873,0.09282700421940929,0.007351181317741991
triple_asfd7_diff_age,ASFD7일 + 차분 + 나이,xgboost,0.005,47,29247,22,25,209,29038,0.9657340655444832,0.46808510638297873,0.09523809523809523,0.00714603207166547
raw_only,"파생 없음, SMART 원값 18개만 (baseline 대조군)",xgboost,0.005,235,146235,106,129,955,145280,0.9581642477810555,0.451063829787234,0.0999057492931197,0.006530584333435908
asfd14,"ASFD(차분 절대합), 14일만",xgboost,0.005,47,29247,21,26,248,28999,0.9572951450630579,0.44680851063829785,0.07806691449814127,0.008479502171162855
cid14,"CID(복잡도 추정치), 14일만",xgboost,0.005,47,29247,21,26,183,29064,0.9592887946342388,0.44680851063829785,0.10294117647058823,0.00625705200533388
combo_roll30_asfd30,롤링30일 + ASFD30일,xgboost,0.005,47,29247,21,26,240,29007,0.9539948708857239,0.44680851063829785,0.08045977011494253,0.008205969843060826
combo_roll30_asfd7,롤링30일 + ASFD7일 (공동 1위 결합),xgboost,0.005,47,29247,21,26,187,29060,0.9596961997551738,0.44680851063829785,0.10096153846153846,0.006393818169384894
triple_asfd7_diff_cid30,ASFD7일 + 차분 + CID30일,xgboost,0.005,47,29247,21,26,204,29043,0.9653136599191727,0.44680851063829785,0.09333333333333334,0.0069750743666017025
roll14,"롤링 평균·표준편차, 14일만",xgboost,0.005,47,29247,20,27,211,29036,0.9612421051111207,0.425531914893617,0.08658008658008658,0.007214415153690977
age,"나이만 (age_days, segment_age_days)",xgboost,0.005,47,29247,19,28,208,29039,0.9552870224015813,0.40425531914893614,0.08370044052863436,0.0071118405306527166
cid7,"CID(복잡도 추정치), 7일만",xgboost,0.005,47,29247,18,29,187,29060,0.9522345330342944,0.3829787234042553,0.08780487804878048,0.006393818169384894
since_start,segment 시작 이후 누적 증가량만,xgboost,0.005,47,29247,16,31,187,29060,0.9594802817727935,0.3404255319148936,0.07881773399014778,0.006393818169384894
combo_asfd7_diff,ASFD7일 + 차분(1/7/30),xgboost,0.01,235,146235,162,73,2042,144193,0.9698639383428406,0.6893617021276596,0.073502722323049,0.013963825349608506
diff,차분만 (diff_lags 1/7/30),xgboost,0.01,235,146235,158,77,1931,144304,0.9712512032383572,0.6723404255319149,0.07563427477261848,0.01320477313912538
asfd7,"ASFD(차분 절대합), 7일만",xgboost,0.01,235,146235,157,78,1789,144446,0.9555221612124096,0.6680851063829787,0.08067831449126413,0.012233733374363183
asfd7_tuned,ASFD7일 + Optuna 튜닝 (Proposed),xgboost_tuned,0.01,235,146235,157,78,1750,144485,0.969964486064844,0.6680851063829787,0.08232826428945988,0.011967039354463705
combo_asfd28_d1,ASFD28일 + 차분 1일만,xgboost,0.01,47,29247,31,16,361,28886,0.9592723328989008,0.6595744680851063,0.07908163265306123,0.012343146305603993
combo_asfd7_d1,ASFD7일 + 차분 1일만,xgboost,0.01,235,146235,155,80,2041,144194,0.9605056460909015,0.6595744680851063,0.07058287795992714,0.013956987041405956
scope_all_champion,승자 조합(ASFD7일+차분)을 SMART 18개 전체로 확장,xgboost,0.01,47,29247,31,16,445,28802,0.974373062907807,0.6595744680851063,0.06512605042016807,0.015215235750675283
triple_asfd7_diff_roll30,ASFD7일 + 차분 + 롤링30일,xgboost,0.01,47,29247,31,16,353,28894,0.9609951210265136,0.6595744680851063,0.08072916666666667,0.012069613977501966
combo_asfd7_cid30,ASFD7일 + CID30일,xgboost,0.01,47,29247,30,17,377,28870,0.9655984532256688,0.6382978723404256,0.07371007371007371,0.012890210961808049
combo_roll30_asfd7,롤링30일 + ASFD7일 (공동 1위 결합),xgboost,0.01,47,29247,30,17,293,28954,0.9596961997551738,0.6382978723404256,0.09287925696594428,0.010018121516736759
combo_roll30_diff,롤링30일 + 차분(1/7/30),xgboost,0.01,47,29247,30,17,374,28873,0.9726486966452828,0.6382978723404256,0.07425742574257425,0.012787636338769788
roll30,"롤링 평균·표준편차, 30일만",xgboost,0.01,47,29247,30,17,344,28903,0.9687234268022683,0.6382978723404256,0.08021390374331551,0.011761890108387185
roll7,"롤링 평균·표준편차, 7일만",xgboost,0.01,47,29247,30,17,355,28892,0.966430019217261,0.6382978723404256,0.07792207792207792,0.012137997059527473
rolling,롤링 평균·표준편차만 (7/30일),xgboost,0.01,47,29247,30,17,360,28887,0.9663029821050876,0.6382978723404256,0.07692307692307693,0.01230895476459124
asfd30,"ASFD(차분 절대합), 30일만",xgboost,0.01,47,29247,29,18,400,28847,0.9675178836716641,0.6170212765957447,0.0675990675990676,0.013676616405101379
full_critical_age,차분+롤링+누적+나이 전부 (features.yaml 원래 기본값과 동일),xgboost,0.01,47,29247,29,18,437,28810,0.9643608443369693,0.6170212765957447,0.06223175965665236,0.014941703422573255
triple_asfd7_diff_age,ASFD7일 + 차분 + 나이,xgboost,0.01,47,29247,29,18,448,28799,0.9657340655444832,0.6170212765957447,0.06079664570230608,0.015317810373713544
triple_asfd7_diff_cid30,ASFD7일 + 차분 + CID30일,xgboost,0.01,47,29247,29,18,471,28776,0.9653136599191727,0.6170212765957447,0.058,0.016104215817006873
cid30,"CID(복잡도 추정치), 30일만",xgboost,0.01,47,29247,28,19,370,28877,0.9612706360781207,0.5957446808510638,0.07035175879396985,0.012650870174718774
combo_asfd14_d1,ASFD14일 + 차분 1일만,xgboost,0.01,47,29247,28,19,393,28854,0.9555830783928009,0.5957446808510638,0.0665083135391924,0.013437275618012104
combo_asfd14_diff,ASFD14일 + 차분(1/7/30),xgboost,0.01,47,29247,28,19,369,28878,0.9674830000665272,0.5957446808510638,0.07052896725440806,0.012616678633706021
full_critical,"차분+롤링+누적 전부 (critical, 나이 제외)",xgboost,0.01,47,29247,28,19,326,28921,0.9705709120840272,0.5957446808510638,0.07909604519774012,0.011146442370157623
scope_all,"차분+롤링+누적 전부, 존재하는 SMART 18개 전체",xgboost,0.01,47,29247,28,19,405,28842,0.9731079133979934,0.5957446808510638,0.06466512702078522,0.013847574110165146
triple_asfd7_diff_since_start,ASFD7일 + 차분 + 누적,xgboost,0.01,47,29247,28,19,413,28834,0.9605502119202058,0.5957446808510638,0.06349206349206349,0.014121106438267172
