experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.37687465790914065,0.10671575102876162,0.1453814426015922,0.04339510437044812,0.0016430777062871546,0.0005131392073230571,0.9053875433903151,0.033848796965204174,0.14706481186525683,0.04514449289816284,10.333333333333334,4.633213427705081
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6721028705224108,0.06885306654019425,0.06711746529293966,0.01748094581453035,0.0068980118473781615,0.0011198231735197873,0.9053875433903151,0.033848796965204174,0.14706481186525683,0.04514449289816284,18.166666666666668,4.400757510550504
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.7781023839931887,0.05024293246160565,0.04251635095588119,0.009134107359570102,0.01277935503936649,0.0016596290124065048,0.9053875433903151,0.033848796965204174,0.14706481186525683,0.04514449289816284,21.0,4.732863826479693
tos_proposed,TOSHIBA_20MG07ACA14TA,gru_tuned,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.832991242474001,0.055380408687070955,0.010198548484640978,0.0024068695654149447,0.05901506229050702,0.005580378574014434,0.9053875433903151,0.033848796965204174,0.14706481186525683,0.04514449289816284,22.5,5.167204273105526
