experiment,drive,model,family,rule,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
zoo_3month,HGST_20HUH721212ALN604,extratrees,tabular,in_horizon,0.02,1,47,29247,0.5957446808510638,0.0,0.04560260586319218,0.0,0.020036243033473518,0.0,0.9613156958359318,0.0,0.10554036013715216,0.0,28.0,0.0
zoo_3month,HGST_20HUH721212ALN604,extratrees,tabular,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.9613156958359318,0.0,0.10554036013715216,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,decisiontree,tabular,in_horizon,0.005,1,47,29247,0.3404255319148936,0.0,0.09411764705882353,0.0,0.00526549731596403,0.0,0.9545470383635336,0.0,0.10280355468027143,0.0,16.0,0.0
zoo_3month,HGST_20HUH721212ALN604,decisiontree,tabular,in_horizon,0.01,1,47,29247,0.5319148936170213,0.0,0.0778816199376947,0.0,0.01012069613977502,0.0,0.9545470383635336,0.0,0.10280355468027143,0.0,25.0,0.0
zoo_3month,HGST_20HUH721212ALN604,decisiontree,tabular,in_horizon,0.02,1,47,29247,0.6170212765957447,0.0,0.043348281016442454,0.0,0.021882586248162205,0.0,0.9545470383635336,0.0,0.10280355468027143,0.0,29.0,0.0
zoo_3month,HGST_20HUH721212ALN604,decisiontree,tabular,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029411764705882353,0.0,0.04061955072315109,0.0,0.9545470383635336,0.0,0.10280355468027143,0.0,36.0,0.0
zoo_3month,HGST_20HUH721212ALN604,logreg,tabular,in_horizon,0.005,1,47,29247,0.2765957446808511,0.0,0.08125,0.0,0.005026156528874756,0.0,0.8973344692444214,0.0,0.09718932625743093,0.0,13.0,0.0
zoo_3month,HGST_20HUH721212ALN604,logreg,tabular,in_horizon,0.01,1,47,29247,0.48936170212765956,0.0,0.07255520504731862,0.0,0.010052313057749512,0.0,0.8973344692444214,0.0,0.09718932625743093,0.0,23.0,0.0
zoo_3month,HGST_20HUH721212ALN604,logreg,tabular,in_horizon,0.02,1,47,29247,0.5957446808510638,0.0,0.04560260586319218,0.0,0.020036243033473518,0.0,0.8973344692444214,0.0,0.09718932625743093,0.0,28.0,0.0
zoo_3month,HGST_20HUH721212ALN604,logreg,tabular,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029826014913007456,0.0,0.040038294525934284,0.0,0.8973344692444214,0.0,0.09718932625743093,0.0,36.0,0.0
