arm,far_target,tp,fn,fp,tn,roc,recall,far,prec
adasyn,0.001,10,37,30,29217,0.9562872006239181,0.2127659574468085,0.0010257462303826033,0.25
adasyn,0.005,19,28,147,29100,0.9562872006239181,0.40425531914893614,0.005026156528874756,0.1144578313253012
adasyn,0.01,24,23,294,28953,0.9562872006239181,0.5106382978723404,0.010052313057749512,0.07547169811320754
adasyn,0.05,34,13,1465,27782,0.9562872006239181,0.723404255319149,0.0500906075836838,0.02268178785857238
balanced_bagging,0.001,7,40,30,29217,0.9555093347638318,0.14893617021276595,0.0010257462303826033,0.1891891891891892
balanced_bagging,0.005,15,32,147,29100,0.9555093347638318,0.3191489361702128,0.005026156528874756,0.09259259259259259
balanced_bagging,0.01,18,29,294,28953,0.9555093347638318,0.3829787234042553,0.010052313057749512,0.057692307692307696
balanced_bagging,0.05,37,10,1465,27782,0.9555093347638318,0.7872340425531915,0.0500906075836838,0.02463382157123835
balanced_rf,0.001,2,45,30,29217,0.9588284650848008,0.0425531914893617,0.0010257462303826033,0.0625
balanced_rf,0.005,14,33,147,29100,0.9588284650848008,0.2978723404255319,0.005026156528874756,0.08695652173913043
balanced_rf,0.01,20,27,294,28953,0.9588284650848008,0.425531914893617,0.010052313057749512,0.06369426751592357
balanced_rf,0.05,39,8,1465,27782,0.9588284650848008,0.8297872340425532,0.0500906075836838,0.025930851063829786
borderline_smote,0.001,5,42,30,29217,0.9400965607063748,0.10638297872340426,0.0010257462303826033,0.14285714285714285
borderline_smote,0.005,20,27,147,29100,0.9400965607063748,0.425531914893617,0.005026156528874756,0.11976047904191617
borderline_smote,0.01,24,23,294,28953,0.9400965607063748,0.5106382978723404,0.010052313057749512,0.07547169811320754
borderline_smote,0.05,34,13,1465,27782,0.9400965607063748,0.723404255319149,0.0500906075836838,0.02268178785857238
cost,0.001,10,37,30,29217,0.9545468636152847,0.2127659574468085,0.0010257462303826033,0.25
cost,0.005,23,24,147,29100,0.9545468636152847,0.48936170212765956,0.005026156528874756,0.13529411764705881
cost,0.01,26,21,294,28953,0.9545468636152847,0.5531914893617021,0.010052313057749512,0.08125
cost,0.05,40,7,1465,27782,0.9545468636152847,0.851063829787234,0.0500906075836838,0.026578073089700997
easy_ensemble,0.001,6,41,34,29213,0.9583528917385301,0.1276595744680851,0.0011625123944336172,0.15
easy_ensemble,0.005,15,32,153,29094,0.9583528917385301,0.3191489361702128,0.005231305774951277,0.08928571428571429
easy_ensemble,0.01,23,24,297,28950,0.9583528917385301,0.48936170212765956,0.010154887680787773,0.071875
easy_ensemble,0.05,38,9,1470,27777,0.9583528917385301,0.8085106382978723,0.05026156528874756,0.025198938992042442
match_val,0.001,11,36,30,29217,0.9552791875640394,0.23404255319148937,0.0010257462303826033,0.2682926829268293
match_val,0.005,21,26,147,29100,0.9552791875640394,0.44680851063829785,0.005026156528874756,0.125
match_val,0.01,28,19,294,28953,0.9552791875640394,0.5957446808510638,0.010052313057749512,0.08695652173913043
match_val,0.05,39,8,1465,27782,0.9552791875640394,0.8297872340425532,0.0500906075836838,0.025930851063829786
