arm,far_target,tp,fn,fp,tn,roc,recall,far,prec
none,0.001,9,38,30,29217,0.9643497693736279,0.19148936170212766,0.0010257462303826033,0.23076923076923078
none,0.005,22,25,147,29100,0.9643497693736279,0.46808510638297873,0.005026156528874756,0.1301775147928994
none,0.01,28,19,294,28953,0.9643497693736279,0.5957446808510638,0.010052313057749512,0.08695652173913043
none,0.05,39,8,1465,27782,0.9643497693736279,0.8297872340425532,0.0500906075836838,0.025930851063829786
ros,0.001,6,41,30,29217,0.9322212848118036,0.1276595744680851,0.0010257462303826033,0.16666666666666666
ros,0.005,17,30,147,29100,0.9322212848118036,0.3617021276595745,0.005026156528874756,0.10365853658536585
ros,0.01,20,27,294,28953,0.9322212848118036,0.425531914893617,0.010052313057749512,0.06369426751592357
ros,0.05,33,14,1465,27782,0.9322212848118036,0.7021276595744681,0.0500906075836838,0.022029372496662217
rus_1,0.001,7,40,30,29217,0.9506489543382872,0.14893617021276595,0.0010257462303826033,0.1891891891891892
rus_1,0.005,14,33,147,29100,0.9506489543382872,0.2978723404255319,0.005026156528874756,0.08695652173913043
rus_1,0.01,17,30,294,28953,0.9506489543382872,0.3617021276595745,0.010052313057749512,0.05466237942122187
rus_1,0.05,35,12,1465,27782,0.9506489543382872,0.7446808510638298,0.0500906075836838,0.023333333333333334
rus_10,0.001,8,39,30,29217,0.9477281635991611,0.1702127659574468,0.0010257462303826033,0.21052631578947367
rus_10,0.005,20,27,147,29100,0.9477281635991611,0.425531914893617,0.005026156528874756,0.11976047904191617
rus_10,0.01,22,25,294,28953,0.9477281635991611,0.46808510638297873,0.010052313057749512,0.06962025316455696
rus_10,0.05,38,9,1465,27782,0.9477281635991611,0.8085106382978723,0.0500906075836838,0.025282767797737856
rus_50,0.001,8,39,30,29217,0.9581432399547164,0.1702127659574468,0.0010257462303826033,0.21052631578947367
rus_50,0.005,21,26,147,29100,0.9581432399547164,0.44680851063829785,0.005026156528874756,0.125
rus_50,0.01,25,22,294,28953,0.9581432399547164,0.5319148936170213,0.010052313057749512,0.07836990595611286
rus_50,0.05,39,8,1465,27782,0.9581432399547164,0.8297872340425532,0.0500906075836838,0.025930851063829786
rusboost,0.001,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402,0.01818181818181818
rusboost,0.005,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402,0.01818181818181818
rusboost,0.01,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402,0.01818181818181818
rusboost,0.05,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402,0.01818181818181818
smote,0.001,6,41,30,29217,0.9335858127871641,0.1276595744680851,0.0010257462303826033,0.16666666666666666
smote,0.005,13,34,147,29100,0.9335858127871641,0.2765957446808511,0.005026156528874756,0.08125
smote,0.01,23,24,294,28953,0.9335858127871641,0.48936170212765956,0.010052313057749512,0.07255520504731862
smote,0.05,32,15,1465,27782,0.9335858127871641,0.6808510638297872,0.0500906075836838,0.02137608550434202
smote_enn,0.001,8,39,30,29217,0.9301828268221385,0.1702127659574468,0.0010257462303826033,0.21052631578947367
smote_enn,0.005,20,27,147,29100,0.9301828268221385,0.425531914893617,0.005026156528874756,0.11976047904191617
smote_enn,0.01,22,25,294,28953,0.9301828268221385,0.46808510638297873,0.010052313057749512,0.06962025316455696
smote_enn,0.05,34,13,1465,27782,0.9301828268221385,0.723404255319149,0.0500906075836838,0.02268178785857238
smote_tomek,0.001,10,37,30,29217,0.9277940278567893,0.2127659574468085,0.0010257462303826033,0.25
smote_tomek,0.005,19,28,147,29100,0.9277940278567893,0.40425531914893614,0.005026156528874756,0.1144578313253012
smote_tomek,0.01,23,24,294,28953,0.9277940278567893,0.48936170212765956,0.010052313057749512,0.07255520504731862
smote_tomek,0.05,32,15,1465,27782,0.9277940278567893,0.6808510638297872,0.0500906075836838,0.02137608550434202
stride_30,0.001,9,38,30,29217,0.9354225556904127,0.19148936170212766,0.0010257462303826033,0.23076923076923078
stride_30,0.005,24,23,147,29100,0.9354225556904127,0.5106382978723404,0.005026156528874756,0.14035087719298245
stride_30,0.01,27,20,294,28953,0.9354225556904127,0.574468085106383,0.010052313057749512,0.08411214953271028
stride_30,0.05,38,9,1465,27782,0.9354225556904127,0.8085106382978723,0.0500906075836838,0.025282767797737856
