trial,pauc,recall01,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_lambda
21,0.8901362053630162,0.7648026315789473,0.014523341067863176,34,18,0.6789278613971973,0.824536034281264,3.3246579999014005
49,0.8892260717595508,0.7516447368421053,0.014478370672332375,59,149,0.7348820690139024,0.8726556426496911,6.178596729826749
23,0.889153100536352,0.7623355263157895,0.015494995828722834,32,16,0.72867918967427,0.7758468087023366,1.437233309012533
30,0.888829790941198,0.7623355263157895,0.01887699046429349,19,7,0.7570632381967479,0.852980849156694,0.7169966104840819
22,0.8888035749070287,0.7804276315789473,0.015026443568717403,33,17,0.7162944731634634,0.803016397879216,3.2679931624080347
41,0.8887284375691855,0.7804276315789473,0.017063461637347486,35,21,0.7369190238820194,0.8098955883098619,3.054037722484372
18,0.8886400142415855,0.7491776315789473,0.01661644390788937,34,22,0.7278440391254131,0.8139991761686965,3.476425029947002
42,0.8886219937056296,0.7804276315789473,0.01288027909933337,45,49,0.649224257186934,0.8370887940027024,1.872355684817482
48,0.8886092947003141,0.7804276315789473,0.011881662099088227,34,10,0.6971640038692719,0.8452939690178969,1.9350778891324176
17,0.8885423026734119,0.7516447368421053,0.010002726696879502,65,23,0.6816299300543669,0.8195433183893216,3.451470502448095
43,0.8881322546390868,0.7491776315789473,0.015786930315101352,33,72,0.7106142829967942,0.7153496273872442,2.7208416478042605
32,0.8881292817954572,0.7516447368421053,0.012653520250467657,39,7,0.7442245863922284,0.7928138314939269,1.0113483365968554
35,0.8880924420700825,0.7491776315789473,0.012408010465978055,28,39,0.7528804635893643,0.702261829642621,2.532525535172823
31,0.8869851812938196,0.7516447368421053,0.01932230094550663,20,7,0.7735297344236916,0.8528652192214258,0.6748524971220611
16,0.8858178762723075,0.7516447368421053,0.010994740385369269,72,9,0.6806341310686084,0.8362525492871881,5.4307061819185
27,0.8853570678209228,0.7648026315789473,0.013432760308047822,31,19,0.657157776522966,0.8639866606556393,1.5450001277494398
46,0.8852814461904017,0.7516447368421053,0.02572367444134622,94,34,0.7635356610307671,0.7733401677739548,5.481821962757293
28,0.8842521662769801,0.7804276315789473,0.05006134055860457,40,31,0.7209742141895603,0.6694289112952796,3.824638290327374
15,0.88372439223825,0.7516447368421053,0.010616913381120904,137,10,0.6761152088202647,0.6191363408489875,8.53905242059195
14,0.8831151873045953,0.7516447368421053,0.01074252287407099,143,5,0.622667684377177,0.601837590246501,9.934712845004423
33,0.8828191274739312,0.7360197368421053,0.02377793539765592,18,18,0.7131185542959984,0.9302537137255089,2.0001757858901454
25,0.8804741190204944,0.7491776315789473,0.014210003371125303,15,13,0.8892130138767947,0.7758233437610323,0.3402847615121324
36,0.8804040284944705,0.7360197368421053,0.061326741712410565,37,8,0.6981148285755552,0.7478138868166931,4.5276773340462
20,0.8796247700876897,0.7516447368421053,0.015200494294309965,51,24,0.8202782771629917,0.9248902362326104,0.6241404501227481
24,0.8779442040525122,0.7491776315789473,0.024179365759613023,25,16,0.7896524271345742,0.8789979460109956,1.112491211582797
13,0.8773604028877922,0.7228618421052632,0.03925418393294394,244,11,0.6283478591454634,0.5958824423893195,6.810739738092682
34,0.8757442407380076,0.709703947368421,0.017303112952562583,48,12,0.6618045152651191,0.8980286745807405,0.542246664489817
38,0.8737246137527499,0.694078947368421,0.01675334025536507,24,19,0.8843081668858244,0.7992574170085963,1.2769709450270934
11,0.871315397675098,0.725328947368421,0.038256206045621736,235,5,0.5898155819233919,0.5023542287274464,2.395432635906792
12,0.8709672664314065,0.725328947368421,0.03278506874564638,240,16,0.6101671650253396,0.6094888365157052,0.7285326821016727
5,0.8709368634231237,0.7335526315789473,0.024591256383397347,134,25,0.7842169744343243,0.5093949002181776,0.2954894558726685
47,0.8707184886806044,0.696546052631579,0.03569456463627314,43,16,0.8475216890311817,0.8021128681628771,0.3924415049353156
45,0.8705137899018617,0.709703947368421,0.021211116207346992,22,27,0.8034585227744744,0.7478515406185132,0.9681103085872902
2,0.8664211160525912,0.6546052631578947,0.06903521707993515,206,6,0.5435646498507704,0.5101091987201629,2.1403233140986067
3,0.8641870312991358,0.6702302631578947,0.1410690937355148,176,185,0.8995792821083618,0.7307396811264659,1.324697464746845
10,0.8594264433560345,0.6126644736842105,0.2451809881858085,49,15,0.5100229215872224,0.5138613466239843,8.037530189730083
44,0.8546002311447953,0.6833881578947368,0.017913228343937104,28,20,0.9528997597319211,0.8574944810309375,0.20508016071569252
6,0.8543605142091255,0.7491776315789473,0.0801935800522185,85,162,0.8409101495517417,0.679753950286893,0.05599223654063348
1,0.8524279469599545,0.712171052631579,0.04429649570464297,187,175,0.6917207594128889,0.8958625190413323,0.13049073550362397
37,0.8506724799281957,0.6677631578947368,0.02276181664323152,15,14,0.7616278574588878,0.892890987064603,0.06916517092122511
26,0.8496083655265241,0.680921052631579,0.01944707482413129,21,32,0.5721514834403618,0.7877416514849067,0.13780210503841533
0,0.8467000394832097,0.678453947368421,0.0646642271741456,113,44,0.7724415914984484,0.7118273996694524,0.3833332156156664
19,0.8396987783428073,1.0,0.02018679291353616,31,92,0.7421325526273495,0.8235843278187488,0.013422137533667581
9,0.8388825178780662,0.7203947368421053,0.020348682523113566,23,54,0.626645801269891,0.7331553864281531,0.009499535455183799
40,0.8372759570882067,1.0,0.18250632740586423,19,28,0.8682532934860225,0.967589467950272,0.028891982974421682
8,0.8358191724355117,1.0,0.029236536416560464,41,39,0.7193007567311602,0.9941869190296131,0.0025596420901526653
29,0.8353665514972367,0.6258223684210527,0.02832114538315674,27,12,0.7909309214042297,0.9411056389731042,0.21455513721883165
4,0.8294136109220243,0.5995065789473684,0.014952219652829973,91,8,0.972334458524792,0.7609241608750359,0.045566719139214756
