column,mean_abs_ig
3,0.10186866
226,0.09987928
222,0.042954274
194,0.040892918
9,0.03956674
_mask,0.036494896
193,0.023191608
4,0.019088073
12,0.017263766
220,0.007210458
197,0.006896395
192,0.0059575816
196,0.0031877267
5,0.0016642706
191,0.00065581413
198,0.0005369264
199,0.00031866465
