experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,val_quantile,0.001,1,47,29247,0.19148936170212766,0.0,0.140625,0.0,0.0018805347557014395,0.0,0.9601399113016192,0.0,0.10432758749653338,0.0,9.0,0.0
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,val_quantile,0.005,1,47,29247,0.3191489361702128,0.0,0.09554140127388536,0.0,0.004855198823810989,0.0,0.9601399113016192,0.0,0.10432758749653338,0.0,15.0,0.0
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,val_quantile,0.01,1,47,29247,0.40425531914893614,0.0,0.0627062706270627,0.0,0.009710397647621978,0.0,0.9601399113016192,0.0,0.10432758749653338,0.0,19.0,0.0
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,in_horizon,val_quantile,0.05,1,47,29247,0.8297872340425532,0.0,0.02488832163369496,0.0,0.052244674667487265,0.0,0.9601399113016192,0.0,0.10432758749653338,0.0,39.0,0.0
