days_before,mean_abs_ig,q25,q75
13,0.020610742,0.0052984864,0.011538155
12,0.011683479,0.0015252642,0.002716594
11,0.0109317545,0.00022530265,0.0004956583
10,0.011667529,4.364096e-05,7.466415e-05
9,0.008369107,4.4832566e-05,7.7611425e-05
8,0.0072382377,4.3983906e-05,7.232421e-05
7,0.0059761195,4.3680782e-05,7.199164e-05
6,0.005345625,4.389442e-05,7.529423e-05
5,0.004564232,4.4799446e-05,9.2882925e-05
4,0.0046161045,4.7980517e-05,0.00010457523
3,0.0043350044,5.6468307e-05,0.00040786868
2,0.005502493,0.00018414299,0.0011177547
1,0.016324492,0.0034945686,0.008838673
0,0.05915439,0.03312754,0.052962765
