Model,report_mean,report_pool,sd
GRU,0.8792018197513679,0.8785063198319116,0.024878217891486226
LSTM,0.8730020580138098,0.8731126126108513,0.015867933904319155
LightGBM,0.864416426764163,0.8640931701663797,0.013887624931315503
XGBoost,0.8597585424077184,0.8596777028161278,0.024085161910258352
MLP,0.8563993419342597,0.8548899801314027,0.0179422680669607
