trial,recall_mean,recall_sd,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,robust
51,0.6782608695652174,0.023814024239355035,4,0.026307398380130718,3.763495846474651,0.7167235888671817,0.9460920288352525,0.010398926474417165,0.5990504393955479,0.0012992690371871113,0.6544468453258623
21,0.6695652173913044,0.038888138739126756,4,0.017039357664396085,5.088544846263709,0.6793499135040147,0.9405208335232295,0.09026343902017832,3.237506006908389,0.0010442692729916191,0.6306770786521776
68,0.6695652173913044,0.038888138739126756,3,0.014397005009860984,4.60213373732218,0.6595589584313605,0.8414304037751632,0.038402660254957845,0.718028737297091,0.0020100870867180327,0.6306770786521776
19,0.6695652173913043,0.023814024239355035,4,0.01976847187612918,4.457105423504032,0.6111849863410341,0.9382709437526193,0.0873817586873931,1.0806763837007891,0.02352078950256942,0.6457511931519492
32,0.6695652173913043,0.023814024239355035,3,0.027634187117548628,4.221999350902242,0.6479148231291065,0.9967867646344175,0.0120518382241183,0.46022362642047404,0.001920706241454744,0.6457511931519492
31,0.6695652173913043,0.023814024239355035,4,0.0261972055174045,3.6667760064621095,0.7198205443566987,0.9500896326876171,0.010216491373457594,0.9242063643786786,0.0014723500051289713,0.6457511931519492
18,0.6608695652173914,0.03637652289278587,4,0.017759757254086513,4.395931009705161,0.650084348318545,0.928389212064882,0.10303554122090068,1.2497470939363846,0.012892786057384687,0.6244930423246056
26,0.6608695652173914,0.03637652289278587,4,0.025959898964529403,3.725571991733298,0.7219430666303869,0.9541964114878533,0.013068986746795108,0.7797460849310127,0.0011414313123694353,0.6244930423246056
63,0.6608695652173914,0.019444069369563378,4,0.02713937993125935,5.402554040165832,0.7874095214691713,0.9486029084925357,0.04918664449207689,2.220006565070584,0.001518542502716974,0.641425495847828
54,0.6608695652173914,0.03637652289278587,3,0.034715168840899154,4.967518181521792,0.6735145997823597,0.9036300377072611,0.01050654983521578,1.3366508119675962,0.003728097007691793,0.6244930423246056
41,0.6608695652173913,0.03637652289278587,4,0.018492180570853237,3.545286028016558,0.6494105117338599,0.9340886771952178,0.14337851859220954,1.1977476680098695,0.002158711364390356,0.6244930423246053
16,0.6521739130434783,0.03074377309506726,5,0.015562689248982856,5.087186266120221,0.6910392933942914,0.8175741064017213,0.15936223872435878,9.591321307007467,7.001752984837705,0.621430139948411
57,0.6521739130434783,0.04347826086956519,4,0.012739014396847131,4.578571552954811,0.7405326458827405,0.9381671726899998,0.020842781478041264,7.614011356154319,0.0024620735148442527,0.6086956521739131
74,0.6521739130434783,0.04347826086956519,3,0.011471950565362857,3.735831187438292,0.7336362314561995,0.8172353692846912,0.11811482657359897,1.0535601763718685,0.0013383018728514633,0.6086956521739131
46,0.6521739130434783,0.0,5,0.02074810289855616,3.3967681930728335,0.5543267074024987,0.8683973897776268,0.10063061956609996,5.303637706149754,0.05956554255579488,0.6521739130434783
23,0.6521739130434783,0.03074377309506726,4,0.018154912906187596,4.124462023364872,0.6700193878363168,0.9517503140842161,0.05491487553309768,2.6740122628924667,0.02051411316279397,0.621430139948411
52,0.6521739130434783,0.03074377309506726,4,0.017524959318736922,3.930221385497644,0.6660535345999448,0.9411420885614027,0.015572985262045692,0.5749316258666632,0.0026021973370863537,0.621430139948411
65,0.6521739130434783,0.03074377309506726,4,0.022291005537487304,3.2107722933993452,0.8192531266902079,0.9111570886540576,0.02145611237713315,1.3347143437550562,2.6225599002628712,0.621430139948411
77,0.6521739130434783,0.0,4,0.015746614027793624,3.619296837040858,0.6853477469142846,0.998077989768349,0.16664142120042696,4.218771355250474,0.003119344133288375,0.6521739130434783
72,0.6521739130434783,0.03074377309506726,3,0.019968734435670352,4.214762350565708,0.7170344177784732,0.9850390026296223,0.01813531462405035,1.629727203689339,0.0010007788119695618,0.621430139948411
78,0.6521739130434783,0.0,5,0.026574183479275343,4.419930405579289,0.5868338972795544,0.8903811110381077,0.05115070603828185,1.5689616057150155,0.005656911320643872,0.6521739130434783
55,0.6434782608695653,0.03637652289278587,4,0.021655561891685306,3.296108987592971,0.6304172447578879,0.41873304467737393,0.0319887495888494,2.8214543910812435,0.6974134951238934,0.6071017379767794
44,0.6434782608695653,0.03637652289278587,3,0.03422676718578325,5.945160267560447,0.7767597027004455,0.9232898470046693,0.023889188349627766,0.30857378493904397,0.009097731835054277,0.6071017379767794
28,0.6434782608695653,0.07144207271806514,3,0.029716967250143635,5.3407234648015525,0.717846789560727,0.9270588495226147,0.01186322764389584,1.867488706364395,0.00737066444707174,0.5720361881515001
12,0.6434782608695653,0.03637652289278587,6,0.06949367653271435,2.488615792510829,0.8707726595450942,0.8376029373228946,0.6378333292371829,0.001158506889333411,0.20880981651061753,0.6071017379767794
29,0.6347826086956522,0.023814024239355035,4,0.01950740507100505,9.196426452168549,0.754564348704019,0.879874601626441,1.1525339469424938,0.14006960093459828,0.0323457386782649,0.6109685844562971
75,0.6347826086956522,0.023814024239355035,4,0.022946108568646983,2.799069968202359,0.709179722353947,0.7298800900379803,0.037908036393207875,0.22864793301450803,0.04556900818717755,0.6109685844562971
24,0.6347826086956522,0.04957284456952774,3,0.01163530609051529,1.8352879546174536,0.58053868962917,0.8630102274763498,0.13552035217165517,0.16065862252695004,0.010533869828039208,0.5852097641261245
40,0.6347826086956522,0.038888138739126756,4,0.014686322664845805,8.570273088132138,0.6049988313522999,0.9211885335847466,0.0343176801046563,0.27828889664823864,0.004060895891120995,0.5958944699565254
76,0.6347826086956522,0.023814024239355035,3,0.029394985374438843,5.322070278759686,0.6584973382948089,0.9266868033035286,0.013705696869049745,0.3630239241095989,0.0018956638139902998,0.6109685844562971
4,0.6347826086956522,0.04957284456952774,6,0.06912670683424535,1.0762751359127576,0.8088177485379385,0.7672574336334528,2.93586436439536,5.956516018710568,0.5336803302756716,0.5852097641261245
70,0.6304347826086956,,3,0.013461210149302245,5.017993084704114,0.6654025782591991,0.7754981338762786,0.09099220536551703,0.1671121106350856,0.004202980130723809,0.6304347826086956
73,0.6304347826086956,,4,0.03254961494231887,2.1218154008160917,0.6372187965904695,0.9580960223216087,0.027505752887277402,0.9030559048904727,0.002648187871425559,0.6304347826086956
34,0.6304347826086956,,3,0.03169022625815199,2.9661291555727742,0.7538907730908043,0.9605769394574247,0.018182235848306666,0.5822290589638861,0.0017631696582986846,0.6304347826086956
37,0.6304347826086956,,3,0.013658933911527893,4.147956027383562,0.5764341465309869,0.9546411779987047,0.018564218382030543,0.04907647658232277,1.3176275504876376,0.6304347826086956
62,0.6260869565217393,0.0388881387391268,5,0.037874108861300326,2.5443481665900602,0.7250377145873068,0.9195267212107071,0.01383496628890736,0.9700202755423041,0.014618279208499466,0.5871988177826125
27,0.6260869565217393,0.023814024239355035,5,0.017019261460577938,10.854529093253543,0.5691380728737365,0.9784123756049682,0.21783531733008735,0.7959535426260259,0.011207856017613505,0.6022729322823842
42,0.6260869565217393,,5,0.02880465232192815,4.330980576923127,0.6548394842612418,0.968152579064246,0.07583564626092629,1.3254524882175707,0.01657676779377419,0.6260869565217393
22,0.6173913043478262,0.019444069369563378,4,0.021843522735726217,7.660592750062513,0.6145626913883317,0.9432048404602451,0.06802455933172721,0.9174421575150769,0.001069729126484046,0.5979472349782629
8,0.6173913043478262,0.019444069369563378,4,0.035047075708368194,24.82234864626723,0.5485506378965306,0.9027669444992823,0.024232243900608935,8.050778165087026,0.07492121411354245,0.5979472349782629
3,0.6173913043478262,0.019444069369563378,3,0.088153780513692,1.7520759784129354,0.972334458524792,0.7131089930500429,0.4556671913921477,0.011434638743472197,1.2500712230836255,0.5979472349782629
15,0.6173913043478262,0.03637652289278591,6,0.05674531949190673,2.397587903500106,0.8031266055174121,0.6393081750349934,0.2409377630381404,1.6992010539628069,0.012119799650590046,0.5810147814550403
66,0.6173913043478261,0.03637652289278591,5,0.02548151320548731,6.704604170370974,0.7490190786309472,0.8777048670578625,0.013839581371661167,0.3719916222763562,0.00632035689683473,0.5810147814550402
13,0.6086956521739131,0.05324977701702562,6,0.06855493696267326,2.922799132329663,0.8779078553818035,0.8513072589782956,1.959252479191263,0.001175987067228638,0.11643034842509224,0.5554458751568875
25,0.6086956521739131,,4,0.010021090934627086,6.606562021423888,0.6442514874327635,0.8877598837363435,0.051592796622573746,3.8909197031968383,0.0353687407971828,0.6086956521739131
36,0.6086956521739131,,4,0.024838860243933343,2.193807010117877,0.6348326214527167,0.8822319048823879,11.255093548118724,3.2856872252975915,0.0011881842949226773,0.6086956521739131
50,0.6086956521739131,,5,0.02442171449211392,1.366731356898287,0.9493469463689617,0.9756722165525162,0.3380286970485663,1.00550926095508,0.0016282130973528804,0.6086956521739131
69,0.6086956521739131,,3,0.014667626063347912,4.611812371786947,0.6431584568997053,0.8449352794994055,0.040183360464181625,0.47809359846337574,0.08798662565030238,0.6086956521739131
79,0.6086956521739131,,5,0.021014685987636464,7.078422101831282,0.5520001914068291,0.8675325511606246,0.010236097322673702,0.7313672978242143,0.025022628398965477,0.6086956521739131
49,0.6086956521739131,,6,0.010056063628078283,2.68134273135801,0.8322140114842276,0.8241273202559675,0.0256068366784978,0.41955212144038945,0.0010688710779394395,0.6086956521739131
43,0.6086956521739131,,4,0.01609882928883978,2.8526722078000346,0.703518223581185,0.9996573034951108,0.2770877767184597,0.6782796186140445,0.04218977999592452,0.6086956521739131
33,0.6086956521739131,,3,0.027814146788454026,1.905127518135336,0.6947001329051714,0.9925664762398398,0.010220066579110872,0.46552726990152454,0.0017761652807085047,0.6086956521739131
