experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc,arm
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.8252465135753159,14,9724,2,12,49,9675,0.1428571428571428,0.0392156862745098,0.0050390785684903,0.9460980196274312,0.0402973016826311,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.766323125302792,14,9724,3,11,98,9626,0.2142857142857142,0.0297029702970297,0.0100781571369806,0.9460980196274312,0.0402973016826311,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.563019902408123,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.9460980196274312,0.0402973016826311,balanced_bagging
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9788309646228964,16,9782,1,15,10,9772,0.0625,0.0909090909090909,0.0010222858311183,0.9676063177264362,0.0818462902400013,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9598715890826288,16,9782,6,10,49,9733,0.375,0.109090909090909,0.00500920057248,0.9676063177264362,0.0818462902400013,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9430034425207908,16,9782,8,8,98,9684,0.5,0.0754716981132075,0.0100184011449601,0.9676063177264362,0.0818462902400013,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.809104814970466,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.0500920057248006,0.9676063177264362,0.0818462902400013,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9752805726955992,17,9741,1,16,10,9731,0.0588235294117647,0.0909090909090909,0.0010265886459295,0.9377766505431862,0.0984392916237271,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9550103266825783,17,9741,6,11,49,9692,0.3529411764705882,0.109090909090909,0.0050302843650549,0.9377766505431862,0.0984392916237271,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9331857045230552,17,9741,8,9,98,9643,0.4705882352941176,0.0754716981132075,0.0100605687301098,0.9377766505431862,0.0984392916237271,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.801499580328363,17,9741,13,4,488,9253,0.7647058823529411,0.0259481037924151,0.0500975259213633,0.9377766505431862,0.0984392916237271,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9785530086095574,14,9724,0,14,10,9714,0.0,0.0,0.0010283833813245,0.97110242698478,0.0411452555517859,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9587466035996688,14,9724,2,12,49,9675,0.1428571428571428,0.0392156862745098,0.0050390785684903,0.97110242698478,0.0411452555517859,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9412300308036544,14,9724,4,10,98,9626,0.2857142857142857,0.0392156862745098,0.0100781571369806,0.97110242698478,0.0411452555517859,balanced_rf
imb_balanced_rf,HGST_20HUH721212ALN604,mlp_balanced_rf,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8025292198177674,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.97110242698478,0.0411452555517859,balanced_rf
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9992320703864096,16,9782,2,14,10,9772,0.125,0.1666666666666666,0.0010222858311183,0.9270471273768146,0.1345286144678006,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9910645386576652,16,9782,9,7,49,9733,0.5625,0.1551724137931034,0.00500920057248,0.9270471273768146,0.1345286144678006,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9762938469648362,16,9782,9,7,98,9684,0.5625,0.0841121495327102,0.0100184011449601,0.9270471273768146,0.1345286144678006,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9182846933603286,16,9782,12,4,490,9292,0.75,0.0239043824701195,0.0500920057248006,0.9270471273768146,0.1345286144678006,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.999254550933838,17,9741,2,15,10,9731,0.1176470588235294,0.1666666666666666,0.0010265886459295,0.925614594467291,0.0982869923510741,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9904696762561798,17,9741,6,11,49,9692,0.3529411764705882,0.109090909090909,0.0050302843650549,0.925614594467291,0.0982869923510741,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9760032773017884,17,9741,9,8,98,9643,0.5294117647058824,0.0841121495327102,0.0100605687301098,0.925614594467291,0.0982869923510741,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9128594994544984,17,9741,11,6,488,9253,0.6470588235294118,0.0220440881763527,0.0500975259213633,0.925614594467291,0.0982869923510741,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.999685899078846,14,9724,1,13,10,9714,0.0714285714285714,0.0909090909090909,0.0010283833813245,0.9676279602750192,0.0760983208760899,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9930181139707566,14,9724,5,9,49,9675,0.3571428571428571,0.0925925925925925,0.0050390785684903,0.9676279602750192,0.0760983208760899,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9818371421098712,14,9724,6,8,98,9626,0.4285714285714285,0.0576923076923076,0.0100781571369806,0.9676279602750192,0.0760983208760899,borderline_smote
imb_borderline_smote,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.912334817647934,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.9676279602750192,0.0760983208760899,borderline_smote
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9988783555626868,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183,0.9339092210181966,0.3500646604400947,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9952662748098372,16,9782,8,8,49,9733,0.5,0.1403508771929824,0.00500920057248,0.9339092210181966,0.3500646604400947,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9910187947750092,16,9782,10,6,98,9684,0.625,0.0925925925925925,0.0100184011449601,0.9339092210181966,0.3500646604400947,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9096833407878872,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.0500920057248006,0.9339092210181966,0.3500646604400947,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9988403367996216,17,9741,3,14,10,9731,0.1764705882352941,0.2307692307692307,0.0010265886459295,0.9546549756336166,0.1601934656828431,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9947145402431486,17,9741,9,8,49,9692,0.5294117647058824,0.1551724137931034,0.0050302843650549,0.9546549756336166,0.1601934656828431,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9907607316970826,17,9741,9,8,98,9643,0.5294117647058824,0.0841121495327102,0.0100605687301098,0.9546549756336166,0.1601934656828431,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9074015617370604,17,9741,14,3,488,9253,0.8235294117647058,0.0278884462151394,0.0500975259213633,0.9546549756336166,0.1601934656828431,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9993837956786156,14,9724,2,12,10,9714,0.1428571428571428,0.1666666666666666,0.0010283833813245,0.9750763941940412,0.1427057217148762,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.995976450443268,14,9724,6,8,49,9675,0.4285714285714285,0.109090909090909,0.0050390785684903,0.9750763941940412,0.1427057217148762,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9921481996774674,14,9724,7,7,98,9626,0.5,0.0666666666666666,0.0100781571369806,0.9750763941940412,0.1427057217148762,cost
imb_cost,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.9114041566848756,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.9750763941940412,0.1427057217148762,cost
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.8070555479463701,16,9782,2,14,10,9772,0.125,0.1666666666666666,0.0010222858311183,0.9736122469842566,0.1108511223529105,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7668884272549464,16,9782,6,10,49,9733,0.375,0.109090909090909,0.00500920057248,0.9736122469842566,0.1108511223529105,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.7530422253061181,16,9782,8,8,100,9682,0.5,0.074074074074074,0.0102228583111838,0.9736122469842566,0.1108511223529105,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6797912277570206,16,9782,15,1,493,9289,0.9375,0.0295275590551181,0.0503986914741361,0.9736122469842566,0.1108511223529105,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.808680783793068,17,9741,4,13,10,9731,0.2352941176470588,0.2857142857142857,0.0010265886459295,0.9334438425816892,0.1285482576752833,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7669970841924443,17,9741,6,11,55,9686,0.3529411764705882,0.0983606557377049,0.0056462375526126,0.9334438425816892,0.1285482576752833,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.7529224022326938,17,9741,7,10,98,9643,0.4117647058823529,0.0666666666666666,0.0100605687301098,0.9334438425816892,0.1285482576752833,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6804007308636748,17,9741,12,5,489,9252,0.7058823529411765,0.0239520958083832,0.0502001847859562,0.9334438425816892,0.1285482576752833,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.8135035066987815,14,9724,0,14,14,9710,0.0,0.0,0.0014397367338543,0.9680025856496444,0.057293588872739,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.7687455443255699,14,9724,3,11,49,9675,0.2142857142857142,0.0576923076923076,0.0050390785684903,0.9680025856496444,0.057293588872739,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.7562912287144664,14,9724,8,6,99,9625,0.5714285714285714,0.0747663551401869,0.0101809954751131,0.9680025856496444,0.057293588872739,easy_ensemble
imb_easy_ensemble,HGST_20HUH721212ALN604,mlp_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.683301228229833,14,9724,11,3,488,9236,0.7857142857142857,0.0220440881763527,0.0501851090086384,0.9680025856496444,0.057293588872739,easy_ensemble
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2858316989243021,16,9782,4,12,10,9772,0.25,0.2857142857142857,0.0010222858311183,0.9612489777141688,0.1853385588096287,match_val
