,검증평균/보고평균,검증평균/보고풀링,검증풀링/보고평균,검증풀링/보고풀링
GRU,0.8764,0.8751,0.8792018197513679,0.8785063198319116
LSTM,0.873,0.8731,0.8730020580138098,0.8731126126108513
LightGBM,0.8653,0.8648,0.864416426764163,0.8640931701663797
XGBoost,0.861,0.8617,0.8597585424077184,0.8596777028161278
MLP,0.8581,0.8577,0.8563993419342597,0.8548899801314027
