Model,Recall,FPR,pAUC,ROC-AUC
GRU,0.7781023839931887,0.0127793550393664,0.8792,0.9053875433903152
LSTM,0.75958386547467,0.0131322559056472,0.873,0.911894454096169
LightGBM,0.7239851304506477,0.0128466327488374,0.8644,0.9112825187478047
XGBoost,0.7176800158121998,0.0134739618861902,0.8598,0.902805529498459
MLP,0.742077935899775,0.0132624926903712,0.8564,0.8962506848511349
