column,mean_abs_ig
9,0.13507356
222,0.1330151
193,0.079703115
226,0.051616356
4,0.04335884
194,0.024726935
192,0.024465568
12,0.017944535
3,0.011535403
220,0.0075342474
191,0.0021995371
199,0.0016168067
_mask,0.00024374982
