experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,in_horizon,val_quantile,0.001,1,47,29247,0.19148936170212766,0.0,0.13846153846153847,0.0,0.001914726296714193,0.0,0.9555093347638318,0.0,0.11400099869768902,0.0,9.0,0.0
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,in_horizon,val_quantile,0.005,1,47,29247,0.3829787234042553,0.0,0.0661764705882353,0.0,0.008684651417239375,0.0,0.9555093347638318,0.0,0.11400099869768902,0.0,18.0,0.0
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,in_horizon,val_quantile,0.01,1,47,29247,0.40425531914893614,0.0,0.04645476772616137,0.0,0.013334700994973844,0.0,0.9555093347638318,0.0,0.11400099869768902,0.0,19.0,0.0
imb_balanced_bagging,HGST_20HUH721212ALN604,mlp_balanced_bagging,tabular,in_horizon,val_quantile,0.05,1,47,29247,0.8085106382978723,0.0,0.023824451410658306,0.0,0.053236229356857116,0.0,0.9555093347638318,0.0,0.11400099869768902,0.0,38.0,0.0
