trial,pauc,recall01,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
37,0.8948370295728574,0.7857142857142857,0.01346014525229336,9,1,0.6754380911159957,0.7760525279504937,0.24372814537094684
33,0.8942678041762673,0.7714285714285715,0.012990353728766736,9,13,0.561249116511842,0.6907147680690972,0.6577328859894158
31,0.8940262314278695,0.7714285714285715,0.018718473752407143,8,10,0.5022194184177632,0.6557776596417395,0.06643812206748102
11,0.8931252356657848,0.7714285714285715,0.011933802999045118,5,13,0.6637251524985038,0.9761798899309186,0.001429854075262534
18,0.8930419009108587,0.7714285714285715,0.017207524479587816,4,14,0.7236259271247835,0.6456642079397312,0.02454239905463742
28,0.8929007220319248,0.7714285714285715,0.0119439906899069,7,10,0.5272638283472333,0.5821257142125474,0.0852509563017809
9,0.8928095440059467,0.7571428571428571,0.020348682523113566,4,10,0.626645801269891,0.7331553864281531,0.009499535455183799
25,0.8927226797790472,0.7714285714285715,0.013166443126030524,5,8,0.6514928611487245,0.7411500140347796,0.005696408777052781
15,0.892608952348795,0.7571428571428571,0.01757441373186287,6,20,0.6872804678215937,0.9218747344409397,0.011260281361056185
34,0.8919971772067483,0.7571428571428571,0.01830952791575785,10,14,0.5622323650739715,0.6925363556562874,0.8135307258598028
38,0.8912359877511636,0.7714285714285715,0.013091163927147775,9,1,0.6749084923845803,0.7726358697911664,0.5101805701987971
13,0.8911742219916301,0.7571428571428571,0.02108012016639502,5,19,0.6111179378308113,0.8307006440269045,0.0010067954723839091
29,0.8906751938709543,0.7714285714285715,0.011899740402436057,7,8,0.5291625120306094,0.5477565227316354,0.2779089860316868
44,0.8904732296413684,0.7714285714285715,0.03288534969935413,9,12,0.537913417651965,0.7490054553639963,1.3331620899023588
8,0.8904085226551903,0.7571428571428571,0.029236536416560464,5,7,0.7193007567311602,0.9941869190296131,0.0025596420901526653
7,0.8901516555282414,0.7571428571428571,0.10727187395229411,3,11,0.8353189348090797,0.6051912805369204,0.0032787264983352763
47,0.8899104749433961,0.7571428571428571,0.01436063297159971,9,17,0.5060304143499748,0.5415666159056975,0.1854576878244018
30,0.8897251776647954,0.7714285714285715,0.016159018141608774,7,5,0.8927434729307177,0.573396068765486,0.12551092766913613
19,0.8896379212743433,0.7428571428571429,0.0391832088663961,6,27,0.7385047000001093,0.6348644480645379,0.04286650221785011
39,0.889524193844091,0.7428571428571429,0.024815166419313035,10,1,0.5787788141051323,0.8586582274112562,2.1166827134255195
45,0.8886124135843101,0.7571428571428571,0.022841594930054134,8,3,0.7631279442410531,0.7150554317093523,0.06922203009630086
24,0.8885084902428727,0.7714285714285715,0.02044317480310123,4,12,0.7036043658225015,0.589242684752456,0.018018399215821674
5,0.888212798924217,0.7857142857142857,0.024591256383397347,9,4,0.7842169744343243,0.5093949002181776,0.2954894558726685
41,0.887940833500493,0.7714285714285715,0.01834500441633425,9,1,0.742139502957569,0.6733289950550359,0.21969250941275506
46,0.8875516111745435,0.7714285714285715,0.011159416767008015,10,46,0.7025163601300464,0.6702393491555642,0.3524366120095222
14,0.887304940299962,0.7714285714285715,0.01074252287407099,4,3,0.632822689820779,0.6140562074624403,0.012112820173837373
27,0.8866878709499554,0.7714285714285715,0.0466032612661955,6,15,0.7753141298227854,0.9508712537310761,0.001990448706693925
1,0.8862055097802648,0.7142857142857143,0.04429649570464297,10,43,0.6917207594128889,0.8958625190413323,0.13049073550362397
12,0.8852229931753053,0.7571428571428571,0.012586884527125891,5,17,0.6182174599336863,0.986968794688829,0.010244558133803927
48,0.8847466613646153,0.7428571428571429,0.01847528280914532,8,9,0.9540837422573694,0.6218557503284216,0.9554013998396035
36,0.8842050834984831,0.7571428571428571,0.015153786184179365,8,6,0.5953184403149876,0.7179583115622336,0.7416448280728888
4,0.8842021422718387,0.7428571428571429,0.014952219652829973,8,1,0.972334458524792,0.7609241608750359,0.045566719139214756
43,0.8841339058136874,0.7142857142857143,0.01764910080867758,9,34,0.718153495432008,0.7032071415937668,0.03933294618507888
23,0.8840142959301462,0.7,0.015494995828722834,5,26,0.7419044745106511,0.6551036244523009,0.001975314902300191
42,0.8837554679854343,0.7857142857142857,0.013728564641468653,8,2,0.7992873476704573,0.6199201734184897,0.48968736888636455
0,0.8837113495857674,0.7428571428571429,0.0646642271741456,8,8,0.7724415914984484,0.7118273996694524,0.3833332156156664
6,0.8835044833117741,0.7571428571428571,0.0801935800522185,7,39,0.8409101495517417,0.679753950286893,0.05599223654063348
35,0.8834917379963148,0.7142857142857143,0.025095884959767303,9,35,0.5555581994805269,0.6424428758162009,4.122383827346745
20,0.8829780037424169,0.7571428571428571,0.015200494294309965,3,14,0.8166934513561515,0.7838301381625642,0.12110536365081166
49,0.8809054193669578,0.7571428571428571,0.18171175103820875,7,23,0.6171672046206601,0.9800825866547799,0.03531240616882005
17,0.8808811052266969,0.7571428571428571,0.010002726696879502,6,2,0.6684751033229639,0.9198244307625002,0.005204155096311856
32,0.879184801779952,0.7142857142857143,0.010099588164985374,8,22,0.5044194272317651,0.6535327014274929,0.09142058407546648
21,0.8731562675677016,0.7142857142857143,0.02092494307859097,4,10,0.5853790774761003,0.555110342695633,0.022669990310469137
26,0.8727435154285965,0.7142857142857143,0.028486923787536058,3,28,0.5925423600714987,0.8771870375966149,0.025270331663069533
40,0.8721672310880597,0.7571428571428571,0.0531144693797521,10,2,0.6491986982927058,0.8171151865862939,0.22753057880632516
3,0.8719444821901864,0.7142857142857143,0.1410690937355148,9,46,0.8995792821083618,0.7307396811264659,1.324697464746845
22,0.8708034823339144,0.7571428571428571,0.029039666356287918,4,6,0.6499747169363307,0.6896205079293625,0.005126859659180465
2,0.8705224971484808,0.7571428571428571,0.06903521707993515,10,1,0.5435646498507704,0.5101091987201629,2.1403233140986067
16,0.8690476162333884,0.7571428571428571,0.03714718494227997,4,5,0.5638247682697154,0.8052341109201118,0.0012074418231904174
10,0.7213213245010258,0.45714285714285713,0.2451809881858085,3,3,0.5100229215872224,0.847854784989882,7.992355836571746
