trial,pauc,recall01,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_lambda
36,0.893471320000949,0.7857142857142857,0.016400882767100108,49,36,0.7904016218944027,0.799658242527208,3.3972799302070413
43,0.8927791513306207,0.7857142857142857,0.019265901450349975,42,34,0.8461481486112328,0.8435053790311593,3.0612385288872983
46,0.8927164051622056,0.7857142857142857,0.021979706042908144,54,45,0.845083116650341,0.839313624817518,2.548100616644967
42,0.892502676026042,0.8,0.018871949044502827,43,32,0.8432636911557536,0.8367789762689366,2.253928798605662
35,0.8924497339464418,0.7857142857142857,0.017928353499435397,49,36,0.715180402511771,0.7815338289514543,2.8939211472532924
48,0.8923850269602638,0.7714285714285715,0.05166290551298954,21,56,0.8971397345610467,0.86354254236868,1.986098478890321
38,0.8921644349619298,0.7857142857142857,0.01786180318416048,50,34,0.7971083045047809,0.9136066794050823,3.322859131318443
47,0.8909722577620441,0.7857142857142857,0.022602094373149435,25,48,0.8448557958403958,0.8266624162294084,2.512613142640369
41,0.8906575465110875,0.7857142857142857,0.018526931165674873,46,31,0.8134975177237818,0.7744310318073043,3.2489322251113473
14,0.8905055831344575,0.7857142857142857,0.01074252287407099,125,19,0.6393474075312544,0.5996014907338776,0.24236179007898812
33,0.8900094962404261,0.7571428571428571,0.012066032770607096,75,20,0.6965552168342565,0.7403386904500961,4.612969204033974
24,0.8892290907707641,0.7571428571428571,0.013776500562535739,78,7,0.6705791865455415,0.6824313452479137,9.558828916434901
31,0.8882173088050718,0.7571428571428571,0.013284688924628996,85,10,0.6642283746035198,0.6687145868132324,7.207110866011192
21,0.8881820140853383,0.7571428571428571,0.013818137141205802,93,9,0.682552456168426,0.6594958264197871,5.346452441914789
32,0.8881496605922494,0.7571428571428571,0.017536325585927572,93,10,0.7303934285382043,0.6847314371573558,8.956585066654105
20,0.8881114246458715,0.7571428571428571,0.013500761677989291,83,10,0.6650020663726551,0.6627391487149366,7.057001664893113
22,0.8874216089568587,0.7571428571428571,0.020498712708834063,101,10,0.5913282954064735,0.6622087419885235,6.1272229903646895
34,0.8860535464036348,0.7571428571428571,0.010301602129658277,70,20,0.6092167591946336,0.7456385108088953,1.7411201583085385
29,0.8855966758648628,0.7571428571428571,0.02666849033884014,113,10,0.5678353178076689,0.6988873011328431,3.818597574304804
26,0.8852623564362765,0.7285714285714285,0.022090803475547347,111,5,0.7527179535728781,0.7059642324635629,0.9891170623211712
16,0.8849829399050533,0.7428571428571429,0.011005913032909367,72,26,0.6806341310686084,0.6174527101702656,0.14272376476125245
28,0.8843070460221576,0.7571428571428571,0.04341834674131724,73,18,0.8114448569972587,0.8432018235556209,1.445906103903329
23,0.8839068431167355,0.7571428571428571,0.014863407001343846,143,8,0.7642651704597496,0.5636518859593782,4.016710302770825
19,0.8838770386867384,0.7714285714285715,0.017163178093546547,34,25,0.5810616736881774,0.5649362168436803,0.20955702265847195
27,0.8823413262147806,0.7571428571428571,0.013102191550758386,159,13,0.6808526486038686,0.5586110045992403,2.6819158547847075
13,0.8818540630006826,0.7714285714285715,0.012304084825186506,135,17,0.644503392103628,0.5929304683987654,0.5117952155135288
15,0.8762939681520058,0.6857142857142857,0.010616913381120904,59,12,0.6342772807499971,0.6123810418796138,0.027367054136795747
5,0.8744868785016529,0.7571428571428571,0.024591256383397347,134,25,0.7842169744343243,0.5093949002181776,0.2954894558726685
44,0.8702277862387063,0.7,0.024869062226111238,35,72,0.8664885377465517,0.8422737756316976,1.7117164391090218
12,0.8700726855536554,0.7428571428571429,0.03115735790969133,240,16,0.623445531812367,0.506319112843619,0.7285326821016727
17,0.8691179633848656,0.6571428571428571,0.016319763968626052,62,97,0.7032020971734232,0.6425360943869718,0.12756140070986213
11,0.867764018719535,0.7142857142857143,0.0343560167425843,235,5,0.5443307274102082,0.5013184310228116,2.395432635906792
2,0.8676306831116531,0.6428571428571429,0.06903521707993515,206,6,0.5435646498507704,0.5101091987201629,2.1403233140986067
3,0.8650767179753851,0.6714285714285714,0.1410690937355148,176,185,0.8995792821083618,0.7307396811264659,1.324697464746845
40,0.8631723621107321,0.6857142857142857,0.01684476395227013,27,37,0.7897531521744501,0.9405781822639464,0.31160570452187264
6,0.8579615617040854,0.7571428571428571,0.0801935800522185,85,162,0.8409101495517417,0.679753950286893,0.05599223654063348
30,0.8564669632599615,0.6857142857142857,0.04441398659562767,123,7,0.6544853192425144,0.6406550822449527,0.490801628856723
49,0.8550804922894251,0.7285714285714285,0.18171175103820866,54,76,0.9688809392609776,0.7697786780406878,0.5684504299585074
1,0.8548497770533565,0.7142857142857143,0.04429649570464297,187,175,0.6917207594128889,0.8958625190413323,0.13049073550362397
45,0.8517219803553512,0.7142857142857143,0.0295354207109964,40,34,0.9285045816581675,0.8884983690076769,1.1366785302931914
37,0.849741750496528,0.7,0.037043207722915576,30,44,0.9214894929485647,0.8078680961116976,0.8521948629275429
0,0.8496170424868031,0.6857142857142857,0.0646642271741456,113,44,0.7724415914984484,0.7118273996694524,0.3833332156156664
39,0.8481538802720752,0.6571428571428571,0.024624081850227336,48,76,0.8761262004819249,0.9258988813903638,0.08302717169699571
