experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,in_horizon,val_quantile,0.001,42,6,162,223444,0.35646703764519855,0.10540925851331727,0.12176274394675603,0.041054517416980636,0.00197453869300722,0.0007640745403580488,0.911894454096169,0.011927129553150853,0.14550149274292043,0.04959845128518403,9.833333333333334,4.708148963941845
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,in_horizon,val_quantile,0.005,42,6,162,223444,0.6850065377364228,0.03769437807764157,0.0636539508520592,0.01826900017984629,0.007564895815386909,0.0015696318706225046,0.911894454096169,0.011927129553150853,0.14550149274292043,0.04959845128518403,18.5,4.183300132670378
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,in_horizon,val_quantile,0.01,42,6,162,223444,0.75958386547467,0.04612219174653083,0.041319765345228625,0.011375163599331443,0.013132255905647228,0.001936018450987372,0.911894454096169,0.011927129553150853,0.14550149274292043,0.04959845128518403,20.666666666666668,5.278888771954441
tos_proposed_lstm,TOSHIBA_20MG07ACA14TA,lstm_tuned,sequence,in_horizon,val_quantile,0.05,42,6,162,223444,0.8306764276591863,0.037412678374272056,0.011466956790774335,0.0027318183323305927,0.05226308488955994,0.003350684585475186,0.911894454096169,0.011927129553150853,0.14550149274292043,0.04959845128518403,22.5,5.282045058497703
