arm,arm_desc,experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1369525161385527,16,9782,6,10,20,9762,0.375,0.2307692307692307,0.0020445716622367,0.975688765078716,0.3395437942656194
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0407949420437216,16,9782,10,6,72,9710,0.625,0.1219512195121951,0.0073604579840523,0.975688765078716,0.3395437942656194
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0260201968997717,16,9782,11,5,117,9665,0.6875,0.0859375,0.011960744224085,0.975688765078716,0.3395437942656194
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0030688014579936,16,9782,15,1,492,9290,0.9375,0.029585798816568,0.0502964628910243,0.975688765078716,0.3395437942656194
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1369525161385527,17,9741,6,11,15,9726,0.3529411764705882,0.2857142857142857,0.0015398829688943,0.944509864309136,0.1819447417543634
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0407949420437216,17,9741,10,7,75,9666,0.5882352941176471,0.1176470588235294,0.0076994148444718,0.944509864309136,0.1819447417543634
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0260201968997717,17,9741,10,7,112,9629,0.5882352941176471,0.081967213114754,0.0114977928344112,0.944509864309136,0.1819447417543634
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0030688014579936,17,9741,13,4,494,9247,0.7647058823529411,0.0256410256410256,0.050713479108921,0.944509864309136,0.1819447417543634
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1369525161385527,14,9724,3,11,21,9703,0.2142857142857142,0.125,0.0021596051007815,0.9728506787330318,0.1050746212828731
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0407949420437216,14,9724,7,7,81,9643,0.5,0.0795454545454545,0.0083299053887289,0.9728506787330318,0.1050746212828731
