trial,pauc,recall01,width,depth,dropout,learning_rate,weight_decay,batch_size
23,0.8927355811641543,0.7516447368421053,256,2,0.269598212660435,0.006228640135696529,0.0008052564293305779,2048
30,0.89217875197864,0.7648026315789473,256,4,0.32714533473985047,0.00022110841491415005,0.000527736326134873,2048
8,0.8912484832577675,0.7648026315789473,128,2,0.35816360205928277,0.000379150982653768,5.404623534323801e-06,4096
0,0.8912411249311142,0.7672697368421053,128,3,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,1024
1,0.8907982906018239,0.7516447368421053,256,2,0.01010919872016286,0.0046263628414755864,0.0012960656597279737,2048
11,0.8907078312274552,0.7516447368421053,128,3,0.35859996044683196,0.0004500511912481519,0.006571197444481218,1024
2,0.8905508475176667,0.7648026315789473,128,2,0.47233445852479194,0.001105851072569646,4.556671913921479e-05,2048
49,0.8904949362858472,0.7648026315789473,128,3,0.24145645477350974,0.00015441046909857794,6.792404424452766e-05,4096
15,0.8904441567207662,0.7648026315789473,128,3,0.2846822500934326,0.0002990186504452115,0.001207560398438187,1024
12,0.8903302947692735,0.7516447368421053,128,3,0.34607207020615655,0.000494340236306349,4.930211542507092e-06,4096
10,0.8901584248066111,0.7648026315789473,64,2,0.355209647853776,0.000260545921243675,1.290894567014997e-06,4096
37,0.8901265389626135,0.7804276315789473,128,3,0.2031731082507985,0.001809139826801895,0.00208597687170917,1024
28,0.8894110510852185,0.7648026315789473,128,3,0.22216292171491164,0.00038614123103135263,1.2392519828313388e-05,4096
31,0.8893658087575604,0.7648026315789473,256,4,0.32518972719253436,0.00021197695859973784,0.0005266577371953975,2048
33,0.8891823221739444,0.7648026315789473,256,4,0.445031812045161,0.0009829105171457418,0.00010042863365415776,2048
45,0.8891617498846688,0.7516447368421053,128,3,0.27782389162067955,0.00023109328297940155,0.0018549870688733888,1024
26,0.8890533853065814,0.7648026315789473,64,2,0.3192288766386563,0.0015190526437537219,2.4554596639749713e-06,2048
22,0.8889630799698582,0.7516447368421053,256,2,0.009387797483997734,0.00473900919020294,0.0030161992562600264,2048
34,0.8889200943700675,0.7648026315789473,256,2,0.28425191968040614,0.0003688372984584586,0.0054878166946706235,2048
5,0.8886738943604805,0.7648026315789473,128,2,0.07948479182275986,0.00016624564693643637,0.0004220057397195019,4096
40,0.8885607134477378,0.7804276315789473,128,4,0.2510413474744687,0.000634767918499883,2.9595637958996452e-05,2048
4,0.8884391692000531,0.7516447368421053,128,2,0.1818553854713113,0.0013816356822574799,5.680754927416792e-05,1024
25,0.8884251211323335,0.7516447368421053,256,2,0.36836248393471427,0.003666594732803345,0.0008108810762122101,1024
47,0.8881983788297998,0.7516447368421053,128,3,0.38690731596663386,0.0004472688836901928,0.009427315884292855,4096
21,0.8881627224600084,0.7516447368421053,256,2,0.14623734457975754,0.008808715933737183,0.0028552529329569985,2048
39,0.8879654195970139,0.7648026315789473,512,3,0.29369786676411297,0.00668733442774054,0.00018947498750720992,4096
29,0.8878708873798637,0.7648026315789473,256,2,0.43051118471297534,0.005075900047831129,0.0015456258799294363,2048
36,0.8877655316589732,0.7648026315789473,256,2,0.335973139372392,0.00013905876754834442,0.00039853047707175777,2048
6,0.8876019334467312,0.7648026315789473,256,4,0.2343256008238508,0.00898508471940606,0.0002626528266326433,1024
32,0.887409756714226,0.7648026315789473,256,4,0.38262794359647156,0.00011137280398763657,0.0010934023977599077,2048
16,0.8873957664999361,0.7648026315789473,128,2,0.23371505187006308,0.0006961542779407163,8.702052144802259e-06,1024
19,0.8872494018393626,0.7491776315789473,128,3,0.4097949467132662,0.00031070724731617786,2.317429828593789e-05,1024
38,0.8871590238788284,0.7623355263157895,256,2,0.37891150170658583,0.0011678862692547506,0.00031137849220154993,2048
17,0.8871376616838174,0.7648026315789473,64,4,0.4044750309214883,0.00017473877514417023,1.0565019809725939e-06,4096
3,0.886805261795067,0.7648026315789473,256,3,0.4718740392573121,0.0023101522250182378,2.7417736752420992e-05,2048
44,0.8867199488578181,0.7648026315789473,64,2,0.3394000141892457,0.003802872801344409,0.00048757891371680335,4096
20,0.8867159737747801,0.7648026315789473,128,3,0.30913319303053655,0.002299610383625671,0.0006459672018470058,4096
41,0.8864514684847437,0.7516447368421053,256,2,0.05081524708959384,0.007288724287537965,0.0009171958941179099,2048
24,0.8864206052638248,0.7491776315789473,256,2,0.2595192101538335,0.000848318789221825,0.00011001151515053233,2048
48,0.8863297834365632,0.7516447368421053,512,2,0.3550295309838478,0.000267199320366684,0.0003411703917758557,2048
42,0.8862442145538924,0.7672697368421053,256,2,0.14471702409320567,0.00290232151139568,0.0041510870180278,2048
13,0.8855543086824544,0.7516447368421053,64,4,0.30443061326747617,0.0005146791236329107,0.008321667809189243,1024
9,0.8843108732060401,0.7516447368421053,512,4,0.12437657175997902,0.0014200860749035516,0.00023343594208268865,4096
14,0.8837449336755857,0.7648026315789473,128,3,0.4139768158512248,0.00010737003969138472,6.614675944058776e-06,4096
27,0.8837363617380855,0.7516447368421053,512,3,0.2686817881772213,0.000593319236731439,0.004239866974010303,1024
7,0.8834592227070338,0.7516447368421053,512,3,0.03207374817439218,0.00242629855036858,0.00018467402585753705,2048
35,0.8822775143794053,0.7491776315789473,128,4,0.47501657908797634,0.00020924287153056793,5.254468278887284e-05,2048
43,0.8816100018864734,0.7516447368421053,256,2,0.10052711732861605,0.005325184108945615,0.00013142176061288675,2048
18,0.8808528774716917,0.7384868421052632,512,2,0.18758858172752432,0.0008052263911920281,0.002017851131994106,4096
46,0.8797283936120304,0.7648026315789473,256,2,0.21513926098697023,0.00033892891163709487,2.123110477597443e-06,1024
