experiment,drive,model,family,rule,threshold_source,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.001,1,47,29247,0.1276595744680851,0.0,0.16666666666666666,0.0,0.0010257462303826033,0.0,0.9335858127871641,0.0,0.1211444701432377,0.0,6.0,0.0
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.005,1,47,29247,0.2765957446808511,0.0,0.08125,0.0,0.005026156528874756,0.0,0.9335858127871641,0.0,0.1211444701432377,0.0,13.0,0.0
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.01,1,47,29247,0.48936170212765956,0.0,0.07255520504731862,0.0,0.010052313057749512,0.0,0.9335858127871641,0.0,0.1211444701432377,0.0,23.0,0.0
imb_smote,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,month_quantile,0.05,1,47,29247,0.6808510638297872,0.0,0.02137608550434202,0.0,0.0500906075836838,0.0,0.9335858127871641,0.0,0.1211444701432377,0.0,32.0,0.0
