trial,pauc,recall01,width,depth,dropout,learning_rate,weight_decay,batch_size
11,0.8950256602416551,0.7714285714285715,128,2,0.49800564678624043,0.0005729249823734869,4.019805854138923e-06,2048
32,0.894839382554173,0.7714285714285715,128,2,0.45703829956223274,0.00038667126789176655,0.008614174907220036,4096
8,0.8947193805070792,0.7714285714285715,128,2,0.35816360205928277,0.000379150982653768,5.404623534323801e-06,4096
47,0.8945644759038047,0.7714285714285715,128,2,0.48008841621859244,0.0006712376880310328,4.5737791388641474e-05,2048
41,0.8944340815225671,0.7714285714285715,128,2,0.4678656279686854,0.00042375016013045607,2.361504935595501e-06,4096
14,0.8942095678887072,0.7571428571428571,128,2,0.2640679303646905,0.0004852764773681945,1.3861103603598192e-05,4096
12,0.8936487740084977,0.7714285714285715,128,2,0.3827825845266628,0.0003927287403840043,2.92575840019653e-06,4096
2,0.8935742629335051,0.7714285714285715,128,2,0.47233445852479194,0.001105851072569646,4.556671913921479e-05,2048
43,0.8935668118260057,0.7714285714285715,128,2,0.4582021807288028,0.00025078061577558887,2.6763447701630544e-06,4096
46,0.893499751858512,0.7714285714285715,64,2,0.4021135858062967,0.00020217925231023898,9.033866150319729e-06,4096
21,0.8934422998980571,0.7714285714285715,128,2,0.26374489387844113,0.00042200249438937123,1.1990294263440494e-05,4096
45,0.8933762203394451,0.7714285714285715,128,2,0.22767461337710562,0.00032488980454511225,0.0005473819949707024,4096
35,0.8933173958065559,0.7714285714285715,128,2,0.46005208476038706,0.00026274663746386805,0.0011245543628680128,2048
15,0.8930085670088882,0.7714285714285715,128,2,0.4886492619819096,0.0002581221148645423,4.977842653260793e-06,2048
28,0.8929315068708035,0.7714285714285715,256,2,0.3880660113749518,0.00015797688275715234,3.6766419557255806e-05,1024
42,0.8927703276506875,0.7714285714285715,128,2,0.472251130058042,0.0004345373056906896,1.5993838444696331e-06,4096
31,0.8926648356550396,0.7714285714285715,128,2,0.3873277384913199,0.0003976942197288208,1.8935057896915398e-06,4096
16,0.8925040485984761,0.7714285714285715,128,3,0.427719217290651,0.0006442499940480046,1.0363916029090872e-06,4096
38,0.8923271828362562,0.7714285714285715,256,2,0.43596625238030384,0.000604926176189948,0.0005570146922027209,4096
39,0.8923056138408636,0.7714285714285715,128,2,0.27177688229664504,0.00015297712582172304,0.00011647006883316554,1024
20,0.8922330635836337,0.7857142857142857,128,2,0.20997662614703272,0.0004873742856218512,8.344807716751736e-05,4096
37,0.8919893339356966,0.7571428571428571,128,2,0.4043484560311415,0.0015717485665484,0.003751500921392483,2048
36,0.8919703140033957,0.7714285714285715,128,2,0.4981347150722063,0.0010185989857969583,0.007487479316234977,4096
25,0.8916830542011208,0.7571428571428571,128,2,0.2595030083442984,0.0003230401471016824,1.9059388769421353e-06,2048
5,0.8916781521567133,0.7857142857142857,128,2,0.07948479182275986,0.00016624564693643637,0.0004220057397195019,4096
