model,val_pAUC,recall,far,pauc,auc
randomforest,0.9055790909743664,0.7358490566037735,0.015101173840134154,0.8569653157332582,0.888536851689746
xgboost,0.8939496447088555,0.710691823899371,0.01152375628842929,0.8538253400229628,0.8977687264238832
lightgbm,0.8943081180715231,0.6918238993710691,0.011072107322526552,0.844809898762249,0.8849742134849236
mlp,0.901401775248176,0.7044025157232704,0.01123309111235327,0.8548637776286827,0.8969997222720258
lstm,0.9011887850326938,0.7484276729559748,0.010978200111794298,0.8634484836241905,0.9032850367901677
gru,0.9055068909013215,0.7232704402515723,0.010969256567915036,0.8590099561106871,0.8997712224601073
tcn,0.9054671808611469,0.7169811320754716,0.011318054779206261,0.8575526820039934,0.9033093362301415
